chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 33                   2.014788             
1                    54                   1                    7786                 30                   2.076267             
1                    55                   1                    6802                 18                   3.023111             
1                    66                   1                    7065                 36                   1.570000             
1                    67                   1                    6421                 20                   2.568400             
1                    78                   1                    6685                 38                   1.407368             
1                    79                   1                    7022                 17                   3.304471             
1                    90                   1                    8056                 40                   1.611200             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 21                   3.627810             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 48                   1.598167             
1                    53                   1                    8729                 41                   1.703220             
1                    65                   1                    7901                 19                   3.326737             
1                    77                   1                    7161                 25                   2.291520             
1                    89                   1                    10031                48                   1.671833             
1                    101                  1                    11179                44                   2.032546             
1                    44                   1                    9193                 44                   1.671455             
1                    56                   1                    8446                 19                   3.556211             
1                    68                   1                    6692                 26                   2.059077             
1                    80                   1                    7734                 37                   1.672216             
1                    92                   1                    9166                 45                   1.629511             
1                    104                  1                    11676                44                   2.122909             
1                    114                  1                    10575                33                   2.563636             
1                    115                  1                    10595                33                   2.568485             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                30                   2.766133             
1                    31                   1                    10459                48                   1.743167             
1                    116                  1                    16716                46                   2.907130             
1                    29                   1                    9806                 27                   2.905482             
1                    32                   1                    9779                 47                   1.664511             
1                    40                   1                    8078                 41                   1.576195             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 23                   2.902609             
1                    76                   1                    10159                40                   2.031800             
1                    126                  1                    8487                 35                   1.939886             
1                    127                  1                    8599                 45                   1.528711             
1                    128                  1                    11287                46                   1.962957             
1                    125                  1                    7621                 21                   2.903238             
1                    45                   1                    8606                 28                   2.458857             
1                    57                   1                    7227                 30                   1.927200             
1                    69                   1                    7469                 18                   3.319556             
1                    81                   1                    9442                 44                   1.716727             
1                    93                   1                    10978                47                   1.868596             
1                    105                  1                    14274                44                   2.595273             
1                    33                   1                    9877                 48                   1.646167             
1                    117                  1                    16627                45                   2.955911             
1                    18                   1                    9508                 48                   1.584667             
1                    19                   1                    10043                45                   1.785422             
1                    20                   1                    9541                 45                   1.696178             
1                    17                   1                    9794                 45                   1.741156             
1                    21                   1                    8659                 45                   1.539378             
2                    43                   1                    7918                 19                   3.333895             
2                    44                   1                    9069                 26                   2.790462             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 31                   2.115097             
2                    42                   1                    8862                 34                   2.085176             
2                    54                   1                    7607                 30                   2.028533             
2                    66                   1                    6358                 18                   2.825778             
2                    67                   1                    5940                 28                   1.697143             
2                    68                   1                    6444                 20                   2.577600             
2                    78                   1                    6307                 30                   1.681867             
2                    79                   1                    6744                 18                   2.997333             
2                    80                   1                    7856                 37                   1.698595             
2                    90                   1                    7843                 23                   2.728000             
2                    91                   1                    8596                 45                   1.528178             
