chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 47                   1.567830             
1                    43                   1                    8311                 40                   1.662200             
1                    54                   1                    7786                 25                   2.491520             
1                    55                   1                    6802                 14                   3.886857             
1                    66                   1                    7065                 49                   1.153469             
1                    67                   1                    6421                 45                   1.141511             
1                    78                   1                    6685                 37                   1.445405             
1                    79                   1                    7022                 47                   1.195234             
1                    90                   1                    8056                 46                   1.401044             
1                    91                   1                    8824                 48                   1.470667             
1                    102                  1                    9523                 36                   2.116222             
1                    103                  1                    9260                 25                   2.963200             
1                    41                   1                    9589                 37                   2.073297             
1                    53                   1                    8729                 47                   1.485787             
1                    65                   1                    7901                 45                   1.404622             
1                    77                   1                    7161                 48                   1.193500             
1                    89                   1                    10031                45                   1.783289             
1                    101                  1                    11179                45                   1.987378             
1                    44                   1                    9193                 26                   2.828615             
1                    56                   1                    8446                 33                   2.047515             
1                    68                   1                    6692                 20                   2.676800             
1                    80                   1                    7734                 22                   2.812364             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                30                   3.113600             
1                    114                  1                    10575                47                   1.800000             
1                    115                  1                    10595                47                   1.803404             
1                    113                  1                    8527                 48                   1.421167             
1                    30                   1                    10373                45                   1.844089             
1                    31                   1                    10459                46                   1.818956             
1                    116                  1                    16716                45                   2.971733             
1                    29                   1                    9806                 22                   3.565818             
1                    32                   1                    9779                 23                   3.401391             
1                    40                   1                    8078                 49                   1.318857             
1                    52                   1                    8579                 45                   1.525156             
1                    64                   1                    8345                 38                   1.756842             
1                    126                  1                    8487                 45                   1.508800             
1                    127                  1                    8599                 38                   1.810316             
1                    45                   1                    8606                 47                   1.464851             
1                    57                   1                    7227                 48                   1.204500             
1                    69                   1                    7469                 47                   1.271319             
1                    81                   1                    9442                 48                   1.573667             
1                    33                   1                    9877                 33                   2.394424             
1                    93                   1                    10978                47                   1.868596             
1                    105                  1                    14274                39                   2.928000             
1                    117                  1                    16627                40                   3.325400             
1                    18                   1                    9508                 23                   3.307130             
1                    19                   1                    10043                25                   3.213760             
1                    20                   1                    9541                 22                   3.469455             
1                    17                   1                    9794                 44                   1.780727             
1                    21                   1                    8659                 27                   2.565630             
2                    43                   1                    7918                 49                   1.292735             
2                    44                   1                    9069                 44                   1.648909             
2                    42                   1                    8862                 33                   2.148364             
2                    54                   1                    7607                 47                   1.294809             
