chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 29                   2.292690             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 18                   3.023111             
1                    66                   1                    7065                 20                   2.826000             
1                    67                   1                    6421                 17                   3.021647             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 17                   3.304471             
1                    90                   1                    8056                 23                   2.802087             
1                    91                   1                    8824                 23                   3.069217             
1                    102                  1                    9523                 26                   2.930154             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 26                   2.950462             
1                    53                   1                    8729                 21                   3.325333             
1                    65                   1                    7901                 19                   3.326737             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                26                   3.086462             
1                    101                  1                    11179                30                   2.981067             
1                    44                   1                    9193                 21                   3.502095             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 19                   2.817684             
1                    80                   1                    7734                 22                   2.812364             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                31                   3.013161             
1                    114                  1                    10575                28                   3.021429             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                26                   3.191692             
1                    31                   1                    10459                30                   2.789067             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 26                   3.017231             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 22                   2.937454             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 22                   3.034545             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                27                   3.049778             
1                    100                  1                    10778                26                   3.316308             
1                    112                  1                    10192                28                   2.912000             
1                    28                   1                    9247                 23                   3.216348             
1                    125                  1                    7621                 18                   3.387111             
1                    126                  1                    8487                 22                   3.086182             
1                    127                  1                    8599                 23                   2.990957             
1                    128                  1                    11287                29                   3.113655             
1                    124                  1                    10998                30                   2.932800             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 18                   3.212000             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 25                   3.021440             
1                    93                   1                    10978                30                   2.927467             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                41                   3.244293             
1                    33                   1                    9877                 25                   3.160640             
1                    129                  1                    10865                30                   2.897333             
1                    18                   1                    9508                 26                   2.925539             
1                    19                   1                    10043                25                   3.213760             
1                    20                   1                    9541                 23                   3.318609             
1                    17                   1                    9794                 25                   3.134080             
1                    21                   1                    8659                 23                   3.011826             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 22                   2.879273             
2                    44                   1                    9069                 23                   3.154435             
2                    54                   1                    7607                 22                   2.766182             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 22                   2.980364             
2                    66                   1                    6358                 14                   3.633143             
2                    67                   1                    5940                 19                   2.501053             
2                    68                   1                    6444                 15                   3.436800             
2                    78                   1                    6307                 18                   2.803111             
2                    79                   1                    6744                 15                   3.596800             
2                    80                   1                    7856                 22                   2.856727             
2                    90                   1                    7843                 22                   2.852000             
2                    91                   1                    8596                 22                   3.125818             
2                    92                   1                    9504                 22                   3.456000             
2                    102                  1                    9522                 25                   3.047040             
2                    103                  1                    9236                 23                   3.212522             
2                    104                  1                    11780                33                   2.855757             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 25                   3.199680             
2                    32                   1                    9461                 23                   3.290783             
2                    41                   1                    9350                 25                   2.992000             
2                    53                   1                    8484                 23                   2.950957             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                30                   2.831733             
2                    101                  1                    11599                30                   3.093067             
2                    114                  1                    11027                29                   3.041931             
2                    115                  1                    10923                26                   3.360923             
2                    116                  1                    17572                48                   2.928667             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 26                   2.794769             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 19                   3.006737             
2                    69                   1                    7452                 19                   3.137684             
2                    81                   1                    9611                 26                   2.957231             
2                    93                   1                    11795                29                   3.253793             
