chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 48                   1.535167             
1                    43                   1                    8311                 48                   1.385167             
1                    54                   1                    7786                 51                   1.221333             
1                    55                   1                    6802                 51                   1.066980             
1                    66                   1                    7065                 52                   1.086923             
1                    67                   1                    6421                 51                   1.007216             
1                    78                   1                    6685                 51                   1.048627             
1                    79                   1                    7022                 47                   1.195234             
1                    90                   1                    8056                 50                   1.288960             
1                    91                   1                    8824                 48                   1.470667             
1                    102                  1                    9523                 47                   1.620936             
1                    103                  1                    9260                 47                   1.576170             
1                    41                   1                    9589                 48                   1.598167             
1                    53                   1                    8729                 48                   1.454833             
1                    65                   1                    7901                 48                   1.316833             
1                    77                   1                    7161                 52                   1.101692             
1                    89                   1                    10031                48                   1.671833             
1                    101                  1                    11179                48                   1.863167             
1                    44                   1                    9193                 50                   1.470880             
1                    56                   1                    8446                 47                   1.437617             
1                    68                   1                    6692                 51                   1.049726             
1                    80                   1                    7734                 48                   1.289000             
1                    92                   1                    9166                 37                   1.981838             
1                    104                  1                    11676                44                   2.122909             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                47                   1.803404             
1                    113                  1                    8527                 48                   1.421167             
1                    30                   1                    10373                45                   1.844089             
1                    31                   1                    10459                47                   1.780255             
1                    116                  1                    16716                48                   2.786000             
1                    29                   1                    9806                 48                   1.634333             
1                    32                   1                    9779                 47                   1.664511             
1                    40                   1                    8078                 46                   1.404870             
1                    126                  1                    8487                 49                   1.385633             
1                    127                  1                    8599                 48                   1.433167             
1                    45                   1                    8606                 52                   1.324000             
1                    57                   1                    7227                 48                   1.204500             
1                    69                   1                    7469                 49                   1.219429             
1                    81                   1                    9442                 42                   1.798476             
1                    93                   1                    10978                45                   1.951644             
1                    105                  1                    14274                48                   2.379000             
1                    33                   1                    9877                 51                   1.549333             
1                    117                  1                    16627                48                   2.771167             
2                    42                   1                    8862                 52                   1.363385             
2                    43                   1                    7918                 48                   1.319667             
2                    54                   1                    7607                 52                   1.170308             
2                    55                   1                    6282                 36                   1.396000             
2                    66                   1                    6358                 44                   1.156000             
2                    67                   1                    5940                 48                   0.990000             
2                    78                   1                    6307                 46                   1.096870             
2                    79                   1                    6744                 49                   1.101061             
2                    90                   1                    7843                 49                   1.280490             
2                    91                   1                    8596                 48                   1.432667             
3                    42                   1                    8771                 48                   1.461833             
3                    43                   1                    7925                 48                   1.320833             
3                    54                   1                    7812                 48                   1.302000             
3                    55                   1                    6525                 48                   1.087500             
3                    41                   1                    9365                 48                   1.560833             
3                    53                   1                    8757                 48                   1.459500             
3                    65                   1                    7769                 48                   1.294833             
3                    66                   1                    6763                 52                   1.040462             
3                    77                   1                    7320                 49                   1.195102             
3                    78                   1                    6077                 37                   1.313946             
4                    41                   1                    9468                 47                   1.611574             
4                    42                   1                    8797                 44                   1.599455             
4                    53                   1                    8644                 21                   3.292952             
4                    54                   1                    7762                 48                   1.293667             
4                    65                   1                    7721                 46                   1.342783             
4                    66                   1                    6356                 49                   1.037714             
4                    77                   1                    7365                 45                   1.309333             
4                    78                   1                    6125                 51                   0.960784             
4                    89                   1                    10953                51                   1.718118             
4                    90                   1                    8044                 48                   1.340667             
5                    41                   1                    8983                 48                   1.497167             
5                    42                   1                    8250                 49                   1.346939             
5                    53                   1                    8298                 52                   1.276615             
5                    54                   1                    7777                 52                   1.196462             
5                    65                   1                    7425                 49                   1.212245             
5                    43                   1                    7809                 38                   1.644000             
5                    55                   1                    6490                 47                   1.104681             
5                    66                   1                    6226                 49                   1.016490             
5                    67                   1                    5779                 48                   0.963167             
5                    78                   1                    6159                 48                   1.026500             
5                    79                   1                    6426                 49                   1.049143             
6                    30                   1                    10408                48                   1.734667             
6                    31                   1                    9969                 43                   1.854698             
6                    42                   1                    8728                 48                   1.454667             
6                    43                   1                    7686                 30                   2.049600             
6                    54                   1                    7778                 51                   1.220078             
6                    55                   1                    6343                 48                   1.057167             
6                    66                   1                    6004                 48                   1.000667             
6                    67                   1                    5637                 38                   1.186737             
6                    78                   1                    5713                 49                   0.932735             
6                    79                   1                    6389                 48                   1.064833             
7                    30                   1                    10760                48                   1.793333             
7                    31                   1                    10728                49                   1.751510             
7                    19                   1                    10516                48                   1.752667             
7                    20                   1                    10263                48                   1.710500             
7                    21                   1                    8505                 48                   1.417500             
7                    32                   1                    10922                44                   1.985818             
7                    33                   1                    8253                 49                   1.347429             
7                    44                   1                    9831                 48                   1.638500             
7                    45                   1                    8852                 52                   1.361846             
8                    20                   1                    9763                 52                   1.502000             
8                    21                   1                    8203                 48                   1.367167             
8                    22                   1                    9654                 48                   1.609000             
8                    33                   1                    7731                 47                   1.315915             
8                    23                   1                    4136                 42                   0.787810             
8                    34                   1                    9673                 48                   1.612167             
8                    35                   1                    7124                 48                   1.187333             
8                    36                   1                    7670                 48                   1.278333             
8                    46                   1                    8208                 44                   1.492364             
8                    47                   1                    7587                 48                   1.264500             
9                    47                   1                    7574                 48                   1.262333             
9                    48                   1                    7819                 48                   1.303167             
9                    59                   1                    7376                 49                   1.204245             
9                    60                   1                    7124                 35                   1.628343             
9                    71                   1                    8401                 51                   1.317804             
9                    72                   1                    7984                 44                   1.451636             
9                    83                   1                    10411                51                   1.633098             
9                    84                   1                    11243                37                   2.430919             
9                    95                   1                    12394                48                   2.065667             
9                    96                   1                    11565                45                   2.056000             
9                    107                  1                    12768                48                   2.128000             
10                   46                   1                    8918                 51                   1.398902             
10                   58                   1                    7614                 51                   1.194353             
10                   59                   1                    7320                 45                   1.301333             
10                   60                   1                    6969                 49                   1.137796             
10                   70                   1                    7989                 48                   1.331500             
10                   71                   1                    8268                 52                   1.272000             
10                   72                   1                    7724                 51                   1.211608             
10                   82                   1                    10324                37                   2.232216             
10                   83                   1                    10400                48                   1.733333             
10                   84                   1                    11210                51                   1.758431             
10                   47                   1                    7282                 48                   1.213667             
11                   46                   1                    8892                 47                   1.513532             
11                   47                   1                    7350                 47                   1.251064             
11                   48                   1                    8226                 45                   1.462400             
11                   58                   1                    6939                 48                   1.156500             
11                   59                   1                    6763                 48                   1.127167             
11                   60                   1                    6845                 50                   1.095200             
11                   70                   1                    7862                 49                   1.283592             
11                   71                   1                    8345                 52                   1.283846             
11                   72                   1                    7511                 48                   1.251833             
11                   83                   1                    10426                38                   2.194947             
12                   71                   1                    8978                 52                   1.381231             
12                   72                   1                    8139                 48                   1.356500             
12                   83                   1                    11633                51                   1.824784             
12                   84                   1                    12514                48                   2.085667             
12                   49                   1                    6651                 46                   1.156696             
12                   60                   1                    7372                 48                   1.228667             
12                   61                   1                    7775                 47                   1.323404             
12                   73                   1                    10730                52                   1.650769             
12                   85                   1                    13468                48                   2.244667             
12                   96                   1                    12514                29                   3.452138             
13                   61                   1                    8151                 44                   1.482000             
13                   62                   1                    8298                 50                   1.327680             
13                   72                   1                    7917                 52                   1.218000             
13                   49                   1                    6770                 51                   1.061961             
13                   50                   1                    8977                 52                   1.381077             
13                   60                   1                    6913                 53                   1.043472             
13                   73                   1                    10529                49                   1.719020             
13                   74                   1                    9742                 30                   2.597867             
13                   84                   1                    11476                47                   1.953362             
13                   85                   1                    12882                52                   1.981846             
14                   49                   1                    5832                 48                   0.972000             
14                   50                   1                    7977                 47                   1.357787             
14                   60                   1                    6599                 51                   1.035137             
14                   37                   1                    7431                 49                   1.213225             
14                   38                   1                    8231                 33                   1.995394             
14                   48                   1                    8302                 50                   1.328320             
14                   61                   1                    7618                 48                   1.269667             
14                   62                   1                    7193                 47                   1.224340             
14                   72                   1                    7665                 36                   1.703333             
14                   73                   1                    10338                51                   1.621647             
14                   74                   1                    9343                 50                   1.494880             
15                   37                   1                    7773                 47                   1.323064             
15                   38                   1                    8330                 51                   1.306667             
15                   48                   1                    8089                 45                   1.438044             
15                   49                   1                    6277                 49                   1.024816             
15                   50                   1                    8660                 48                   1.443333             
15                   61                   1                    7632                 52                   1.174154             
15                   62                   1                    7714                 36                   1.714222             
15                   73                   1                    10332                48                   1.722000             
15                   74                   1                    9668                 47                   1.645617             
15                   85                   1                    12796                48                   2.132667             
16                   37                   1                    7426                 47                   1.264000             
16                   38                   1                    8154                 48                   1.359000             
16                   39                   1                    7708                 49                   1.258449             
16                   49                   1                    5917                 53                   0.893132             
16                   50                   1                    8651                 52                   1.330923             
16                   51                   1                    7108                 48                   1.184667             
16                   25                   1                    7157                 47                   1.218213             
16                   26                   1                    7303                 49                   1.192327             
16                   27                   1                    7719                 49                   1.260245             
16                   62                   1                    7493                 49                   1.223347             
17                   38                   1                    8179                 44                   1.487091             
17                   39                   1                    7721                 48                   1.286833             
17                   50                   1                    8763                 33                   2.124364             
17                   40                   1                    8813                 45                   1.566756             
17                   51                   1                    6955                 44                   1.264545             
17                   52                   1                    8589                 51                   1.347294             
17                   63                   1                    8253                 52                   1.269692             
17                   64                   1                    8248                 48                   1.374667             
17                   75                   1                    9262                 48                   1.543667             
17                   41                   1                    9351                 52                   1.438615             
17                   53                   1                    8148                 48                   1.358000             
18                   40                   1                    8816                 48                   1.469333             
18                   41                   1                    9856                 48                   1.642667             
18                   42                   1                    8435                 48                   1.405833             
18                   52                   1                    8395                 52                   1.291538             
18                   53                   1                    8695                 48                   1.449167             
18                   54                   1                    8496                 48                   1.416000             
18                   65                   1                    8133                 52                   1.251231             
18                   66                   1                    6789                 48                   1.131500             
18                   77                   1                    7275                 48                   1.212500             
18                   78                   1                    6592                 42                   1.255619             
19                   41                   1                    10178                44                   1.850545             
19                   42                   1                    8317                 52                   1.279539             
19                   53                   1                    8792                 51                   1.379137             
19                   54                   1                    8383                 47                   1.426894             
19                   65                   1                    7734                 51                   1.213176             
19                   66                   1                    6563                 20                   2.625200             
19                   43                   1                    8761                 48                   1.460167             
19                   55                   1                    7261                 48                   1.210167             
19                   67                   1                    6213                 45                   1.104533             
19                   77                   1                    7083                 47                   1.205617             
19                   78                   1                    6203                 49                   1.012735             
20                   41                   1                    9982                 49                   1.629714             
20                   42                   1                    8442                 49                   1.378286             
20                   43                   1                    8643                 48                   1.440500             
20                   53                   1                    8456                 52                   1.300923             
20                   54                   1                    8183                 51                   1.283608             
20                   55                   1                    7041                 51                   1.104471             
20                   65                   1                    7728                 48                   1.288000             
20                   66                   1                    6866                 42                   1.307809             
20                   67                   1                    6254                 49                   1.021061             
20                   78                   1                    6126                 33                   1.485091             
