chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 25                   2.947520             
1                    43                   1                    8311                 33                   2.014788             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 19                   2.864000             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 20                   2.808800             
1                    90                   1                    8056                 21                   3.068952             
1                    91                   1                    8824                 18                   3.921778             
1                    102                  1                    9523                 22                   3.462909             
1                    103                  1                    9260                 26                   2.849231             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 18                   3.511556             
1                    77                   1                    7161                 20                   2.864400             
1                    89                   1                    10031                25                   3.209920             
1                    101                  1                    11179                29                   3.083862             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 19                   2.817684             
1                    80                   1                    7734                 15                   4.124800             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                29                   3.220966             
1                    114                  1                    10575                27                   3.133333             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                26                   3.191692             
1                    31                   1                    10459                26                   3.218154             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 27                   2.905482             
1                    32                   1                    9779                 23                   3.401391             
1                    40                   1                    8078                 21                   3.077333             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 18                   3.708889             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                27                   3.049778             
1                    100                  1                    10778                25                   3.448960             
1                    112                  1                    10192                25                   3.261440             
1                    126                  1                    8487                 22                   3.086182             
1                    127                  1                    8599                 19                   3.620632             
1                    128                  1                    11287                26                   3.472923             
1                    125                  1                    7621                 23                   2.650783             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 19                   3.042947             
1                    69                   1                    7469                 18                   3.319556             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                33                   3.460364             
1                    117                  1                    16627                44                   3.023091             
1                    33                   1                    9877                 21                   3.762667             
1                    18                   1                    9508                 26                   2.925539             
1                    19                   1                    10043                26                   3.090154             
1                    20                   1                    9541                 22                   3.469455             
1                    17                   1                    9794                 26                   3.013538             
1                    21                   1                    8659                 19                   3.645895             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 16                   3.959000             
2                    44                   1                    9069                 26                   2.790462             
2                    54                   1                    7607                 20                   3.042800             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 22                   2.980364             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 16                   2.970000             
2                    68                   1                    6444                 13                   3.965539             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 19                   2.839579             
2                    80                   1                    7856                 18                   3.491555             
2                    90                   1                    7843                 22                   2.852000             
2                    91                   1                    8596                 21                   3.274667             
2                    92                   1                    9504                 23                   3.305739             
2                    102                  1                    9522                 25                   3.047040             
2                    103                  1                    9236                 23                   3.212522             
2                    104                  1                    11780                29                   3.249655             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 23                   3.477913             
2                    32                   1                    9461                 23                   3.290783             
2                    41                   1                    9350                 26                   2.876923             
2                    53                   1                    8484                 21                   3.232000             
2                    65                   1                    7543                 14                   4.310286             
2                    77                   1                    7220                 19                   3.040000             
2                    89                   1                    10619                25                   3.398080             
2                    101                  1                    11599                30                   3.093067             
2                    114                  1                    11027                25                   3.528640             
2                    115                  1                    10923                30                   2.912800             
2                    116                  1                    17572                44                   3.194909             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 25                   2.906560             
2                    33                   1                    9501                 22                   3.454909             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 18                   3.173778             
2                    69                   1                    7452                 20                   2.980800             
2                    81                   1                    9611                 22                   3.494909             
2                    93                   1                    11795                30                   3.145333             
2                    105                  1                    14908                36                   3.312889             
2                    117                  1                    18144                44                   3.298909             
2                    18                   1                    9079                 22                   3.301455             
2                    19                   1                    10070                27                   2.983704             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 22                   3.535636             
2                    21                   1                    7679                 23                   2.670957             
3                    42                   1                    8771                 22                   3.189455             
3                    43                   1                    7925                 18                   3.522222             
3                    54                   1                    7812                 19                   3.289263             
3                    55                   1                    6525                 18                   2.900000             
3                    66                   1                    6763                 15                   3.606933             
3                    67                   1                    6128                 18                   2.723556             
3                    78                   1                    6077                 11                   4.419636             
3                    79                   1                    6585                 15                   3.512000             
3                    90                   1                    8194                 23                   2.850087             
3                    91                   1                    8808                 20                   3.523200             
3                    102                  1                    9450                 22                   3.436364             
3                    103                  1                    9218                 22                   3.352000             
3                    41                   1                    9365                 26                   2.881538             
3                    53                   1                    8757                 22                   3.184364             
3                    65                   1                    7769                 17                   3.656000             
3                    77                   1                    7320                 19                   3.082105             
3                    89                   1                    10639                29                   2.934896             
3                    101                  1                    11311                26                   3.480308             
3                    44                   1                    9295                 22                   3.380000             
3                    56                   1                    8308                 22                   3.021091             
3                    68                   1                    6727                 19                   2.832421             
3                    80                   1                    7890                 14                   4.508572             
3                    92                   1                    9459                 22                   3.439636             
3                    104                  1                    11117                31                   2.868903             
3                    30                   1                    9973                 25                   3.191360             
3                    31                   1                    9806                 21                   3.735619             
3                    114                  1                    10810                30                   2.882667             
3                    115                  1                    10291                26                   3.166461             
3                    113                  1                    9056                 23                   3.149913             
3                    116                  1                    14884                38                   3.133474             
3                    29                   1                    9510                 21                   3.622857             
3                    32                   1                    10252                26                   3.154462             
3                    125                  1                    8174                 18                   3.632889             
3                    126                  1                    8918                 22                   3.242909             
3                    52                   1                    8007                 18                   3.558667             
3                    64                   1                    8720                 22                   3.170909             
3                    76                   1                    10998                30                   2.932800             
3                    88                   1                    11465                29                   3.162759             
3                    40                   1                    7771                 17                   3.656941             
3                    100                  1                    11409                31                   2.944258             
3                    112                  1                    10561                25                   3.379520             
3                    28                   1                    8315                 18                   3.695555             
3                    127                  1                    9009                 26                   2.772000             
3                    124                  1                    11393                26                   3.505538             
3                    128                  1                    11156                26                   3.432615             
3                    17                   1                    9542                 26                   2.936000             
3                    18                   1                    9023                 22                   3.281091             
3                    19                   1                    10330                27                   3.060741             
3                    16                   1                    9390                 22                   3.414546             
3                    20                   1                    9210                 21                   3.508571             
3                    27                   1                    8357                 19                   3.518737             
3                    39                   1                    7892                 22                   2.869818             
3                    51                   1                    7805                 19                   3.286316             
3                    63                   1                    7844                 18                   3.486222             
3                    75                   1                    9198                 24                   3.066000             
3                    87                   1                    11188                28                   3.196571             
3                    99                   1                    10900                25                   3.488000             
3                    111                  1                    9721                 22                   3.534909             
4                    41                   1                    9468                 25                   3.029760             
4                    42                   1                    8797                 22                   3.198909             
4                    53                   1                    8644                 22                   3.143273             
4                    54                   1                    7762                 19                   3.268210             
4                    65                   1                    7721                 17                   3.633412             
4                    66                   1                    6356                 19                   2.676211             
4                    77                   1                    7365                 19                   3.101053             
4                    78                   1                    6125                 14                   3.500000             
4                    89                   1                    10953                29                   3.021517             
4                    90                   1                    8044                 19                   3.386947             
4                    101                  1                    11168                27                   3.309037             
4                    102                  1                    9376                 23                   3.261217             
4                    40                   1                    8282                 22                   3.011636             
4                    52                   1                    8157                 22                   2.966182             
4                    64                   1                    8902                 22                   3.237091             
4                    76                   1                    11062                26                   3.403692             
4                    88                   1                    11744                29                   3.239724             
4                    100                  1                    10829                26                   3.332000             
4                    29                   1                    9602                 21                   3.657905             
4                    30                   1                    10009                26                   3.079692             
4                    28                   1                    8408                 22                   3.057455             
4                    43                   1                    7845                 19                   3.303158             
4                    55                   1                    6580                 18                   2.924444             
4                    67                   1                    5901                 15                   3.147200             
4                    79                   1                    6756                 15                   3.603200             
4                    91                   1                    8661                 22                   3.149455             
4                    103                  1                    9645                 23                   3.354783             
4                    31                   1                    10127                25                   3.240640             
4                    113                  1                    8935                 22                   3.249091             
4                    114                  1                    10975                25                   3.512000             
4                    112                  1                    10230                26                   3.147692             
4                    115                  1                    10480                27                   3.105185             
4                    27                   1                    9102                 22                   3.309818             
4                    39                   1                    7988                 22                   2.904727             
4                    51                   1                    8114                 18                   3.606222             
4                    63                   1                    8430                 18                   3.746667             
4                    75                   1                    9837                 26                   3.026769             
