chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 13                   5.668308             
1                    43                   1                    8311                 35                   1.899657             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 10                   5.441600             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 9                    5.942222             
1                    79                   1                    7022                 8                    7.022000             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 14                   5.042286             
1                    102                  1                    9523                 11                   6.925818             
1                    103                  1                    9260                 16                   4.630000             
1                    41                   1                    9589                 15                   5.114133             
1                    53                   1                    8729                 11                   6.348363             
1                    65                   1                    7901                 9                    7.023111             
1                    77                   1                    7161                 11                   5.208000             
1                    89                   1                    10031                14                   5.732000             
1                    101                  1                    11179                15                   5.962133             
1                    44                   1                    9193                 13                   5.657231             
1                    56                   1                    8446                 13                   5.197538             
1                    68                   1                    6692                 12                   4.461333             
1                    80                   1                    7734                 11                   5.624727             
1                    92                   1                    9166                 11                   6.666182             
1                    104                  1                    11676                15                   6.227200             
1                    114                  1                    10575                13                   6.507692             
1                    115                  1                    10595                12                   7.063334             
1                    113                  1                    8527                 19                   3.590316             
1                    30                   1                    10373                13                   6.383385             
1                    31                   1                    10459                13                   6.436308             
1                    116                  1                    16716                22                   6.078546             
1                    29                   1                    9806                 11                   7.131636             
1                    32                   1                    9779                 16                   4.889500             
1                    40                   1                    8078                 11                   5.874909             
1                    52                   1                    8579                 11                   6.239273             
1                    64                   1                    8345                 11                   6.069091             
1                    76                   1                    10159                15                   5.418133             
1                    88                   1                    10293                15                   5.489600             
1                    100                  1                    10778                13                   6.632616             
1                    112                  1                    10192                13                   6.272000             
1                    28                   1                    9247                 11                   6.725091             
1                    125                  1                    7621                 11                   5.542545             
1                    126                  1                    8487                 10                   6.789600             
1                    127                  1                    8599                 13                   5.291692             
1                    128                  1                    11287                16                   5.643500             
1                    45                   1                    8606                 15                   4.589867             
1                    57                   1                    7227                 9                    6.424000             
1                    69                   1                    7469                 11                   5.432000             
1                    81                   1                    9442                 15                   5.035733             
1                    93                   1                    10978                15                   5.854933             
1                    105                  1                    14274                17                   6.717176             
1                    117                  1                    16627                26                   5.116000             
1                    33                   1                    9877                 15                   5.267733             
1                    129                  1                    10865                17                   5.112941             
2                    42                   1                    8862                 11                   6.445091             
2                    43                   1                    7918                 14                   4.524571             
2                    54                   1                    7607                 8                    7.607000             
2                    55                   1                    6282                 13                   3.865846             
2                    66                   1                    6358                 7                    7.266286             
2                    67                   1                    5940                 8                    5.940000             
2                    78                   1                    6307                 7                    7.208000             
2                    79                   1                    6744                 11                   4.904727             
2                    90                   1                    7843                 15                   4.182933             
2                    91                   1                    8596                 11                   6.251637             
2                    102                  1                    9522                 11                   6.925091             
2                    103                  1                    9236                 20                   3.694400             
2                    44                   1                    9069                 12                   6.046000             
2                    56                   1                    8196                 10                   6.556800             
2                    68                   1                    6444                 7                    7.364572             
2                    80                   1                    7856                 12                   5.237333             
2                    92                   1                    9504                 13                   5.848615             
2                    104                  1                    11780                16                   5.890000             
2                    41                   1                    9350                 13                   5.753846             
1                    18                   1                    9508                 14                   5.433143             
1                    19                   1                    10043                16                   5.021500             
1                    20                   1                    9541                 14                   5.452000             
1                    17                   1                    9794                 15                   5.223467             
1                    21                   1                    8659                 15                   4.618134             
2                    31                   1                    9999                 13                   6.153231             
2                    32                   1                    9461                 13                   5.822154             
2                    45                   1                    8640                 17                   4.065882             
2                    57                   1                    7141                 9                    6.347556             
2                    69                   1                    7452                 9                    6.624000             
2                    81                   1                    9611                 14                   5.492000             
2                    93                   1                    11795                20                   4.718000             
2                    105                  1                    14908                20                   5.963200             
2                    30                   1                    10147                14                   5.798285             
2                    33                   1                    9501                 16                   4.750500             
2                    115                  1                    10923                17                   5.140235             
2                    116                  1                    17572                22                   6.389818             
2                    114                  1                    11027                15                   5.881067             
2                    117                  1                    18144                24                   6.048000             
2                    53                   1                    8484                 10                   6.787200             
2                    65                   1                    7543                 17                   3.549647             
2                    77                   1                    7220                 8                    7.220000             
2                    89                   1                    10619                13                   6.534769             
2                    101                  1                    11599                19                   4.883790             
2                    29                   1                    9803                 13                   6.032615             
2                    113                  1                    9083                 12                   6.055333             
2                    18                   1                    9079                 11                   6.602909             
2                    19                   1                    10070                21                   3.836190             
2                    20                   1                    8660                 11                   6.298182             
2                    21                   1                    7679                 10                   6.143200             
2                    17                   1                    9723                 13                   5.983385             
2                    34                   1                    9627                 14                   5.501143             
2                    46                   1                    7022                 10                   5.617600             
2                    58                   1                    6963                 15                   3.713600             
2                    70                   1                    8417                 11                   6.121455             
2                    82                   1                    10686                15                   5.699200             
2                    94                   1                    15129                18                   6.724000             
2                    106                  1                    14775                18                   6.566667             
2                    22                   1                    9729                 15                   5.188800             
2                    118                  1                    15211                17                   7.158118             
3                    43                   1                    7925                 9                    7.044445             
3                    44                   1                    9295                 16                   4.647500             
3                    55                   1                    6525                 6                    8.700000             
3                    56                   1                    8308                 13                   5.112616             
3                    67                   1                    6128                 9                    5.447111             
3                    68                   1                    6727                 8                    6.727000             
3                    79                   1                    6585                 7                    7.525714             
3                    80                   1                    7890                 14                   4.508572             
3                    42                   1                    8771                 10                   7.016800             
3                    54                   1                    7812                 8                    7.812000             
3                    66                   1                    6763                 13                   4.161846             
3                    78                   1                    6077                 8                    6.077000             
3                    90                   1                    8194                 14                   4.682286             
3                    91                   1                    8808                 11                   6.405818             
3                    92                   1                    9459                 13                   5.820923             
3                    102                  1                    9450                 13                   5.815384             
