chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 25                   2.947520             
1                    43                   1                    8311                 23                   2.890783             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 19                   2.864000             
1                    66                   1                    7065                 18                   3.140000             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 14                   3.820000             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 18                   3.580444             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 27                   2.821630             
1                    103                  1                    9260                 21                   3.527619             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 22                   2.873091             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                26                   3.086462             
1                    101                  1                    11179                26                   3.439692             
1                    44                   1                    9193                 26                   2.828615             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 15                   3.569067             
1                    80                   1                    7734                 18                   3.437333             
1                    92                   1                    9166                 21                   3.491810             
1                    104                  1                    11676                34                   2.747294             
1                    114                  1                    10575                22                   3.845454             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                25                   3.319360             
1                    31                   1                    10459                26                   3.218154             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 26                   3.017231             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 22                   2.937454             
1                    52                   1                    8579                 23                   2.984000             
1                    64                   1                    8345                 18                   3.708889             
1                    76                   1                    10159                30                   2.709067             
1                    88                   1                    10293                22                   3.742909             
1                    100                  1                    10778                26                   3.316308             
1                    112                  1                    10192                26                   3.136000             
1                    28                   1                    9247                 27                   2.739852             
1                    125                  1                    7621                 14                   4.354857             
1                    126                  1                    8487                 19                   3.573474             
1                    127                  1                    8599                 27                   2.547852             
1                    128                  1                    11287                25                   3.611840             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 19                   3.042947             
1                    69                   1                    7469                 18                   3.319556             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                30                   2.927467             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                40                   3.325400             
1                    33                   1                    9877                 26                   3.039077             
1                    129                  1                    10865                26                   3.343077             
2                    42                   1                    8862                 22                   3.222545             
1                    18                   1                    9508                 22                   3.457454             
1                    19                   1                    10043                27                   2.975704             
1                    20                   1                    9541                 26                   2.935692             
1                    17                   1                    9794                 23                   3.406609             
1                    21                   1                    8659                 22                   3.148727             
2                    43                   1                    7918                 22                   2.879273             
2                    44                   1                    9069                 22                   3.297818             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 19                   3.450947             
2                    67                   1                    5940                 15                   3.168000             
2                    68                   1                    6444                 18                   2.864000             
2                    79                   1                    6744                 18                   2.997333             
2                    80                   1                    7856                 20                   3.142400             
2                    91                   1                    8596                 22                   3.125818             
2                    92                   1                    9504                 22                   3.456000             
2                    103                  1                    9236                 26                   2.841846             
2                    104                  1                    11780                29                   3.249655             
2                    54                   1                    7607                 19                   3.202947             
2                    66                   1                    6358                 14                   3.633143             
2                    78                   1                    6307                 19                   2.655579             
2                    90                   1                    7843                 18                   3.485778             
2                    102                  1                    9522                 22                   3.462545             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 26                   3.076615             
2                    32                   1                    9461                 22                   3.440364             
2                    41                   1                    9350                 22                   3.400000             
2                    53                   1                    8484                 19                   3.572211             
2                    65                   1                    7543                 22                   2.742909             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                30                   3.093067             
2                    114                  1                    11027                26                   3.392923             
2                    115                  1                    10923                30                   2.912800             
2                    116                  1                    17572                44                   3.194909             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 26                   2.794769             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 18                   3.173778             
2                    69                   1                    7452                 20                   2.980800             
2                    33                   1                    9501                 23                   3.304696             
2                    81                   1                    9611                 25                   3.075520             
2                    93                   1                    11795                30                   3.145333             
2                    105                  1                    14908                37                   3.223351             
2                    117                  1                    18144                44                   3.298909             
2                    18                   1                    9079                 26                   2.793539             
2                    19                   1                    10070                22                   3.661818             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 21                   3.704000             
2                    21                   1                    7679                 22                   2.792364             
3                    42                   1                    8771                 19                   3.693053             
3                    43                   1                    7925                 19                   3.336842             
3                    54                   1                    7812                 22                   2.840727             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 18                   3.005778             
3                    67                   1                    6128                 15                   3.268267             
3                    78                   1                    6077                 16                   3.038500             
3                    79                   1                    6585                 14                   3.762857             
3                    90                   1                    8194                 23                   2.850087             
3                    91                   1                    8808                 21                   3.355428             
3                    102                  1                    9450                 26                   2.907692             
3                    103                  1                    9218                 22                   3.352000             
3                    44                   1                    9295                 22                   3.380000             
3                    56                   1                    8308                 22                   3.021091             
3                    68                   1                    6727                 19                   2.832421             
3                    80                   1                    7890                 19                   3.322105             
3                    92                   1                    9459                 23                   3.290087             
3                    104                  1                    11117                29                   3.066759             
3                    41                   1                    9365                 22                   3.405455             
3                    53                   1                    8757                 23                   3.045913             
3                    65                   1                    7769                 19                   3.271158             
3                    77                   1                    7320                 17                   3.444706             
3                    89                   1                    10639                30                   2.837067             
3                    101                  1                    11311                25                   3.619520             
3                    30                   1                    9973                 23                   3.468869             
3                    31                   1                    9806                 25                   3.137920             
3                    114                  1                    10810                30                   2.882667             
3                    115                  1                    10291                25                   3.293120             
3                    32                   1                    10252                26                   3.154462             
3                    29                   1                    9510                 22                   3.458182             
3                    116                  1                    14884                41                   2.904195             
3                    113                  1                    9056                 17                   4.261647             
3                    40                   1                    7771                 19                   3.272000             
