chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 22                   3.022182             
1                    54                   1                    7786                 20                   3.114400             
1                    55                   1                    6802                 17                   3.200941             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 19                   2.703579             
1                    78                   1                    6685                 14                   3.820000             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 18                   3.580444             
1                    91                   1                    8824                 23                   3.069217             
1                    102                  1                    9523                 25                   3.047360             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 23                   3.036174             
1                    65                   1                    7901                 22                   2.873091             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                27                   2.972148             
1                    101                  1                    11179                26                   3.439692             
1                    44                   1                    9193                 25                   2.941760             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 15                   3.569067             
1                    80                   1                    7734                 17                   3.639529             
1                    92                   1                    9166                 23                   3.188174             
1                    104                  1                    11676                33                   2.830545             
1                    114                  1                    10575                23                   3.678261             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                25                   3.319360             
1                    31                   1                    10459                26                   3.218154             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 25                   3.137920             
1                    32                   1                    9779                 27                   2.897481             
1                    40                   1                    8078                 21                   3.077333             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 20                   3.338000             
1                    76                   1                    10159                28                   2.902571             
1                    88                   1                    10293                22                   3.742909             
1                    100                  1                    10778                26                   3.316308             
1                    125                  1                    7621                 19                   3.208842             
1                    126                  1                    8487                 22                   3.086182             
1                    127                  1                    8599                 22                   3.126909             
1                    128                  1                    11287                26                   3.472923             
1                    112                  1                    10192                30                   2.717867             
1                    45                   1                    8606                 23                   2.993391             
1                    57                   1                    7227                 14                   4.129714             
1                    69                   1                    7469                 20                   2.987600             
1                    81                   1                    9442                 21                   3.596952             
1                    93                   1                    10978                30                   2.927467             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                41                   3.244293             
1                    33                   1                    9877                 25                   3.160640             
1                    129                  1                    10865                26                   3.343077             
1                    18                   1                    9508                 22                   3.457454             
1                    19                   1                    10043                26                   3.090154             
1                    20                   1                    9541                 25                   3.053120             
1                    17                   1                    9794                 23                   3.406609             
1                    21                   1                    8659                 22                   3.148727             
2                    42                   1                    8862                 23                   3.082435             
2                    43                   1                    7918                 18                   3.519111             
2                    44                   1                    9069                 26                   2.790462             
2                    54                   1                    7607                 18                   3.380889             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 22                   2.980364             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 15                   3.168000             
2                    68                   1                    6444                 18                   2.864000             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 15                   3.596800             
2                    80                   1                    7856                 22                   2.856727             
2                    90                   1                    7843                 19                   3.302316             
2                    91                   1                    8596                 22                   3.125818             
2                    92                   1                    9504                 22                   3.456000             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 26                   2.841846             
2                    104                  1                    11780                29                   3.249655             
2                    30                   1                    10147                27                   3.006519             
2                    31                   1                    9999                 26                   3.076615             
2                    32                   1                    9461                 23                   3.290783             
2                    41                   1                    9350                 25                   2.992000             
2                    53                   1                    8484                 18                   3.770667             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                29                   3.199724             
2                    114                  1                    11027                27                   3.267259             
2                    115                  1                    10923                28                   3.120857             
2                    116                  1                    17572                50                   2.811520             
2                    29                   1                    9803                 16                   4.901500             
2                    113                  1                    9083                 26                   2.794769             
2                    33                   1                    9501                 22                   3.454909             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 17                   3.360471             
2                    69                   1                    7452                 19                   3.137684             
2                    81                   1                    9611                 26                   2.957231             
2                    93                   1                    11795                29                   3.253793             
2                    105                  1                    14908                37                   3.223351             
2                    117                  1                    18144                48                   3.024000             
2                    18                   1                    9079                 18                   4.035111             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 22                   3.535636             
2                    21                   1                    7679                 22                   2.792364             
3                    42                   1                    8771                 22                   3.189455             
3                    43                   1                    7925                 19                   3.336842             
3                    54                   1                    7812                 22                   2.840727             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 14                   3.864571             
3                    67                   1                    6128                 15                   3.268267             
3                    78                   1                    6077                 16                   3.038500             
3                    79                   1                    6585                 17                   3.098824             
3                    90                   1                    8194                 22                   2.979636             
3                    91                   1                    8808                 22                   3.202909             
3                    102                  1                    9450                 21                   3.600000             
3                    103                  1                    9218                 26                   2.836308             
3                    41                   1                    9365                 22                   3.405455             
3                    53                   1                    8757                 20                   3.502800             
3                    65                   1                    7769                 19                   3.271158             
3                    77                   1                    7320                 18                   3.253333             
3                    89                   1                    10639                29                   2.934896             
3                    101                  1                    11311                26                   3.480308             
3                    44                   1                    9295                 22                   3.380000             
3                    56                   1                    8308                 23                   2.889739             
3                    68                   1                    6727                 18                   2.989778             
3                    80                   1                    7890                 19                   3.322105             
3                    92                   1                    9459                 25                   3.026880             
3                    104                  1                    11117                26                   3.420615             
3                    30                   1                    9973                 27                   2.954963             
3                    31                   1                    9806                 25                   3.137920             
3                    114                  1                    10810                25                   3.459200             
3                    115                  1                    10291                26                   3.166461             
3                    113                  1                    9056                 23                   3.149913             
3                    29                   1                    9510                 25                   3.043200             
3                    116                  1                    14884                37                   3.218162             
3                    32                   1                    10252                26                   3.154462             
3                    125                  1                    8174                 18                   3.632889             
3                    126                  1                    8918                 26                   2.744000             
3                    127                  1                    9009                 20                   3.603600             
3                    128                  1                    11156                24                   3.718667             
3                    40                   1                    7771                 18                   3.453778             
3                    52                   1                    8007                 20                   3.202800             
3                    64                   1                    8720                 21                   3.321905             
3                    76                   1                    10998                25                   3.519360             
3                    88                   1                    11465                29                   3.162759             
3                    100                  1                    11409                30                   3.042400             
3                    112                  1                    10561                27                   3.129185             
3                    28                   1                    8315                 20                   3.326000             
3                    124                  1                    11393                25                   3.645760             
3                    17                   1                    9542                 26                   2.936000             
3                    18                   1                    9023                 23                   3.138435             
3                    19                   1                    10330                26                   3.178462             
3                    16                   1                    9390                 22                   3.414546             
3                    20                   1                    9210                 26                   2.833846             
3                    27                   1                    8357                 22                   3.038909             
3                    39                   1                    7892                 19                   3.322947             
3                    51                   1                    7805                 22                   2.838182             
3                    63                   1                    7844                 19                   3.302737             
3                    75                   1                    9198                 25                   2.943360             
3                    87                   1                    11188                23                   3.891478             
