chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 15                   4.912533             
1                    43                   1                    8311                 10                   6.648800             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 9                    6.046222             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 8                    6.421000             
1                    78                   1                    6685                 7                    7.640000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 11                   5.858909             
1                    91                   1                    8824                 9                    7.843555             
1                    102                  1                    9523                 11                   6.925818             
1                    103                  1                    9260                 13                   5.698462             
1                    41                   1                    9589                 11                   6.973818             
1                    53                   1                    8729                 11                   6.348363             
1                    65                   1                    7901                 10                   6.320800             
1                    77                   1                    7161                 9                    6.365334             
1                    89                   1                    10031                13                   6.172923             
1                    101                  1                    11179                14                   6.388000             
1                    44                   1                    9193                 12                   6.128667             
1                    56                   1                    8446                 10                   6.756800             
1                    68                   1                    6692                 10                   5.353600             
1                    80                   1                    7734                 7                    8.838857             
1                    92                   1                    9166                 11                   6.666182             
1                    104                  1                    11676                15                   6.227200             
1                    114                  1                    10575                15                   5.640000             
1                    115                  1                    10595                13                   6.520000             
1                    113                  1                    8527                 11                   6.201455             
1                    30                   1                    10373                12                   6.915333             
1                    31                   1                    10459                13                   6.436308             
1                    116                  1                    16716                21                   6.368000             
1                    29                   1                    9806                 12                   6.537333             
1                    32                   1                    9779                 11                   7.112000             
1                    40                   1                    8078                 11                   5.874909             
1                    52                   1                    8579                 11                   6.239273             
1                    64                   1                    8345                 11                   6.069091             
1                    76                   1                    10159                13                   6.251692             
1                    88                   1                    10293                13                   6.334154             
1                    100                  1                    10778                11                   7.838545             
1                    112                  1                    10192                13                   6.272000             
1                    28                   1                    9247                 11                   6.725091             
1                    125                  1                    7621                 10                   6.096800             
1                    126                  1                    8487                 9                    7.544000             
1                    127                  1                    8599                 13                   5.291692             
1                    128                  1                    11287                13                   6.945846             
1                    124                  1                    10998                12                   7.332000             
1                    45                   1                    8606                 11                   6.258909             
1                    57                   1                    7227                 10                   5.781600             
1                    69                   1                    7469                 10                   5.975200             
1                    81                   1                    9442                 11                   6.866909             
1                    93                   1                    10978                15                   5.854933             
1                    105                  1                    14274                17                   6.717176             
1                    117                  1                    16627                20                   6.650800             
1                    33                   1                    9877                 11                   7.183273             
1                    129                  1                    10865                12                   7.243333             
2                    42                   1                    8862                 11                   6.445091             
2                    43                   1                    7918                 12                   5.278666             
2                    54                   1                    7607                 8                    7.607000             
2                    55                   1                    6282                 7                    7.179429             
2                    66                   1                    6358                 8                    6.358000             
2                    67                   1                    5940                 9                    5.280000             
2                    78                   1                    6307                 7                    7.208000             
2                    79                   1                    6744                 10                   5.395200             
2                    90                   1                    7843                 10                   6.274400             
2                    91                   1                    8596                 10                   6.876800             
2                    102                  1                    9522                 13                   5.859692             
2                    103                  1                    9236                 9                    8.209778             
2                    44                   1                    9069                 11                   6.595636             
2                    56                   1                    8196                 10                   6.556800             
2                    68                   1                    6444                 8                    6.444000             
2                    80                   1                    7856                 10                   6.284800             
2                    92                   1                    9504                 11                   6.912000             
2                    104                  1                    11780                15                   6.282667             
1                    18                   1                    9508                 11                   6.914909             
1                    19                   1                    10043                13                   6.180308             
1                    20                   1                    9541                 11                   6.938909             
