chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 13                   5.668308             
1                    43                   1                    8311                 12                   5.540667             
1                    54                   1                    7786                 8                    7.786000             
1                    55                   1                    6802                 9                    6.046222             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 10                   5.136800             
1                    78                   1                    6685                 7                    7.640000             
1                    79                   1                    7022                 19                   2.956632             
1                    90                   1                    8056                 1                    64.447998            
1                    91                   1                    8824                 11                   6.417455             
1                    102                  1                    9523                 14                   5.441714             
1                    103                  1                    9260                 10                   7.408000             
1                    41                   1                    9589                 13                   5.900923             
1                    53                   1                    8729                 11                   6.348363             
1                    65                   1                    7901                 11                   5.746182             
1                    77                   1                    7161                 10                   5.728800             
1                    89                   1                    10031                13                   6.172923             
1                    101                  1                    11179                14                   6.388000             
1                    44                   1                    9193                 11                   6.685818             
1                    56                   1                    8446                 12                   5.630667             
1                    68                   1                    6692                 9                    5.948444             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 14                   5.237714             
1                    104                  1                    11676                14                   6.672000             
1                    114                  1                    10575                12                   7.050000             
1                    115                  1                    10595                14                   6.054286             
1                    113                  1                    8527                 11                   6.201455             
1                    30                   1                    10373                13                   6.383385             
1                    31                   1                    10459                13                   6.436308             
1                    116                  1                    16716                22                   6.078546             
1                    29                   1                    9806                 13                   6.034461             
1                    32                   1                    9779                 13                   6.017846             
1                    40                   1                    8078                 10                   6.462400             
1                    52                   1                    8579                 10                   6.863200             
1                    64                   1                    8345                 11                   6.069091             
1                    76                   1                    10159                14                   5.805143             
1                    88                   1                    10293                12                   6.862000             
1                    100                  1                    10778                13                   6.632616             
1                    112                  1                    10192                13                   6.272000             
1                    28                   1                    9247                 13                   5.690462             
1                    125                  1                    7621                 10                   6.096800             
1                    126                  1                    8487                 10                   6.789600             
1                    127                  1                    8599                 13                   5.291692             
1                    128                  1                    11287                13                   6.945846             
1                    124                  1                    10998                15                   5.865600             
1                    45                   1                    8606                 11                   6.258909             
1                    57                   1                    7227                 8                    7.227000             
1                    69                   1                    7469                 10                   5.975200             
1                    81                   1                    9442                 13                   5.810462             
1                    93                   1                    10978                12                   7.318666             
1                    105                  1                    14274                19                   6.010105             
