chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 13                   5.668308             
1                    43                   1                    8311                 10                   6.648800             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 9                    6.046222             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 9                    5.707556             
1                    78                   1                    6685                 7                    7.640000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 11                   6.417455             
1                    102                  1                    9523                 13                   5.860308             
1                    103                  1                    9260                 11                   6.734545             
1                    41                   1                    9589                 14                   5.479429             
1                    53                   1                    8729                 10                   6.983200             
1                    65                   1                    7901                 11                   5.746182             
1                    77                   1                    7161                 9                    6.365334             
1                    89                   1                    10031                13                   6.172923             
1                    101                  1                    11179                15                   5.962133             
1                    44                   1                    9193                 11                   6.685818             
1                    56                   1                    8446                 11                   6.142545             
1                    68                   1                    6692                 9                    5.948444             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 13                   5.640615             
1                    104                  1                    11676                15                   6.227200             
1                    114                  1                    10575                13                   6.507692             
1                    115                  1                    10595                15                   5.650667             
1                    113                  1                    8527                 24                   2.842333             
1                    30                   1                    10373                3                    27.661333            
1                    31                   1                    10459                11                   7.606545             
1                    116                  1                    16716                21                   6.368000             
1                    29                   1                    9806                 13                   6.034461             
1                    32                   1                    9779                 13                   6.017846             
1                    40                   1                    8078                 8                    8.078000             
1                    52                   1                    8579                 11                   6.239273             
1                    64                   1                    8345                 11                   6.069091             
1                    76                   1                    10159                13                   6.251692             
1                    88                   1                    10293                13                   6.334154             
1                    100                  1                    10778                14                   6.158857             
1                    112                  1                    10192                13                   6.272000             
1                    28                   1                    9247                 13                   5.690462             
1                    125                  1                    7621                 10                   6.096800             
1                    126                  1                    8487                 12                   5.658000             
1                    127                  1                    8599                 10                   6.879200             
1                    128                  1                    11287                14                   6.449714             
1                    124                  1                    10998                13                   6.768000             
1                    45                   1                    8606                 11                   6.258909             
1                    57                   1                    7227                 10                   5.781600             
1                    69                   1                    7469                 9                    6.639111             
1                    81                   1                    9442                 13                   5.810462             
1                    93                   1                    10978                12                   7.318666             
1                    105                  1                    14274                19                   6.010105             
1                    117                  1                    16627                23                   5.783304             
1                    33                   1                    9877                 12                   6.584667             
1                    129                  1                    10865                13                   6.686154             
2                    42                   1                    8862                 13                   5.453538             
2                    43                   1                    7918                 10                   6.334400             
2                    54                   1                    7607                 8                    7.607000             
2                    55                   1                    6282                 11                   4.568727             
2                    66                   1                    6358                 6                    8.477333             
2                    67                   1                    5940                 8                    5.940000             
2                    78                   1                    6307                 7                    7.208000             
2                    79                   1                    6744                 9                    5.994667             
2                    90                   1                    7843                 10                   6.274400             
2                    91                   1                    8596                 11                   6.251637             
2                    102                  1                    9522                 13                   5.859692             
2                    103                  1                    9236                 12                   6.157333             
2                    44                   1                    9069                 11                   6.595636             
2                    56                   1                    8196                 11                   5.960727             
2                    68                   1                    6444                 7                    7.364572             
2                    80                   1                    7856                 11                   5.713455             
2                    92                   1                    9504                 11                   6.912000             
2                    104                  1                    11780                17                   5.543530             
2                    41                   1                    9350                 11                   6.800000             
2                    53                   1                    8484                 11                   6.170182             
2                    65                   1                    7543                 10                   6.034400             
2                    77                   1                    7220                 9                    6.417778             
2                    89                   1                    10619                13                   6.534769             
2                    101                  1                    11599                15                   6.186133             
2                    114                  1                    11027                15                   5.881067             
2                    115                  1                    10923                15                   5.825600             
2                    116                  1                    17572                22                   6.389818             
2                    30                   1                    10147                13                   6.244308             
2                    31                   1                    9999                 13                   6.153231             
2                    32                   1                    9461                 13                   5.822154             
2                    113                  1                    9083                 10                   7.266400             
2                    29                   1                    9803                 12                   6.535333             
2                    45                   1                    8640                 12                   5.760000             
2                    57                   1                    7141                 9                    6.347556             
2                    69                   1                    7452                 9                    6.624000             
2                    81                   1                    9611                 13                   5.914462             
2                    93                   1                    11795                15                   6.290667             
2                    105                  1                    14908                20                   5.963200             
2                    117                  1                    18144                22                   6.597818             
2                    33                   1                    9501                 13                   5.846769             
2                    126                  1                    9115                 11                   6.629091             
2                    127                  1                    9246                 13                   5.689846             
1                    18                   1                    9508                 11                   6.914909             
1                    19                   1                    10043                15                   5.356266             
1                    20                   1                    9541                 11                   6.938909             
1                    17                   1                    9794                 13                   6.027077             
1                    21                   1                    8659                 11                   6.297454             
2                    18                   1                    9079                 13                   5.587077             
2                    19                   1                    10070                12                   6.713333             
2                    20                   1                    8660                 11                   6.298182             
2                    21                   1                    7679                 9                    6.825778             
2                    17                   1                    9723                 12                   6.482000             
2                    34                   1                    9627                 14                   5.501143             
