chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 13                   5.668308             
1                    43                   1                    8311                 11                   6.044363             
1                    54                   1                    7786                 8                    7.786000             
1                    55                   1                    6802                 9                    6.046222             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 10                   5.136800             
1                    78                   1                    6685                 7                    7.640000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 10                   7.059200             
1                    102                  1                    9523                 13                   5.860308             
1                    103                  1                    9260                 11                   6.734545             
1                    41                   1                    9589                 13                   5.900923             
1                    53                   1                    8729                 11                   6.348363             
1                    65                   1                    7901                 11                   5.746182             
1                    77                   1                    7161                 10                   5.728800             
1                    89                   1                    10031                13                   6.172923             
1                    101                  1                    11179                14                   6.388000             
1                    44                   1                    9193                 11                   6.685818             
1                    56                   1                    8446                 11                   6.142545             
1                    68                   1                    6692                 10                   5.353600             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 14                   5.237714             
1                    104                  1                    11676                15                   6.227200             
1                    114                  1                    10575                12                   7.050000             
1                    115                  1                    10595                14                   6.054286             
1                    113                  1                    8527                 11                   6.201455             
1                    30                   1                    10373                13                   6.383385             
1                    31                   1                    10459                13                   6.436308             
1                    116                  1                    16716                22                   6.078546             
1                    29                   1                    9806                 13                   6.034461             
1                    32                   1                    9779                 13                   6.017846             
1                    40                   1                    8078                 9                    7.180444             
1                    52                   1                    8579                 11                   6.239273             
1                    64                   1                    8345                 12                   5.563334             
1                    76                   1                    10159                12                   6.772666             
1                    88                   1                    10293                13                   6.334154             
1                    100                  1                    10778                15                   5.748267             
1                    112                  1                    10192                13                   6.272000             
1                    28                   1                    9247                 15                   4.931733             
1                    125                  1                    7621                 8                    7.621000             
1                    126                  1                    8487                 11                   6.172364             
1                    127                  1                    8599                 11                   6.253818             
1                    128                  1                    11287                15                   6.019733             
1                    124                  1                    10998                14                   6.284572             
1                    45                   1                    8606                 13                   5.296000             
1                    57                   1                    7227                 8                    7.227000             
1                    69                   1                    7469                 9                    6.639111             
1                    81                   1                    9442                 13                   5.810462             
1                    93                   1                    10978                13                   6.755692             
1                    105                  1                    14274                18                   6.344000             
1                    117                  1                    16627                23                   5.783304             
1                    33                   1                    9877                 12                   6.584667             
1                    129                  1                    10865                13                   6.686154             
1                    18                   1                    9508                 13                   5.851077             
1                    19                   1                    10043                13                   6.180308             
1                    20                   1                    9541                 13                   5.871385             
1                    17                   1                    9794                 13                   6.027077             
1                    21                   1                    8659                 11                   6.297454             
2                    42                   1                    8862                 11                   6.445091             
2                    43                   1                    7918                 11                   5.758545             
2                    44                   1                    9069                 11                   6.595636             
2                    54                   1                    7607                 10                   6.085600             
2                    55                   1                    6282                 9                    5.584000             
2                    56                   1                    8196                 11                   5.960727             
2                    66                   1                    6358                 7                    7.266286             
2                    67                   1                    5940                 8                    5.940000             
2                    68                   1                    6444                 9                    5.728000             
2                    78                   1                    6307                 6                    8.409333             
2                    79                   1                    6744                 9                    5.994667             
2                    80                   1                    7856                 12                   5.237333             
2                    90                   1                    7843                 10                   6.274400             
2                    91                   1                    8596                 10                   6.876800             
2                    92                   1                    9504                 13                   5.848615             
2                    102                  1                    9522                 13                   5.859692             
2                    103                  1                    9236                 12                   6.157333             
2                    104                  1                    11780                14                   6.731429             
2                    30                   1                    10147                12                   6.764667             
2                    31                   1                    9999                 12                   6.666000             
2                    32                   1                    9461                 13                   5.822154             
2                    41                   1                    9350                 13                   5.753846             
2                    53                   1                    8484                 11                   6.170182             
2                    65                   1                    7543                 9                    6.704889             
2                    77                   1                    7220                 11                   5.250909             
2                    89                   1                    10619                13                   6.534769             
2                    101                  1                    11599                16                   5.799500             
2                    114                  1                    11027                12                   7.351333             
2                    115                  1                    10923                15                   5.825600             
2                    116                  1                    17572                22                   6.389818             
2                    29                   1                    9803                 13                   6.032615             
2                    113                  1                    9083                 10                   7.266400             
2                    45                   1                    8640                 11                   6.283637             
2                    57                   1                    7141                 9                    6.347556             
2                    69                   1                    7452                 11                   5.419636             
2                    81                   1                    9611                 12                   6.407333             
2                    93                   1                    11795                16                   5.897500             
2                    105                  1                    14908                19                   6.277052             
2                    33                   1                    9501                 12                   6.334000             
2                    117                  1                    18144                22                   6.597818             
2                    18                   1                    9079                 14                   5.188000             
2                    19                   1                    10070                12                   6.713333             
2                    20                   1                    8660                 11                   6.298182             
2                    17                   1                    9723                 13                   5.983385             
2                    21                   1                    7679                 7                    8.776000             
3                    42                   1                    8771                 12                   5.847333             
3                    43                   1                    7925                 8                    7.925000             
3                    54                   1                    7812                 11                   5.681455             
3                    55                   1                    6525                 7                    7.457143             
3                    66                   1                    6763                 10                   5.410400             
3                    67                   1                    6128                 7                    7.003428             
3                    78                   1                    6077                 9                    5.401778             
3                    79                   1                    6585                 8                    6.585000             
3                    90                   1                    8194                 11                   5.959273             
3                    91                   1                    8808                 11                   6.405818             
3                    102                  1                    9450                 13                   5.815384             
3                    103                  1                    9218                 12                   6.145333             
3                    41                   1                    9365                 12                   6.243333             
3                    53                   1                    8757                 11                   6.368727             
3                    65                   1                    7769                 11                   5.650182             
3                    77                   1                    7320                 9                    6.506667             
3                    89                   1                    10639                14                   6.079429             
3                    101                  1                    11311                14                   6.463428             
3                    44                   1                    9295                 13                   5.720000             
3                    56                   1                    8308                 10                   6.646400             
3                    68                   1                    6727                 8                    6.727000             
3                    80                   1                    7890                 12                   5.260000             
3                    92                   1                    9459                 10                   7.567200             
3                    104                  1                    11117                15                   5.929067             
3                    30                   1                    9973                 14                   5.698857             
3                    31                   1                    9806                 12                   6.537333             
