chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    100000004            127546               6.272247             
1                    43                   1                    8311                 9                    7.387556             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 8                    6.802000             
1                    66                   1                    7065                 7                    8.074286             
1                    67                   1                    6421                 3                    17.122667            
1                    78                   1                    6685                 8                    6.685000             
1                    79                   1                    7022                 8                    7.022000             
1                    90                   1                    8056                 9                    7.160889             
1                    91                   1                    8824                 9                    7.843555             
1                    102                  1                    9523                 11                   6.925818             
1                    103                  1                    9260                 9                    8.231112             
1                    41                   1                    9589                 11                   6.973818             
1                    53                   1                    8729                 8                    8.729000             
1                    65                   1                    7901                 9                    7.023111             
1                    77                   1                    7161                 7                    8.184000             
1                    89                   1                    10031                10                   8.024800             
1                    101                  1                    11179                13                   6.879385             
1                    44                   1                    9193                 9                    8.171556             
1                    56                   1                    8446                 9                    7.507555             
1                    68                   1                    6692                 6                    8.922667             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 9                    8.147555             
1                    104                  1                    11676                13                   7.185231             
1                    114                  1                    10575                13                   6.507692             
1                    115                  1                    10595                10                   8.476000             
1                    113                  1                    8527                 9                    7.579556             
1                    30                   1                    10373                11                   7.544000             
1                    31                   1                    10459                14                   5.976572             
1                    116                  1                    16716                18                   7.429333             
1                    29                   1                    9806                 11                   7.131636             
1                    32                   1                    9779                 11                   7.112000             
