chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 22                   3.022182             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 18                   3.023111             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 19                   2.703579             
1                    78                   1                    6685                 14                   3.820000             
1                    79                   1                    7022                 18                   3.120889             
1                    90                   1                    8056                 23                   2.802087             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 26                   2.930154             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 26                   2.950462             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 22                   2.873091             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                26                   3.086462             
1                    101                  1                    11179                31                   2.884903             
1                    44                   1                    9193                 23                   3.197565             
1                    56                   1                    8446                 27                   2.502518             
1                    68                   1                    6692                 11                   4.866909             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 26                   2.820308             
1                    104                  1                    11676                29                   3.220966             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                30                   2.825333             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                27                   3.073482             
1                    31                   1                    10459                25                   3.346880             
1                    116                  1                    16716                44                   3.039273             
1                    29                   1                    9806                 26                   3.017231             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 18                   3.590222             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 22                   3.034545             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                26                   3.167077             
1                    100                  1                    10778                30                   2.874133             
1                    112                  1                    10192                26                   3.136000             
1                    28                   1                    9247                 26                   2.845231             
1                    125                  1                    7621                 18                   3.387111             
1                    126                  1                    8487                 22                   3.086182             
1                    127                  1                    8599                 22                   3.126909             
1                    128                  1                    11287                30                   3.009867             
1                    124                  1                    10998                30                   2.932800             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 18                   3.212000             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 25                   3.021440             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                45                   2.955911             
1                    33                   1                    9877                 25                   3.160640             
1                    129                  1                    10865                26                   3.343077             
1                    18                   1                    9508                 26                   2.925539             
1                    19                   1                    10043                26                   3.090154             
1                    20                   1                    9541                 26                   2.935692             
1                    17                   1                    9794                 26                   3.013538             
1                    21                   1                    8659                 22                   3.148727             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 22                   2.879273             
2                    44                   1                    9069                 22                   3.297818             
2                    54                   1                    7607                 19                   3.202947             
2                    55                   1                    6282                 18                   2.792000             
2                    56                   1                    8196                 22                   2.980364             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 15                   3.168000             
2                    68                   1                    6444                 18                   2.864000             
2                    78                   1                    6307                 16                   3.153500             
2                    79                   1                    6744                 17                   3.173647             
2                    80                   1                    7856                 23                   2.732522             
2                    90                   1                    7843                 18                   3.485778             
2                    91                   1                    8596                 22                   3.125818             
2                    92                   1                    9504                 26                   2.924308             
2                    102                  1                    9522                 26                   2.929846             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                30                   3.141333             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 25                   3.199680             
2                    32                   1                    9461                 26                   2.911077             
2                    41                   1                    9350                 26                   2.876923             
2                    53                   1                    8484                 23                   2.950957             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 20                   2.888000             
2                    89                   1                    10619                24                   3.539667             
2                    101                  1                    11599                34                   2.729177             
2                    114                  1                    11027                25                   3.528640             
2                    115                  1                    10923                30                   2.912800             
2                    116                  1                    17572                45                   3.123911             
2                    29                   1                    9803                 25                   3.136960             
2                    113                  1                    9083                 22                   3.302909             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 19                   3.006737             
2                    69                   1                    7452                 22                   2.709818             
2                    81                   1                    9611                 22                   3.494909             
2                    93                   1                    11795                33                   2.859394             
2                    105                  1                    14908                37                   3.223351             
2                    33                   1                    9501                 26                   2.923385             
2                    117                  1                    18144                44                   3.298909             
2                    18                   1                    9079                 26                   2.793539             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 26                   2.991692             
2                    21                   1                    7679                 19                   3.233263             
3                    42                   1                    8771                 22                   3.189455             
3                    43                   1                    7925                 22                   2.881818             
3                    54                   1                    7812                 18                   3.472000             
3                    55                   1                    6525                 19                   2.747368             
3                    66                   1                    6763                 18                   3.005778             
3                    67                   1                    6128                 14                   3.501714             
3                    78                   1                    6077                 16                   3.038500             
3                    79                   1                    6585                 17                   3.098824             
3                    90                   1                    8194                 22                   2.979636             
3                    91                   1                    8808                 23                   3.063652             
3                    102                  1                    9450                 25                   3.024000             
3                    103                  1                    9218                 22                   3.352000             
3                    41                   1                    9365                 25                   2.996800             
3                    53                   1                    8757                 22                   3.184364             
3                    65                   1                    7769                 18                   3.452889             
3                    77                   1                    7320                 22                   2.661818             
3                    89                   1                    10639                26                   3.273538             
3                    101                  1                    11311                30                   3.016267             
3                    44                   1                    9295                 22                   3.380000             
3                    56                   1                    8308                 22                   3.021091             
3                    68                   1                    6727                 19                   2.832421             
3                    80                   1                    7890                 22                   2.869091             
3                    92                   1                    9459                 22                   3.439636             
3                    104                  1                    11117                30                   2.964533             
3                    30                   1                    9973                 26                   3.068615             
3                    31                   1                    9806                 25                   3.137920             
3                    114                  1                    10810                27                   3.202963             
3                    115                  1                    10291                29                   2.838897             
3                    29                   1                    9510                 22                   3.458182             
3                    32                   1                    10252                29                   2.828138             
3                    113                  1                    9056                 23                   3.149913             
3                    116                  1                    14884                38                   3.133474             
3                    17                   1                    9542                 24                   3.180667             
3                    18                   1                    9023                 23                   3.138435             
3                    19                   1                    10330                28                   2.951429             
3                    20                   1                    9210                 22                   3.349091             
3                    28                   1                    8315                 22                   3.023636             
3                    40                   1                    7771                 19                   3.272000             
3                    52                   1                    8007                 22                   2.911636             
3                    64                   1                    8720                 22                   3.170909             
3                    76                   1                    10998                30                   2.932800             
3                    88                   1                    11465                29                   3.162759             
3                    100                  1                    11409                31                   2.944258             
3                    112                  1                    10561                25                   3.379520             
3                    16                   1                    9390                 25                   3.004800             
3                    125                  1                    8174                 23                   2.843130             
3                    126                  1                    8918                 22                   3.242909             
3                    127                  1                    9009                 22                   3.276000             
3                    128                  1                    11156                29                   3.077517             
3                    124                  1                    11393                30                   3.038133             
3                    27                   1                    8357                 22                   3.038909             
3                    39                   1                    7892                 19                   3.322947             
3                    51                   1                    7805                 22                   2.838182             
3                    63                   1                    7844                 18                   3.486222             
