chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 39                   1.704821             
1                    54                   1                    7786                 3                    20.762667            
1                    55                   1                    6802                 4                    13.604000            
1                    66                   1                    7065                 2                    28.260000            
1                    67                   1                    6421                 35                   1.467657             
1                    78                   1                    6685                 1                    53.480000            
1                    79                   1                    7022                 4                    14.044000            
1                    90                   1                    8056                 2                    32.223999            
1                    91                   1                    8824                 4                    17.648001            
1                    102                  1                    9523                 3                    25.394667            
1                    103                  1                    9260                 4                    18.520000            
1                    41                   1                    9589                 24                   3.196333             
1                    53                   1                    8729                 4                    17.458000            
1                    65                   1                    7901                 4                    15.802000            
1                    77                   1                    7161                 2                    28.643999            
1                    89                   1                    10031                4                    20.062000            
1                    101                  1                    11179                4                    22.358000            
1                    44                   1                    9193                 4                    18.386000            
1                    56                   1                    8446                 3                    22.522667            
1                    68                   1                    6692                 3                    17.845333            
1                    80                   1                    7734                 3                    20.624001            
1                    92                   1                    9166                 3                    24.442667            
1                    104                  1                    11676                5                    18.681601            
1                    114                  1                    10575                4                    21.150000            
1                    115                  1                    10595                4                    21.190001            
1                    113                  1                    8527                 4                    17.054001            
1                    30                   1                    10373                4                    20.746000            
1                    31                   1                    10459                4                    20.917999            
1                    116                  1                    16716                6                    22.288000            
1                    29                   1                    9806                 4                    19.612000            
1                    32                   1                    9779                 5                    15.646400            
1                    40                   1                    8078                 3                    21.541334            
1                    52                   1                    8579                 3                    22.877333            
1                    64                   1                    8345                 3                    22.253334            
1                    76                   1                    10159                4                    20.318001            
1                    88                   1                    10293                4                    20.586000            
1                    100                  1                    10778                4                    21.556000            
1                    112                  1                    10192                5                    16.307199            
1                    28                   1                    9247                 4                    18.493999            
1                    125                  1                    7621                 2                    30.483999            
1                    126                  1                    8487                 2                    33.948002            
1                    127                  1                    8599                 4                    17.198000            
1                    128                  1                    11287                4                    22.573999            
1                    124                  1                    10998                4                    21.996000            
2                    42                   2                    18388                7                    21.014856            
2                    43                   2                    16142                7                    18.448000            
2                    54                   2                    16348                6                    21.797333            
2                    55                   2                    12252                5                    19.603201            
2                    66                   2                    13136                5                    21.017599            
2                    67                   2                    12282                5                    19.651199            
2                    78                   2                    13066                5                    20.905600            
2                    79                   2                    13819                6                    18.425333            
2                    90                   2                    16458                6                    21.944000            
2                    91                   2                    18412                7                    21.042286            
2                    102                  2                    20617                9                    18.326221            
2                    103                  2                    19923                7                    22.769142            
2                    41                   2                    18985                8                    18.985001            
2                    53                   2                    16749                6                    22.332001            
2                    65                   2                    16432                8                    16.431999            
2                    77                   2                    14863                4                    29.726000            
2                    89                   2                    22223                9                    19.753778            
2                    101                  2                    23875                9                    21.222221            
