chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 25                   2.947520             
1                    43                   1                    8311                 23                   2.890783             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 18                   3.023111             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 20                   2.808800             
1                    90                   1                    8056                 21                   3.068952             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 26                   2.930154             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 26                   2.950462             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 22                   2.873091             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                26                   3.086462             
1                    101                  1                    11179                30                   2.981067             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 19                   2.817684             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 25                   2.933120             
1                    104                  1                    11676                29                   3.220966             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                31                   2.734194             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                25                   3.319360             
1                    31                   1                    10459                26                   3.218154             
1                    116                  1                    16716                44                   3.039273             
1                    29                   1                    9806                 26                   3.017231             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 18                   3.590222             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 22                   3.034545             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                26                   3.167077             
1                    100                  1                    10778                31                   2.781419             
1                    112                  1                    10192                25                   3.261440             
1                    28                   1                    9247                 26                   2.845231             
1                    125                  1                    7621                 18                   3.387111             
1                    126                  1                    8487                 22                   3.086182             
1                    127                  1                    8599                 23                   2.990957             
1                    128                  1                    11287                29                   3.113655             
1                    124                  1                    10998                26                   3.384000             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 18                   3.212000             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 26                   2.905231             
1                    93                   1                    10978                25                   3.512960             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                45                   2.955911             
1                    33                   1                    9877                 27                   2.926518             
1                    129                  1                    10865                24                   3.621667             
2                    42                   1                    8862                 26                   2.726769             
2                    43                   1                    7918                 19                   3.333895             
2                    54                   1                    7607                 18                   3.380889             
2                    55                   1                    6282                 18                   2.792000             
2                    66                   1                    6358                 14                   3.633143             
2                    67                   1                    5940                 19                   2.501053             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 18                   2.997333             
2                    90                   1                    7843                 18                   3.485778             
2                    91                   1                    8596                 23                   2.989913             
2                    102                  1                    9522                 25                   3.047040             
2                    103                  1                    9236                 26                   2.841846             
2                    44                   1                    9069                 22                   3.297818             
2                    56                   1                    8196                 23                   2.850783             
2                    68                   1                    6444                 14                   3.682286             
2                    80                   1                    7856                 23                   2.732522             
2                    92                   1                    9504                 23                   3.305739             
2                    104                  1                    11780                32                   2.945000             
2                    41                   1                    9350                 22                   3.400000             
2                    53                   1                    8484                 22                   3.085091             
2                    65                   1                    7543                 22                   2.742909             
2                    77                   1                    7220                 19                   3.040000             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                29                   3.199724             
2                    114                  1                    11027                31                   2.845677             
2                    115                  1                    10923                28                   3.120857             
2                    116                  1                    17572                45                   3.123911             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 26                   3.076615             
2                    113                  1                    9083                 22                   3.302909             
2                    32                   1                    9461                 26                   2.911077             
2                    29                   1                    9803                 26                   3.016308             
1                    18                   1                    9508                 25                   3.042560             
1                    19                   1                    10043                26                   3.090154             
1                    20                   1                    9541                 22                   3.469455             
1                    17                   1                    9794                 26                   3.013538             
1                    21                   1                    8659                 22                   3.148727             
2                    33                   1                    9501                 26                   2.923385             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 19                   3.006737             
2                    69                   1                    7452                 18                   3.312000             
2                    81                   1                    9611                 26                   2.957231             
2                    93                   1                    11795                30                   3.145333             
2                    105                  1                    14908                39                   3.058051             
2                    117                  1                    18144                45                   3.225600             
2                    18                   1                    9079                 25                   2.905280             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 25                   3.111360             
2                    21                   1                    7679                 20                   3.071600             
2                    34                   1                    9627                 25                   3.080640             
2                    46                   1                    7022                 19                   2.956632             
2                    58                   1                    6963                 18                   3.094667             
2                    70                   1                    8417                 22                   3.060727             
2                    82                   1                    10686                26                   3.288000             
2                    94                   1                    15129                42                   2.881714             
2                    106                  1                    14775                36                   3.283333             
2                    118                  1                    15211                40                   3.042200             
2                    22                   1                    9729                 22                   3.537818             
3                    43                   1                    7925                 22                   2.881818             
3                    42                   1                    8771                 22                   3.189455             
3                    44                   1                    9295                 26                   2.860000             
3                    54                   1                    7812                 17                   3.676235             
3                    55                   1                    6525                 19                   2.747368             
3                    56                   1                    8308                 23                   2.889739             
3                    66                   1                    6763                 15                   3.606933             
3                    67                   1                    6128                 18                   2.723556             
3                    68                   1                    6727                 15                   3.587733             
3                    78                   1                    6077                 18                   2.700889             
3                    79                   1                    6585                 16                   3.292500             
3                    80                   1                    7890                 22                   2.869091             
3                    90                   1                    8194                 22                   2.979636             
3                    91                   1                    8808                 22                   3.202909             
3                    92                   1                    9459                 25                   3.026880             
3                    102                  1                    9450                 22                   3.436364             
3                    103                  1                    9218                 26                   2.836308             
3                    104                  1                    11117                26                   3.420615             
3                    30                   1                    9973                 26                   3.068615             
3                    31                   1                    9806                 26                   3.017231             
3                    32                   1                    10252                25                   3.280640             
3                    45                   1                    8606                 25                   2.753920             
3                    57                   1                    7630                 19                   3.212631             
