chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 4                    16.622000            
1                    54                   1                    7786                 2                    31.143999            
1                    55                   1                    6802                 3                    18.138666            
1                    66                   1                    7065                 3                    18.840000            
1                    67                   1                    6421                 2                    25.684000            
1                    78                   1                    6685                 3                    17.826666            
1                    79                   1                    7022                 1                    56.175999            
1                    90                   1                    8056                 4                    16.112000            
1                    91                   1                    8824                 2                    35.296001            
1                    102                  1                    9523                 4                    19.046000            
1                    103                  1                    9260                 2                    37.040001            
1                    41                   1                    9589                 4                    19.177999            
1                    44                   1                    9193                 4                    18.386000            
1                    53                   1                    8729                 4                    17.458000            
1                    56                   1                    8446                 3                    22.522667            
1                    65                   1                    7901                 3                    21.069334            
1                    68                   1                    6692                 3                    17.845333            
1                    77                   1                    7161                 3                    19.096001            
1                    80                   1                    7734                 2                    30.936001            
1                    89                   1                    10031                4                    20.062000            
1                    92                   1                    9166                 3                    24.442667            
1                    101                  1                    11179                5                    17.886400            
1                    104                  1                    11676                4                    23.351999            
1                    30                   1                    10373                4                    20.746000            
1                    31                   1                    10459                5                    16.734400            
1                    114                  1                    10575                4                    21.150000            
1                    115                  1                    10595                4                    21.190001            
1                    29                   1                    9806                 3                    26.149334            
1                    32                   1                    9779                 4                    19.558001            
1                    113                  1                    8527                 4                    17.054001            
1                    116                  1                    16716                7                    19.104000            
2                    42                   2                    18388                7                    21.014856            
2                    43                   2                    16142                7                    18.448000            
2                    54                   2                    16348                7                    18.683428            
2                    55                   2                    12252                3                    32.672001            
2                    66                   2                    13136                6                    17.514668            
2                    67                   2                    12282                4                    24.563999            
2                    78                   2                    13066                7                    14.932571            
2                    79                   2                    13819                4                    27.638000            
2                    90                   2                    16458                6                    21.944000            
2                    91                   2                    18412                8                    18.412001            
2                    102                  2                    20617                8                    20.617001            
2                    103                  2                    19923                7                    22.769142            
2                    41                   2                    18985                8                    18.985001            
2                    44                   2                    17434                7                    19.924572            
2                    53                   2                    16749                7                    19.141714            
2                    56                   2                    15123                5                    24.196800            
2                    65                   2                    16432                7                    18.779428            
2                    68                   2                    13383                5                    21.412800            
2                    77                   2                    14863                6                    19.817333            
2                    80                   2                    15893                6                    21.190666            
2                    89                   2                    22223                9                    19.753778            
2                    92                   2                    20343                8                    20.343000            
2                    101                  2                    23875                10                   19.100000            
2                    104                  2                    24477                9                    21.757334            
2                    30                   2                    19913                7                    22.757715            
2                    31                   2                    18811                9                    16.720888            
2                    114                  2                    22949                8                    22.948999            
2                    115                  2                    23325                9                    20.733334            
2                    29                   2                    19161                8                    19.160999            
2                    32                   2                    18176                7                    20.772572            
2                    113                  2                    19184                7                    21.924572            
2                    116                  2                    35064                13                   21.577847            
3                    42                   2                    17801                6                    23.734667            
