chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 13                   5.668308             
1                    43                   1                    8311                 35                   1.899657             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 11                   4.946909             
1                    66                   1                    7065                 8                    7.065000             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 8                    6.685000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 11                   5.858909             
1                    91                   1                    8824                 11                   6.417455             
1                    102                  1                    9523                 13                   5.860308             
1                    103                  1                    9260                 11                   6.734545             
1                    41                   1                    9589                 11                   6.973818             
1                    44                   1                    9193                 13                   5.657231             
1                    53                   1                    8729                 12                   5.819334             
1                    56                   1                    8446                 10                   6.756800             
1                    65                   1                    7901                 10                   6.320800             
1                    68                   1                    6692                 9                    5.948444             
1                    77                   1                    7161                 9                    6.365334             
1                    80                   1                    7734                 11                   5.624727             
1                    89                   1                    10031                13                   6.172923             
1                    92                   1                    9166                 11                   6.666182             
1                    101                  1                    11179                15                   5.962133             
1                    104                  1                    11676                14                   6.672000             
1                    30                   1                    10373                14                   5.927429             
1                    31                   1                    10459                14                   5.976572             
1                    114                  1                    10575                13                   6.507692             
1                    115                  1                    10595                14                   6.054286             
1                    29                   1                    9806                 12                   6.537333             
1                    32                   1                    9779                 13                   6.017846             
1                    113                  1                    8527                 12                   5.684667             
1                    116                  1                    16716                21                   6.368000             
2                    42                   2                    18388                24                   6.129333             
2                    43                   2                    16142                20                   6.456800             
2                    54                   2                    16348                23                   5.686261             
2                    55                   2                    12252                14                   7.001143             
2                    66                   2                    13136                18                   5.838222             
2                    67                   2                    12282                16                   6.141000             
2                    78                   2                    13066                15                   6.968534             
2                    79                   2                    13819                19                   5.818526             
2                    90                   2                    16458                20                   6.583200             
2                    91                   2                    18412                24                   6.137333             
2                    102                  2                    20617                28                   5.890572             
2                    103                  2                    19923                24                   6.641000             
2                    41                   2                    18985                26                   5.841538             
2                    44                   2                    17434                22                   6.339636             
2                    53                   2                    16749                23                   5.825739             
2                    56                   2                    15123                18                   6.721334             
2                    65                   2                    16432                22                   5.975273             
2                    68                   2                    13383                17                   6.297883             
2                    77                   2                    14863                18                   6.605778             
2                    80                   2                    15893                20                   6.357200             
2                    89                   2                    22223                31                   5.734968             
2                    92                   2                    20343                25                   6.509760             
2                    101                  2                    23875                32                   5.968750             
2                    104                  2                    24477                30                   6.527200             
2                    30                   2                    19913                24                   6.637667             
2                    31                   2                    18811                25                   6.019520             
2                    114                  2                    22949                29                   6.330759             
2                    115                  2                    23325                31                   6.019355             
2                    29                   2                    19161                24                   6.387000             
2                    32                   2                    18176                24                   6.058667             
2                    113                  2                    19184                25                   6.138880             
2                    116                  2                    35064                44                   6.375273             
3                    42                   2                    17801                24                   5.933667             
3                    43                   2                    15742                21                   5.996953             
3                    54                   2                    16402                20                   6.560800             
3                    55                   2                    12661                17                   5.958117             
3                    66                   2                    13554                18                   6.024000             
3                    67                   2                    12026                15                   6.413867             
3                    78                   2                    12074                14                   6.899428             
3                    79                   2                    12947                18                   5.754222             
3                    90                   2                    16331                22                   5.938545             
3                    91                   2                    17331                21                   6.602286             
3                    102                  2                    18665                24                   6.221667             
3                    103                  2                    18747                25                   5.999040             
3                    41                   2                    18079                24                   6.026333             
3                    44                   2                    17271                22                   6.280364             
3                    53                   2                    16613                20                   6.645200             
3                    56                   2                    14957                21                   5.697905             
3                    65                   2                    16185                20                   6.474000             
3                    68                   2                    12968                17                   6.102588             
3                    77                   2                    14240                19                   5.995790             
3                    80                   2                    14847                18                   6.598667             
3                    89                   2                    20544                27                   6.087111             
3                    92                   2                    18949                24                   6.316333             
3                    101                  2                    21753                28                   6.215143             
3                    104                  2                    21813                27                   6.463111             
3                    30                   2                    19523                25                   6.247360             
3                    31                   2                    17921                24                   5.973667             
3                    114                  2                    20056                24                   6.685333             
3                    115                  2                    19885                26                   6.118462             
3                    29                   2                    17616                22                   6.405818             
3                    32                   2                    18789                24                   6.263000             
3                    113                  2                    17443                24                   5.814333             
3                    116                  2                    28629                34                   6.736235             
4                    42                   2                    17601                24                   5.867000             
4                    43                   2                    16191                21                   6.168000             
4                    54                   2                    16386                20                   6.554400             
4                    55                   2                    12533                17                   5.897882             
4                    66                   2                    12560                16                   6.280000             
4                    67                   2                    11596                14                   6.626286             
4                    78                   2                    12141                16                   6.070500             
4                    79                   2                    13382                18                   5.947556             
4                    90                   2                    16424                19                   6.915369             
4                    91                   2                    17469                23                   6.076174             
4                    102                  2                    19028                28                   5.436572             
4                    103                  2                    19715                24                   6.571667             
4                    41                   2                    18345                22                   6.670909             
4                    44                   2                    16744                21                   6.378667             
4                    53                   2                    16427                20                   6.570800             
4                    56                   2                    13941                19                   5.869895             
4                    65                   2                    15803                20                   6.321200             
4                    68                   2                    11993                15                   6.396266             
4                    77                   2                    14446                20                   5.778400             
4                    80                   2                    14547                19                   6.125052             
4                    89                   2                    21702                27                   6.430222             
4                    92                   2                    19365                24                   6.455000             
4                    101                  2                    21674                27                   6.421926             
4                    104                  2                    22956                30                   6.121600             
4                    30                   2                    19642                25                   6.285440             
4                    31                   2                    18374                24                   6.124667             
4                    114                  2                    21399                29                   5.903172             
4                    115                  2                    20480                25                   6.553600             
4                    29                   2                    17479                22                   6.356000             
4                    32                   2                    18146                24                   6.048666             
4                    113                  2                    17705                23                   6.158261             
4                    116                  2                    30170                36                   6.704444             
5                    42                   2                    16670                22                   6.061818             
5                    43                   2                    15317                21                   5.835048             
5                    54                   2                    16325                21                   6.219048             
5                    55                   2                    12237                16                   6.118500             
