chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 40                   1.662200             
1                    54                   1                    7786                 2                    31.143999            
1                    55                   1                    6802                 4                    13.604000            
1                    66                   1                    7065                 2                    28.260000            
1                    67                   1                    6421                 36                   1.426889             
1                    78                   1                    6685                 2                    26.740000            
1                    79                   1                    7022                 3                    18.725334            
1                    90                   1                    8056                 3                    21.482666            
1                    91                   1                    8824                 3                    23.530666            
1                    102                  1                    9523                 3                    25.394667            
1                    103                  1                    9260                 26                   2.849231             
1                    41                   1                    9589                 3                    25.570667            
1                    53                   1                    8729                 5                    13.966400            
1                    65                   1                    7901                 2                    31.604000            
1                    77                   1                    7161                 3                    19.096001            
1                    89                   1                    10031                4                    20.062000            
1                    101                  1                    11179                4                    22.358000            
1                    44                   1                    9193                 3                    24.514668            
1                    56                   1                    8446                 6                    11.261333            
1                    68                   1                    6692                 1                    53.535999            
1                    80                   1                    7734                 3                    20.624001            
1                    92                   1                    9166                 3                    24.442667            
1                    104                  1                    11676                5                    18.681601            
1                    30                   1                    10373                4                    20.746000            
1                    31                   1                    10459                4                    20.917999            
1                    29                   1                    9806                 5                    15.689600            
1                    32                   1                    9779                 3                    26.077333            
1                    114                  1                    10575                5                    16.920000            
1                    115                  1                    10595                3                    28.253334            
1                    113                  1                    8527                 3                    22.738667            
1                    116                  1                    16716                7                    19.104000            
1                    17                   1                    9794                 4                    19.587999            
1                    18                   1                    9508                 4                    19.016001            
1                    19                   1                    10043                4                    20.086000            
1                    20                   1                    9541                 3                    25.442667            
1                    28                   1                    9247                 5                    14.795200            
1                    40                   1                    8078                 3                    21.541334            
1                    52                   1                    8579                 3                    22.877333            
1                    64                   1                    8345                 3                    22.253334            
1                    76                   1                    10159                5                    16.254400            
1                    88                   1                    10293                3                    27.448000            
1                    100                  1                    10778                4                    21.556000            
1                    112                  1                    10192                4                    20.384001            
1                    16                   1                    8787                 4                    17.573999            
2                    42                   2                    18388                7                    21.014856            
2                    43                   2                    16142                6                    21.522667            
2                    54                   2                    16348                7                    18.683428            
2                    55                   2                    12252                6                    16.336000            
2                    66                   2                    13136                4                    26.271999            
2                    67                   2                    12282                5                    19.651199            
2                    78                   2                    13066                6                    17.421333            
2                    79                   2                    13819                4                    27.638000            
2                    90                   2                    16458                8                    16.458000            
2                    91                   2                    18412                6                    24.549334            
2                    102                  2                    20617                8                    20.617001            
2                    103                  2                    19923                7                    22.769142            
2                    41                   2                    18985                8                    18.985001            
2                    53                   2                    16749                6                    22.332001            
2                    65                   2                    16432                7                    18.779428            
2                    77                   2                    14863                5                    23.780800            
2                    89                   2                    22223                9                    19.753778            
2                    101                  2                    23875                9                    21.222221            
2                    44                   2                    17434                7                    19.924572            
2                    56                   2                    15123                6                    20.164000            
2                    68                   2                    13383                5                    21.412800            
2                    80                   2                    15893                6                    21.190666            
2                    92                   2                    20343                9                    18.082666            
