chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 3                    2.850667             
1                    43                   1                    1059                 2                    4.236000             
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 2                    4.212000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 3                    2.890667             
1                    102                  1                    1098                 2                    4.392000             
1                    103                  1                    1091                 0                    inf                  
1                    41                   1                    1079                 2                    4.316000             
1                    53                   1                    1076                 4                    2.152000             
1                    65                   1                    1109                 1                    8.872000             
1                    77                   1                    1103                 0                    inf                  
1                    89                   1                    1116                 2                    4.464000             
1                    101                  1                    1185                 3                    3.160000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    68                   1                    1035                 3                    2.760000             
1                    80                   1                    1143                 4                    2.286000             
1                    92                   1                    1103                 0                    inf                  
1                    104                  1                    1160                 3                    3.093333             
1                    30                   1                    1060                 2                    4.240000             
1                    31                   1                    1029                 3                    2.744000             
1                    29                   1                    1040                 0                    inf                  
1                    32                   1                    1035                 4                    2.070000             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 0                    inf                  
1                    113                  1                    1127                 0                    inf                  
1                    116                  1                    1198                 3                    3.194667             
1                    17                   1                    1350                 2                    5.400000             
1                    18                   1                    1366                 3                    3.642667             
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 2                    4.088000             
1                    28                   1                    1182                 0                    inf                  
1                    40                   1                    1038                 3                    2.768000             
1                    52                   1                    1056                 2                    4.224000             
1                    64                   1                    1090                 2                    4.360000             
1                    76                   1                    1210                 0                    inf                  
1                    88                   1                    1132                 2                    4.528000             
1                    100                  1                    1124                 3                    2.997333             
1                    112                  1                    1122                 0                    inf                  
1                    16                   1                    1151                 6                    1.534667             
2                    42                   5                    9000                 15                   4.800000             
2                    43                   5                    7200                 11                   5.236363             
2                    54                   5                    8559                 13                   5.267077             
2                    55                   5                    5027                 8                    5.027000             
2                    66                   5                    5475                 7                    6.257143             
2                    67                   5                    5695                 8                    5.695000             
2                    78                   5                    6953                 10                   5.562400             
2                    79                   5                    7335                 10                   5.868000             
2                    90                   5                    6584                 8                    6.584000             
2                    91                   5                    8142                 12                   5.428000             
2                    102                  5                    10595                18                   4.708889             
2                    103                  5                    9548                 13                   5.875692             
2                    41                   5                    8000                 13                   4.923077             
2                    53                   5                    6618                 10                   5.294400             
2                    65                   5                    6325                 8                    6.325000             
2                    77                   5                    7314                 9                    6.501333             
2                    89                   6                    29764                51                   4.668863             
2                    101                  6                    35296                62                   4.554323             
2                    30                   5                    9397                 13                   5.782769             
2                    31                   5                    7803                 12                   5.202000             
2                    44                   5                    7373                 10                   5.898400             
2                    56                   5                    4995                 8                    4.995000             
2                    68                   5                    4517                 5                    7.227200             
2                    80                   5                    7589                 10                   6.071200             
2                    92                   5                    9280                 15                   4.949333             
2                    29                   6                    16853                25                   5.392960             
2                    104                  6                    37065                63                   4.706666             
2                    32                   6                    16766                28                   4.790286             
2                    17                   4                    4570                 6                    6.093333             
2                    18                   4                    4454                 5                    7.126400             
2                    19                   4                    4914                 7                    5.616000             
2                    20                   4                    2851                 2                    11.404000            
2                    113                  4                    4271                 8                    4.271000             
2                    114                  4                    5345                 8                    5.345000             
2                    115                  4                    6506                 7                    7.435429             
2                    116                  5                    33912                58                   4.677517             
2                    28                   5                    7360                 11                   5.352727             
2                    40                   5                    5719                 8                    5.719000             
2                    52                   5                    5259                 8                    5.259000             
2                    64                   5                    5947                 7                    6.796571             
2                    76                   5                    13981                23                   4.862957             
2                    88                   5                    18385                30                   4.902667             
2                    100                  5                    13581                21                   5.173714             
2                    16                   5                    9266                 15                   4.941867             
2                    112                  5                    11374                17                   5.352470             
2                    5                    6                    8988                 17                   4.229647             
2                    6                    6                    9677                 16                   4.838500             
2                    7                    6                    7496                 10                   5.996800             
2                    8                    6                    8983                 13                   5.528000             
2                    4                    6                    6590                 10                   5.272000             
3                    30                   5                    9807                 15                   5.230400             
3                    31                   5                    7746                 13                   4.766769             
3                    42                   5                    8880                 13                   5.464615             
3                    43                   5                    7252                 11                   5.274182             
3                    54                   5                    8362                 14                   4.778286             
3                    55                   5                    5174                 8                    5.174000             
3                    66                   5                    5604                 7                    6.404572             
3                    67                   5                    5235                 7                    5.982857             
3                    78                   6                    13182                20                   5.272800             
3                    79                   6                    13854                23                   4.818783             
3                    18                   6                    15903                26                   4.893231             
3                    19                   6                    19783                31                   5.105290             
3                    20                   6                    13264                23                   4.613565             
