chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 4                    2.058000             
1                    42                   1                    1069                 4                    2.138000             
1                    43                   1                    1059                 3                    2.824000             
1                    54                   1                    1098                 0                    inf                  
1                    55                   1                    1053                 0                    inf                  
1                    66                   1                    1096                 4                    2.192000             
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 0                    inf                  
1                    79                   1                    1122                 3                    2.992000             
1                    90                   1                    1068                 4                    2.136000             
1                    91                   1                    1084                 0                    inf                  
1                    18                   1                    1366                 4                    2.732000             
1                    19                   1                    1095                 4                    2.190000             
1                    32                   1                    1035                 3                    2.760000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 4                    2.080000             
1                    68                   1                    1035                 4                    2.070000             
1                    80                   1                    1143                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    41                   1                    1079                 4                    2.158000             
1                    53                   1                    1076                 4                    2.152000             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 4                    2.206000             
1                    92                   1                    1103                 4                    2.206000             
1                    89                   1                    1116                 3                    2.976000             
1                    20                   1                    1022                 0                    inf                  
1                    17                   1                    1350                 5                    2.160000             
2                    30                   5                    9397                 23                   3.268522             
2                    31                   5                    7803                 18                   3.468000             
2                    42                   5                    9000                 17                   4.235294             
2                    43                   5                    7200                 14                   4.114286             
2                    54                   5                    8559                 23                   2.977043             
2                    55                   5                    5027                 8                    5.027000             
2                    66                   5                    5475                 11                   3.981818             
2                    67                   5                    5695                 10                   4.556000             
2                    78                   5                    6953                 15                   3.708267             
2                    79                   5                    7335                 16                   3.667500             
2                    90                   5                    6584                 15                   3.511467             
2                    91                   5                    8142                 18                   3.618667             
2                    32                   6                    16766                38                   3.529684             
2                    44                   6                    14311                32                   3.577750             
2                    18                   6                    17347                41                   3.384780             
2                    19                   6                    19418                48                   3.236333             
2                    56                   6                    9687                 22                   3.522545             
2                    68                   5                    4517                 7                    5.162286             
2                    80                   5                    7589                 14                   4.336571             
2                    92                   5                    9280                 22                   3.374545             
2                    20                   5                    6402                 11                   4.656000             
2                    29                   5                    8815                 22                   3.205455             
2                    41                   6                    16092                37                   3.479351             
2                    53                   6                    13211                30                   3.522933             
2                    65                   6                    13645                33                   3.307879             
2                    77                   6                    15391                38                   3.240211             
2                    89                   6                    29764                70                   3.401600             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 4                    2.182000             
1                    104                  1                    1160                 5                    1.856000             
1                    101                  1                    1185                 0                    inf                  
2                    17                   4                    4570                 14                   2.611428             
2                    102                  4                    4183                 7                    4.780571             
2                    103                  4                    3645                 7                    4.165714             
2                    104                  4                    7829                 19                   3.296421             
2                    101                  4                    6799                 15                   3.626133             
2                    33                   4                    2140                 3                    5.706666             
2                    45                   4                    2290                 4                    4.580000             
2                    57                   4                    1849                 4                    3.698000             
2                    69                   4                    2174                 3                    5.797333             
2                    81                   4                    4735                 15                   2.525333             
2                    93                   4                    6126                 12                   4.084000             
2                    21                   4                    1862                 4                    3.724000             
2                    105                  4                    11043                25                   3.533760             
3                    30                   5                    9807                 22                   3.566182             
3                    31                   5                    7746                 18                   3.442667             
3                    42                   5                    8880                 19                   3.738947             
3                    43                   5                    7252                 15                   3.867733             
3                    54                   5                    8362                 19                   3.520842             
2                    6                    6                    9677                 22                   3.518909             
2                    7                    6                    7496                 15                   3.997867             
2                    8                    6                    8983                 22                   3.266546             
2                    5                    6                    8988                 18                   3.994667             
3                    18                   5                    8561                 18                   3.804889             
3                    19                   5                    10170                22                   3.698182             
3                    55                   5                    5174                 12                   3.449333             
3                    66                   5                    5604                 11                   4.075636             
3                    67                   5                    5235                 11                   3.807273             
3                    78                   5                    6324                 11                   4.599273             
3                    6                    5                    7531                 15                   4.016533             
3                    7                    5                    5171                 12                   3.447333             
3                    8                    5                    4489                 8                    4.489000             
3                    20                   5                    7269                 19                   3.060632             
3                    32                   5                    8934                 19                   3.761684             
3                    44                   5                    7727                 14                   4.415429             
2                    138                  6                    21447                53                   3.237283             
2                    139                  6                    25013                64                   3.126625             
3                    79                   5                    6446                 10                   5.156800             
3                    56                   5                    5221                 11                   3.797091             
3                    68                   5                    4414                 8                    4.414000             
3                    17                   5                    9329                 23                   3.244869             
3                    29                   5                    8137                 15                   4.339733             
3                    80                   5                    6787                 14                   3.878286             
3                    41                   5                    8011                 19                   3.373053             
3                    53                   5                    6506                 15                   3.469867             
3                    65                   5                    6456                 11                   4.695273             
3                    77                   5                    6913                 15                   3.686933             
3                    5                    5                    6930                 14                   3.960000             
3                    90                   5                    6760                 15                   3.605333             
3                    91                   5                    7715                 14                   4.408571             
3                    92                   5                    8640                 18                   3.840000             
3                    89                   5                    11805                30                   3.148000             
3                    138                  5                    8882                 19                   3.739789             
3                    139                  5                    10332                23                   3.593739             
3                    137                  5                    6821                 15                   3.637867             
3                    140                  5                    9109                 18                   4.048444             
4                    6                    5                    8194                 17                   3.856000             
4                    7                    5                    5345                 11                   3.887273             
4                    18                   5                    8113                 18                   3.605778             
4                    19                   5                    9855                 22                   3.583636             
4                    30                   5                    9669                 23                   3.363130             
4                    31                   5                    8097                 14                   4.626857             
4                    42                   5                    8742                 22                   3.178909             
4                    43                   5                    7515                 15                   4.008000             
4                    54                   5                    8244                 20                   3.297600             
4                    55                   5                    5135                 8                    5.135000             
4                    66                   6                    11128                25                   3.560960             
4                    67                   6                    11037                26                   3.396000             
4                    78                   6                    13653                33                   3.309818             
4                    79                   6                    14775                33                   3.581818             
4                    20                   5                    7632                 15                   4.070400             
4                    32                   5                    8514                 17                   4.006588             
4                    44                   5                    7404                 19                   3.117474             
4                    56                   5                    4851                 8                    4.851000             
4                    68                   6                    9375                 22                   3.409091             
4                    80                   6                    14427                33                   3.497455             
4                    8                    6                    8189                 19                   3.448000             
4                    17                   6                    15912                37                   3.440433             
4                    29                   5                    7868                 19                   3.312842             
4                    41                   5                    8070                 14                   4.611429             
4                    53                   5                    6708                 15                   3.577600             
4                    65                   5                    6331                 16                   3.165500             
4                    77                   5                    6927                 11                   5.037818             
4                    90                   5                    6764                 15                   3.607467             
4                    91                   5                    7499                 20                   2.999600             
4                    92                   5                    8252                 15                   4.401067             
4                    89                   5                    11667                29                   3.218483             
4                    5                    6                    13957                29                   3.850207             
4                    21                   6                    8924                 22                   3.245091             
4                    33                   6                    9956                 22                   3.620364             
4                    45                   6                    9702                 22                   3.528000             
4                    57                   6                    8379                 14                   4.788000             
4                    69                   6                    10635                26                   3.272308             
4                    81                   6                    20509                48                   3.418167             
4                    9                    6                    6933                 16                   3.466500             
4                    93                   6                    26314                64                   3.289250             
5                    18                   5                    6718                 15                   3.582933             
5                    19                   5                    8720                 18                   3.875556             
5                    20                   5                    7943                 18                   3.530222             
5                    30                   5                    9364                 22                   3.405091             
5                    31                   5                    7468                 15                   3.982933             
5                    42                   5                    8408                 19                   3.540210             
5                    43                   5                    7184                 15                   3.831467             
5                    54                   5                    8266                 19                   3.480421             
5                    55                   5                    4996                 7                    5.709714             
5                    66                   5                    5321                 11                   3.869818             
5                    67                   5                    5199                 11                   3.781091             
5                    78                   5                    6483                 11                   4.714909             
5                    79                   5                    6539                 15                   3.487467             
5                    32                   5                    8360                 19                   3.520000             
5                    44                   5                    7247                 15                   3.865067             
5                    56                   5                    4827                 7                    5.516572             
5                    68                   5                    4132                 6                    5.509333             
5                    80                   5                    6705                 15                   3.576000             
5                    90                   5                    6746                 15                   3.597867             
5                    91                   5                    7613                 14                   4.350286             
5                    92                   5                    8264                 20                   3.305600             
5                    17                   5                    7445                 15                   3.970667             
5                    29                   6                    13687                34                   3.220471             
5                    41                   6                    14806                33                   3.589333             
5                    53                   6                    13206                33                   3.201455             
5                    65                   6                    13724                30                   3.659733             
5                    77                   6                    14602                37                   3.157189             
5                    89                   6                    26538                64                   3.317250             
5                    33                   6                    9058                 22                   3.293818             
5                    45                   6                    9171                 19                   3.861474             
5                    57                   6                    7645                 15                   4.077333             
5                    69                   6                    10591                26                   3.258769             
5                    81                   6                    22602                56                   3.228857             
5                    21                   6                    9108                 19                   3.834947             
5                    93                   6                    28705                71                   3.234366             
6                    30                   5                    9728                 22                   3.537455             
6                    31                   5                    7906                 18                   3.513778             
6                    42                   5                    8557                 18                   3.803111             
6                    43                   5                    7366                 16                   3.683000             
6                    54                   5                    8508                 19                   3.582316             
5                    102                  1                    536                  0                    inf                  
5                    103                  1                    528                  0                    inf                  
5                    104                  1                    585                  3                    1.560000             
5                    101                  1                    627                  0                    inf                  
6                    55                   5                    5080                 16                   2.540000             
6                    66                   5                    5235                 11                   3.807273             
6                    67                   5                    5157                 12                   3.438000             
6                    78                   5                    6088                 11                   4.427636             
6                    79                   5                    6416                 11                   4.666182             
6                    90                   5                    6151                 15                   3.280533             
6                    91                   6                    15504                37                   3.352216             
6                    32                   6                    15966                37                   3.452108             
6                    44                   6                    14808                34                   3.484235             
6                    56                   5                    5256                 11                   3.822546             
6                    68                   5                    4550                 8                    4.550000             
6                    80                   5                    7066                 15                   3.768533             
6                    92                   5                    8084                 19                   3.403790             
6                    18                   5                    6292                 11                   4.576000             
6                    19                   5                    7878                 18                   3.501333             
6                    20                   5                    8901                 18                   3.956000             
6                    29                   5                    7435                 15                   3.965333             
6                    41                   5                    7741                 20                   3.096400             
6                    53                   5                    6529                 13                   4.017846             
5                    105                  1                    621                  0                    inf                  
6                    33                   4                    1613                 4                    3.226000             
6                    45                   4                    2170                 3                    5.786667             
6                    57                   4                    1845                 4                    3.690000             
6                    69                   4                    2010                 3                    5.360000             
6                    81                   4                    4326                 8                    4.326000             
6                    93                   4                    5736                 11                   4.171637             
6                    65                   4                    2736                 4                    5.472000             
6                    77                   4                    2717                 7                    3.105143             
6                    89                   4                    4633                 7                    5.294857             
6                    21                   4                    2371                 3                    6.322667             
6                    17                   4                    3483                 12                   2.322000             
6                    102                  4                    3982                 8                    3.982000             
6                    103                  5                    8472                 18                   3.765333             
6                    104                  5                    16990                41                   3.315122             
6                    105                  5                    20729                51                   3.251608             
6                    34                   6                    10532                26                   3.240615             
6                    46                   6                    9582                 22                   3.484364             
6                    58                   6                    7902                 15                   4.214400             
6                    70                   6                    8549                 22                   3.108727             
6                    82                   6                    22564                52                   3.471385             
6                    94                   6                    47766                118                  3.238373             
6                    22                   5                    5041                 11                   3.666182             
6                    106                  5                    14580                34                   3.430588             
6                    35                   6                    8984                 22                   3.266909             
6                    47                   6                    12243                26                   3.767077             
6                    59                   6                    7135                 18                   3.171111             
6                    71                   6                    9433                 18                   4.192444             
6                    83                   6                    23050                59                   3.125424             
6                    95                   6                    27698                67                   3.307224             
6                    23                   6                    4318                 7                    4.934857             
6                    107                  6                    26495                63                   3.364444             
6                    36                   5                    6866                 15                   3.661867             
6                    48                   5                    5176                 11                   3.764364             
6                    60                   5                    3274                 8                    3.274000             
6                    72                   5                    4347                 7                    4.968000             
6                    84                   5                    13001                32                   3.250250             
6                    96                   6                    27200                66                   3.296970             
6                    24                   6                    5857                 11                   4.259636             
