chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    30                   1                    1060                 4                    2.120000             
1                    31                   1                    1029                 4                    2.058000             
1                    42                   1                    1069                 3                    2.850667             
1                    43                   1                    1059                 4                    2.118000             
1                    54                   1                    1098                 1                    8.784000             
1                    55                   1                    1053                 1                    8.424000             
1                    66                   1                    1096                 2                    4.384000             
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 0                    inf                  
1                    79                   1                    1122                 4                    2.244000             
1                    90                   1                    1068                 4                    2.136000             
1                    91                   1                    1084                 0                    inf                  
1                    18                   1                    1366                 5                    2.185600             
1                    19                   1                    1095                 3                    2.920000             
1                    32                   1                    1035                 3                    2.760000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 4                    2.080000             
1                    68                   1                    1035                 3                    2.760000             
1                    80                   1                    1143                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    41                   1                    1079                 5                    1.726400             
1                    53                   1                    1076                 2                    4.304000             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 4                    2.206000             
1                    92                   1                    1103                 4                    2.206000             
1                    89                   1                    1116                 4                    2.232000             
1                    20                   1                    1022                 0                    inf                  
1                    17                   1                    1350                 3                    3.600000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 0                    inf                  
1                    104                  1                    1160                 1                    9.280000             
1                    101                  1                    1185                 3                    3.160000             
1                    6                    1                    1053                 3                    2.808000             
1                    7                    1                    1046                 0                    inf                  
1                    8                    1                    1026                 4                    2.052000             
1                    5                    1                    1048                 3                    2.794667             
1                    21                   1                    1015                 0                    inf                  
1                    33                   1                    1017                 4                    2.034000             
1                    45                   1                    1025                 3                    2.733333             
1                    57                   1                    1031                 1                    8.248000             
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 3                    3.162667             
1                    93                   1                    1201                 4                    2.402000             
1                    105                  1                    1192                 4                    2.384000             
1                    9                    1                    1037                 0                    inf                  
1                    113                  1                    1127                 4                    2.254000             
1                    114                  1                    1180                 3                    3.146667             
1                    115                  1                    1157                 3                    3.085333             
1                    116                  1                    1198                 0                    inf                  
1                    4                    1                    1104                 4                    2.208000             
1                    16                   1                    1151                 3                    3.069333             
1                    28                   1                    1182                 4                    2.364000             
1                    40                   1                    1038                 0                    inf                  
1                    52                   1                    1056                 3                    2.816000             
1                    64                   1                    1090                 5                    1.744000             
1                    76                   1                    1210                 3                    3.226667             
1                    88                   1                    1132                 0                    inf                  
1                    100                  1                    1124                 3                    2.997333             
1                    137                  1                    1044                 4                    2.088000             
1                    138                  1                    1119                 0                    inf                  
2                    30                   5                    9397                 22                   3.417091             
2                    31                   5                    7803                 19                   3.285474             
2                    42                   5                    9000                 18                   4.000000             
2                    43                   5                    7200                 16                   3.600000             
2                    54                   5                    8559                 20                   3.423600             
2                    55                   5                    5027                 10                   4.021600             
2                    66                   5                    5475                 12                   3.650000             
2                    67                   5                    5695                 11                   4.141818             
2                    78                   5                    6953                 14                   3.973143             
2                    79                   5                    7335                 16                   3.667500             
2                    90                   5                    6584                 11                   4.788363             
2                    91                   5                    8142                 19                   3.428210             
2                    32                   5                    8745                 18                   3.886667             
2                    44                   5                    7373                 18                   3.276889             
2                    56                   5                    4995                 7                    5.708571             
2                    68                   5                    4517                 12                   3.011333             
2                    80                   5                    7589                 13                   4.670154             
2                    18                   6                    17347                42                   3.304190             
2                    19                   6                    19418                48                   3.236333             
2                    92                   5                    9280                 19                   3.907368             
2                    20                   5                    6402                 16                   3.201000             
2                    29                   5                    8815                 18                   3.917778             
2                    41                   5                    8000                 18                   3.555556             
2                    53                   5                    6618                 15                   3.529600             
2                    65                   6                    13645                29                   3.764138             
2                    77                   6                    15391                37                   3.327784             
2                    89                   6                    29764                74                   3.217730             
2                    17                   6                    18263                44                   3.320545             
2                    102                  4                    4183                 6                    5.577333             
2                    103                  4                    3645                 7                    4.165714             
2                    104                  4                    7829                 18                   3.479556             
2                    101                  4                    6799                 11                   4.944727             
2                    6                    2                    956                  0                    inf                  
2                    7                    2                    501                  4                    1.002000             
2                    8                    2                    618                  1                    4.944000             
2                    5                    2                    920                  1                    7.360000             
2                    21                   2                    573                  3                    1.528000             
2                    33                   2                    529                  0                    inf                  
2                    45                   2                    582                  0                    inf                  
2                    57                   2                    578                  3                    1.541333             
2                    69                   2                    713                  0                    inf                  
2                    81                   2                    1413                 4                    2.826000             
2                    93                   2                    1667                 3                    4.445333             
2                    105                  1                    626                  0                    inf                  
2                    9                    1                    497                  3                    1.325333             
1                    117                  1                    1156                 0                    inf                  
1                    112                  1                    1122                 0                    inf                  
1                    139                  1                    1166                 3                    3.109333             
1                    140                  1                    1083                 4                    2.166000             
1                    141                  1                    1131                 5                    1.809600             
1                    136                  1                    1127                 0                    inf                  
2                    113                  1                    560                  3                    1.493333             
2                    114                  1                    599                  0                    inf                  
2                    115                  1                    584                  5                    0.934400             
2                    116                  1                    645                  0                    inf                  
2                    117                  1                    601                  0                    inf                  
2                    4                    1                    473                  0                    inf                  
2                    16                   1                    580                  2                    2.320000             
2                    28                   1                    660                  4                    1.320000             
2                    40                   1                    483                  0                    inf                  
2                    52                   1                    489                  0                    inf                  
2                    64                   1                    524                  2                    2.096000             
2                    76                   1                    631                  0                    inf                  
2                    88                   1                    560                  4                    1.120000             
2                    100                  1                    562                  0                    inf                  
2                    137                  1                    479                  0                    inf                  
2                    138                  1                    540                  0                    inf                  
2                    139                  1                    608                  0                    inf                  
2                    140                  1                    519                  0                    inf                  
2                    112                  1                    558                  4                    1.116000             
2                    141                  1                    558                  0                    inf                  
2                    136                  1                    571                  4                    1.142000             
3                    30                   5                    9807                 22                   3.566182             
3                    31                   5                    7746                 19                   3.261474             
3                    42                   5                    8880                 18                   3.946667             
3                    43                   5                    7252                 15                   3.867733             
3                    54                   5                    8362                 19                   3.520842             
3                    18                   5                    8561                 19                   3.604632             
3                    19                   5                    10170                22                   3.698182             
3                    55                   5                    5174                 11                   3.762909             
3                    66                   5                    5604                 11                   4.075636             
3                    67                   5                    5235                 11                   3.807273             
3                    78                   5                    6324                 11                   4.599273             
3                    79                   5                    6446                 16                   3.223000             
3                    6                    5                    7531                 14                   4.303429             
3                    7                    5                    5171                 11                   3.760727             
3                    20                   5                    7269                 15                   3.876800             
3                    32                   5                    8934                 22                   3.248727             
3                    8                    5                    4489                 8                    4.489000             
3                    44                   5                    7727                 14                   4.415429             
3                    56                   5                    5221                 11                   3.797091             
3                    68                   5                    4414                 8                    4.414000             
3                    5                    5                    6930                 15                   3.696000             
3                    17                   5                    9329                 22                   3.392364             
3                    29                   5                    8137                 15                   4.339733             
3                    41                   5                    8011                 17                   3.769882             
3                    53                   5                    6506                 14                   3.717714             
3                    65                   5                    6456                 11                   4.695273             
3                    80                   5                    6787                 14                   3.878286             
3                    77                   6                    14961                34                   3.520235             
3                    138                  4                    4209                 11                   3.061091             
3                    139                  4                    4953                 7                    5.660572             
3                    140                  4                    4460                 11                   3.243636             
3                    137                  4                    3161                 4                    6.322000             
3                    90                   4                    2731                 4                    5.462000             
3                    91                   4                    3242                 7                    3.705143             
3                    92                   5                    8640                 18                   3.840000             
3                    89                   5                    11805                26                   3.632308             
3                    9                    4                    2084                 4                    4.168000             
3                    21                   4                    2114                 8                    2.114000             
3                    33                   4                    2025                 3                    5.400000             
3                    45                   4                    2416                 4                    4.832000             
3                    57                   4                    1939                 3                    5.170667             
3                    69                   4                    2260                 4                    4.520000             
3                    81                   4                    4515                 12                   3.010000             
3                    93                   4                    5857                 12                   3.904667             
3                    141                  4                    5010                 11                   3.643636             
2                    125                  4                    3270                 4                    6.540000             
2                    126                  4                    3803                 9                    3.380445             
2                    127                  4                    3826                 8                    3.826000             
2                    128                  4                    6135                 14                   3.505714             
2                    129                  4                    6032                 11                   4.386909             
2                    124                  4                    5435                 11                   3.952727             
3                    4                    2                    506                  0                    inf                  
3                    16                   2                    1772                 4                    3.544000             
3                    28                   2                    1205                 0                    inf                  
