chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    30                   1                    1060                 2                    4.240000             
1                    31                   1                    1029                 3                    2.744000             
1                    42                   1                    1069                 1                    8.552000             
1                    43                   1                    1059                 3                    2.824000             
1                    54                   1                    1098                 0                    inf                  
1                    55                   1                    1053                 0                    inf                  
1                    66                   1                    1096                 2                    4.384000             
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 0                    inf                  
1                    79                   1                    1122                 2                    4.488000             
1                    90                   1                    1068                 3                    2.848000             
1                    91                   1                    1084                 0                    inf                  
1                    18                   1                    1366                 3                    3.642667             
1                    19                   1                    1095                 2                    4.380000             
1                    32                   1                    1035                 3                    2.760000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 2                    4.160000             
1                    68                   1                    1035                 3                    2.760000             
1                    80                   1                    1143                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    41                   1                    1079                 3                    2.877333             
1                    53                   1                    1076                 2                    4.304000             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 2                    4.412000             
1                    92                   1                    1103                 3                    2.941333             
1                    89                   1                    1116                 2                    4.464000             
1                    20                   1                    1022                 0                    inf                  
1                    17                   1                    1350                 2                    5.400000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 0                    inf                  
1                    104                  1                    1160                 0                    inf                  
1                    101                  1                    1185                 3                    3.160000             
1                    6                    1                    1053                 2                    4.212000             
1                    7                    1                    1046                 0                    inf                  
1                    8                    1                    1026                 2                    4.104000             
1                    5                    1                    1048                 4                    2.096000             
1                    21                   1                    1015                 1                    8.120000             
1                    33                   1                    1017                 0                    inf                  
1                    45                   1                    1025                 2                    4.100000             
1                    57                   1                    1031                 1                    8.248000             
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 2                    4.744000             
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 3                    3.178667             
1                    9                    1                    1037                 2                    4.148000             
2                    30                   6                    17885                31                   4.615484             
2                    31                   6                    14522                22                   5.280727             
2                    42                   6                    18392                30                   4.904533             
2                    43                   6                    14157                23                   4.924174             
2                    54                   6                    18218                30                   4.858133             
2                    55                   6                    9628                 13                   5.924923             
2                    66                   6                    11563                17                   5.441412             
2                    67                   6                    12000                20                   4.800000             
2                    78                   5                    6953                 11                   5.056727             
2                    79                   5                    7335                 10                   5.868000             
2                    90                   5                    6584                 10                   5.267200             
2                    91                   5                    8142                 10                   6.513600             
2                    18                   5                    9095                 15                   4.850667             
2                    19                   5                    10027                15                   5.347733             
2                    32                   5                    8745                 13                   5.381538             
2                    44                   6                    14311                23                   4.977739             
2                    56                   6                    9687                 15                   5.166400             
2                    68                   6                    9563                 16                   4.781500             
2                    80                   6                    16219                26                   4.990461             
2                    92                   6                    21337                36                   4.741556             
2                    20                   6                    11506                18                   5.113778             
2                    29                   6                    16853                28                   4.815143             
2                    41                   6                    16092                26                   4.951385             
2                    53                   6                    13211                21                   5.032762             
2                    65                   6                    13645                23                   4.746087             
2                    77                   6                    15391                23                   5.353391             
2                    89                   6                    29764                52                   4.579077             
2                    17                   6                    18263                31                   4.713032             
2                    102                  4                    4183                 6                    5.577333             
2                    103                  4                    3645                 5                    5.832000             
2                    104                  4                    7829                 12                   5.219333             
2                    101                  5                    16115                25                   5.156800             
2                    6                    3                    1432                 2                    5.728000             
2                    7                    3                    753                  1                    6.024000             
2                    8                    3                    867                  0                    inf                  
2                    5                    3                    1389                 2                    5.556000             
2                    21                   3                    773                  1                    6.184000             
2                    33                   3                    890                  3                    2.373333             
2                    45                   3                    985                  0                    inf                  
2                    57                   3                    912                  0                    inf                  
2                    69                   3                    1120                 0                    inf                  
2                    81                   3                    2488                 3                    6.634666             
2                    93                   3                    3028                 5                    4.844800             
2                    105                  3                    5315                 8                    5.315000             
2                    9                    3                    910                  1                    7.280000             
3                    18                   5                    8561                 16                   4.280500             
3                    19                   5                    10170                15                   5.424000             
