chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 1                    8.552000             
1                    43                   1                    1059                 1                    8.472000             
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 1                    8.424000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 1                    8.976000             
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 1                    8.672000             
1                    102                  1                    1098                 2                    4.392000             
1                    103                  1                    1091                 0                    inf                  
1                    41                   1                    1079                 1                    8.632000             
1                    53                   1                    1076                 1                    8.608000             
1                    65                   1                    1109                 1                    8.872000             
1                    77                   1                    1103                 0                    inf                  
1                    89                   1                    1116                 1                    8.928000             
1                    101                  1                    1185                 2                    4.740000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    68                   1                    1035                 2                    4.140000             
1                    80                   1                    1143                 1                    9.144000             
1                    92                   1                    1103                 0                    inf                  
1                    104                  1                    1160                 2                    4.640000             
1                    30                   1                    1060                 1                    8.480000             
1                    31                   1                    1029                 2                    4.116000             
1                    29                   1                    1040                 1                    8.320000             
1                    32                   1                    1035                 1                    8.280000             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 0                    inf                  
1                    113                  1                    1127                 1                    9.016000             
1                    116                  1                    1198                 0                    inf                  
1                    17                   1                    1350                 2                    5.400000             
1                    18                   1                    1366                 2                    5.464000             
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 1                    8.176000             
1                    28                   1                    1182                 0                    inf                  
1                    40                   1                    1038                 3                    2.768000             
1                    52                   1                    1056                 0                    inf                  
1                    64                   1                    1090                 2                    4.360000             
1                    76                   1                    1210                 0                    inf                  
1                    88                   1                    1132                 2                    4.528000             
1                    100                  1                    1124                 1                    8.992000             
1                    112                  1                    1122                 0                    inf                  
1                    16                   1                    1151                 2                    4.604000             
2                    42                   6                    18392                19                   7.744000             
2                    43                   6                    14157                13                   8.712000             
2                    54                   6                    18218                18                   8.096889             
2                    55                   6                    9628                 9                    8.558222             
2                    66                   6                    11563                10                   9.250400             
2                    67                   6                    12000                10                   9.600000             
2                    78                   6                    14495                13                   8.920000             
2                    79                   6                    15729                14                   8.988000             
2                    90                   6                    14418                14                   8.238857             
2                    91                   6                    19013                17                   8.947294             
2                    102                  6                    24224                23                   8.425739             
2                    103                  6                    21676                20                   8.670400             
2                    41                   6                    16092                14                   9.195429             
2                    53                   6                    13211                11                   9.608000             
2                    65                   6                    13645                12                   9.096666             
2                    77                   6                    15391                14                   8.794857             
2                    89                   6                    29764                27                   8.818963             
2                    101                  6                    35296                35                   8.067657             
2                    30                   6                    17885                16                   8.942500             
2                    31                   6                    14522                14                   8.298285             
2                    44                   6                    14311                13                   8.806769             
2                    56                   6                    9687                 7                    11.070857            
2                    68                   6                    9563                 8                    9.563000             
2                    80                   6                    16219                17                   7.632471             
2                    92                   6                    21337                19                   8.984000             
2                    29                   6                    16853                16                   8.426500             
2                    104                  6                    37065                36                   8.236667             
2                    32                   6                    16766                16                   8.383000             
2                    113                  5                    9743                 8                    9.743000             
2                    17                   5                    9525                 7                    10.885715            
2                    18                   5                    9095                 10                   7.276000             
2                    19                   5                    10027                9                    8.912889             
2                    20                   5                    6402                 4                    12.804000            
2                    114                  5                    13041                13                   8.025230             
2                    115                  5                    14752                13                   9.078154             
2                    116                  5                    33912                33                   8.221091             
2                    28                   5                    7360                 6                    9.813334             
2                    40                   5                    5719                 4                    11.438000            
2                    52                   5                    5259                 5                    8.414400             
2                    64                   5                    5947                 4                    11.894000            
2                    76                   5                    13981                12                   9.320666             
2                    88                   5                    18385                16                   9.192500             
2                    100                  5                    13581                13                   8.357538             
2                    16                   5                    9266                 9                    8.236444             
2                    112                  5                    11374                10                   9.099200             
2                    5                    6                    8988                 8                    8.988000             
2                    6                    6                    9677                 8                    9.677000             
2                    7                    6                    7496                 5                    11.993600            
2                    8                    6                    8983                 7                    10.266286            
2                    4                    6                    6590                 5                    10.544000            
3                    30                   6                    19002                18                   8.445333             
3                    31                   6                    14795                13                   9.104615             
3                    42                   6                    18059                17                   8.498353             
3                    43                   6                    14569                14                   8.325143             
3                    54                   6                    17719                15                   9.450133             
3                    55                   6                    9910                 8                    9.910000             
3                    66                   6                    11751                10                   9.400800             
3                    67                   6                    10990                10                   8.792000             
3                    78                   6                    13182                12                   8.788000             
3                    79                   6                    13854                11                   10.075636            
3                    18                   6                    15903                16                   7.951500             
3                    19                   6                    19783                17                   9.309647             
3                    90                   6                    14810                15                   7.898667             
3                    91                   6                    17328                16                   8.664000             
3                    20                   6                    13264                13                   8.162461             
3                    32                   6                    17480                15                   9.322667             
3                    44                   6                    15008                14                   8.576000             
3                    56                   6                    10228                8                    10.228000            
3                    68                   6                    9575                 9                    8.511111             
3                    80                   6                    14972                15                   7.985067             
3                    92                   6                    19491                18                   8.662666             
3                    21                   6                    9164                 9                    8.145778             
3                    33                   6                    10231                10                   8.184800             
3                    45                   6                    10394                9                    9.239111             
3                    57                   6                    8763                 9                    7.789333             
3                    69                   6                    12528                10                   10.022400            
3                    81                   6                    22697                21                   8.646476             
3                    7                    6                    8607                 9                    7.650667             
3                    8                    6                    7698                 7                    8.797714             
3                    6                    6                    12659                11                   9.206546             
3                    93                   6                    28576                26                   8.792615             
3                    9                    6                    7646                 7                    8.738286             
2                    21                   1                    450                  0                    inf                  
2                    33                   1                    451                  0                    inf                  
2                    45                   1                    463                  2                    1.852000             
2                    57                   1                    465                  0                    inf                  
2                    69                   1                    492                  1                    3.936000             
2                    81                   1                    642                  0                    inf                  
2                    93                   1                    645                  1                    5.160000             
2                    105                  1                    626                  0                    inf                  
2                    9                    1                    497                  0                    inf                  
3                    17                   5                    9329                 8                    9.329000             
3                    29                   5                    8137                 7                    9.299429             
3                    41                   5                    8011                 8                    8.011000             
3                    53                   5                    6506                 6                    8.674666             
3                    65                   5                    6456                 5                    10.329600            
3                    53                   6                    13664                13                   8.408615             
3                    65                   6                    13867                13                   8.533539             
