chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    17                   1                    1350                 1                    10.800000            
1                    18                   1                    1366                 2                    5.464000             
1                    19                   1                    1095                 1                    8.760000             
1                    20                   1                    1022                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    30                   1                    1060                 1                    8.480000             
1                    31                   1                    1029                 0                    inf                  
1                    32                   1                    1035                 0                    inf                  
1                    41                   1                    1079                 1                    8.632000             
1                    42                   1                    1069                 2                    4.276000             
1                    43                   1                    1059                 0                    inf                  
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 2                    4.304000             
1                    54                   1                    1098                 0                    inf                  
1                    55                   1                    1053                 0                    inf                  
1                    56                   1                    1040                 2                    4.160000             
1                    65                   1                    1109                 1                    8.872000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 1                    8.280000             
1                    77                   1                    1103                 0                    inf                  
1                    78                   1                    1142                 1                    9.136000             
1                    79                   1                    1122                 1                    8.976000             
1                    80                   1                    1143                 0                    inf                  
1                    89                   1                    1116                 1                    8.928000             
1                    90                   1                    1068                 2                    4.272000             
1                    91                   1                    1084                 1                    8.672000             
1                    92                   1                    1103                 0                    inf                  
1                    101                  1                    1185                 1                    9.480000             
1                    102                  1                    1098                 1                    8.784000             
1                    103                  1                    1091                 0                    inf                  
1                    104                  1                    1160                 1                    9.280000             
1                    113                  1                    1127                 2                    4.508000             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 0                    inf                  
1                    116                  1                    1198                 1                    9.584000             
1                    125                  1                    1055                 1                    8.440000             
1                    126                  1                    1084                 1                    8.672000             
1                    127                  1                    1058                 1                    8.464000             
1                    128                  1                    1137                 1                    9.096000             
1                    21                   1                    1015                 1                    8.120000             
1                    33                   1                    1017                 0                    inf                  
1                    45                   1                    1025                 1                    8.200000             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 2                    4.744000             
1                    93                   1                    1201                 1                    9.608000             
1                    105                  1                    1192                 2                    4.768000             
1                    117                  1                    1156                 0                    inf                  
1                    129                  1                    1229                 3                    3.277333             
1                    16                   1                    1151                 0                    inf                  
1                    28                   1                    1182                 3                    3.152000             
1                    40                   1                    1038                 0                    inf                  
1                    52                   1                    1056                 2                    4.224000             
1                    64                   1                    1090                 0                    inf                  
1                    76                   1                    1210                 1                    9.680000             
1                    88                   1                    1132                 0                    inf                  
1                    100                  1                    1124                 2                    4.496000             
1                    112                  1                    1122                 0                    inf                  
1                    124                  1                    1138                 2                    4.552000             
1                    137                  1                    1044                 0                    inf                  
1                    138                  1                    1119                 1                    8.952000             
1                    139                  1                    1166                 0                    inf                  
1                    140                  1                    1083                 2                    4.332000             
1                    5                    1                    1048                 0                    inf                  
1                    6                    1                    1053                 1                    8.424000             
1                    7                    1                    1046                 1                    8.368000             
1                    8                    1                    1026                 0                    inf                  
1                    141                  1                    1131                 1                    9.048000             
1                    136                  1                    1127                 2                    4.508000             
1                    9                    1                    1037                 1                    8.296000             
1                    4                    1                    1104                 1                    8.832000             
2                    28                   1                    660                  1                    5.280000             
2                    29                   1                    481                  0                    inf                  
2                    30                   1                    488                  1                    3.904000             
2                    31                   1                    461                  0                    inf                  
2                    32                   1                    472                  1                    3.776000             
2                    33                   1                    451                  0                    inf                  
2                    34                   1                    461                  0                    inf                  
2                    40                   1                    483                  1                    3.864000             
2                    41                   1                    508                  0                    inf                  
2                    42                   1                    517                  2                    2.068000             
2                    43                   1                    482                  0                    inf                  
2                    44                   1                    477                  0                    inf                  
2                    45                   1                    463                  1                    3.704000             
2                    46                   1                    502                  0                    inf                  
2                    52                   1                    489                  1                    3.912000             
2                    53                   1                    510                  1                    4.080000             
2                    54                   1                    532                  0                    inf                  
2                    55                   1                    482                  1                    3.856000             
2                    56                   1                    468                  0                    inf                  
2                    57                   1                    465                  1                    3.720000             
2                    58                   1                    470                  0                    inf                  
2                    64                   1                    524                  0                    inf                  
2                    65                   1                    546                  1                    4.368000             
2                    66                   1                    521                  0                    inf                  
2                    67                   1                    499                  4                    0.998000             
2                    68                   1                    472                  0                    inf                  
2                    69                   1                    492                  0                    inf                  
2                    70                   1                    483                  0                    inf                  
2                    76                   1                    631                  0                    inf                  
2                    77                   1                    535                  1                    4.280000             
2                    78                   1                    573                  0                    inf                  
2                    79                   1                    540                  0                    inf                  
2                    80                   1                    574                  1                    4.592000             
2                    81                   1                    642                  2                    2.568000             
2                    82                   1                    617                  0                    inf                  
2                    88                   1                    560                  1                    4.480000             
2                    89                   1                    553                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  1                    4.288000             
2                    92                   1                    540                  0                    inf                  
2                    93                   1                    645                  0                    inf                  
2                    94                   1                    666                  0                    inf                  
2                    100                  1                    562                  1                    4.496000             
2                    101                  1                    640                  0                    inf                  
2                    102                  1                    528                  2                    2.112000             
2                    103                  1                    530                  0                    inf                  
2                    104                  1                    597                  1                    4.776000             
2                    105                  1                    626                  0                    inf                  
2                    106                  1                    657                  2                    2.628000             
2                    112                  1                    558                  0                    inf                  
2                    113                  1                    560                  1                    4.480000             
2                    114                  1                    599                  1                    4.792000             
2                    115                  1                    584                  0                    inf                  
2                    116                  1                    645                  0                    inf                  
2                    117                  1                    601                  1                    4.808000             
2                    118                  1                    682                  1                    5.456000             
2                    124                  1                    572                  0                    inf                  
2                    125                  1                    493                  2                    1.972000             
2                    126                  1                    523                  0                    inf                  
2                    127                  1                    492                  0                    inf                  
2                    128                  1                    567                  0                    inf                  
2                    129                  1                    664                  2                    2.656000             
2                    130                  1                    595                  0                    inf                  
2                    16                   1                    580                  1                    4.640000             
2                    17                   1                    756                  1                    6.048000             
2                    18                   1                    781                  0                    inf                  
2                    19                   1                    547                  0                    inf                  
2                    20                   1                    458                  0                    inf                  
2                    21                   1                    450                  0                    inf                  
2                    22                   1                    452                  1                    3.616000             
2                    136                  1                    571                  0                    inf                  
2                    137                  1                    479                  2                    1.916000             
2                    138                  1                    540                  1                    4.320000             
2                    139                  1                    608                  1                    4.864000             
2                    140                  1                    519                  0                    inf                  
2                    141                  1                    558                  0                    inf                  
2                    142                  1                    607                  1                    4.856000             
2                    27                   1                    504                  0                    inf                  
2                    39                   1                    577                  2                    2.308000             
