chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    5                    1                    1048                 3                    2.794667             
1                    6                    1                    1053                 2                    4.212000             
1                    7                    1                    1046                 3                    2.789333             
1                    8                    1                    1026                 2                    4.104000             
1                    17                   1                    1350                 1                    10.800000            
1                    18                   1                    1366                 2                    5.464000             
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 3                    2.725333             
1                    29                   1                    1040                 0                    inf                  
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 2                    4.116000             
1                    32                   1                    1035                 0                    inf                  
1                    41                   1                    1079                 0                    inf                  
1                    42                   1                    1069                 2                    4.276000             
1                    43                   1                    1059                 3                    2.824000             
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 2                    4.304000             
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 1                    8.424000             
1                    56                   1                    1040                 0                    inf                  
1                    65                   1                    1109                 3                    2.957333             
1                    66                   1                    1096                 2                    4.384000             
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 2                    4.140000             
1                    77                   1                    1103                 3                    2.941333             
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 0                    inf                  
1                    80                   1                    1143                 3                    3.048000             
1                    89                   1                    1116                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 0                    inf                  
1                    92                   1                    1103                 3                    2.941333             
1                    101                  1                    1185                 2                    4.740000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 2                    4.364000             
1                    104                  1                    1160                 3                    3.093333             
1                    113                  1                    1127                 2                    4.508000             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 3                    3.085333             
1                    116                  1                    1198                 3                    3.194667             
1                    9                    1                    1037                 0                    inf                  
1                    21                   1                    1015                 2                    4.060000             
1                    33                   1                    1017                 0                    inf                  
1                    45                   1                    1025                 0                    inf                  
1                    57                   1                    1031                 2                    4.124000             
1                    69                   1                    1056                 4                    2.112000             
1                    81                   1                    1186                 1                    9.488000             
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 2                    4.768000             
1                    117                  1                    1156                 3                    3.082667             
1                    137                  1                    1044                 3                    2.784000             
1                    138                  1                    1119                 0                    inf                  
1                    139                  1                    1166                 3                    3.109333             
1                    140                  1                    1083                 2                    4.332000             
1                    4                    1                    1104                 3                    2.944000             
1                    16                   1                    1151                 0                    inf                  
1                    28                   1                    1182                 3                    3.152000             
1                    40                   1                    1038                 2                    4.152000             
1                    52                   1                    1056                 3                    2.816000             
1                    64                   1                    1090                 0                    inf                  
1                    76                   1                    1210                 2                    4.840000             
1                    88                   1                    1132                 2                    4.528000             
1                    100                  1                    1124                 0                    inf                  
1                    112                  1                    1122                 0                    inf                  
1                    141                  1                    1131                 3                    3.016000             
1                    136                  1                    1127                 2                    4.508000             
1                    125                  1                    1055                 4                    2.110000             
1                    126                  1                    1084                 0                    inf                  
1                    127                  1                    1058                 3                    2.821333             
1                    128                  1                    1137                 2                    4.548000             
1                    129                  1                    1229                 3                    3.277333             
1                    124                  1                    1138                 0                    inf                  
2                    16                   1                    580                  3                    1.546667             
2                    17                   1                    756                  2                    3.024000             
2                    18                   1                    781                  0                    inf                  
2                    19                   1                    547                  1                    4.376000             
2                    20                   1                    458                  0                    inf                  
2                    21                   1                    450                  0                    inf                  
2                    22                   1                    452                  2                    1.808000             
2                    28                   1                    660                  0                    inf                  
2                    29                   1                    481                  2                    1.924000             
2                    30                   1                    488                  0                    inf                  
2                    31                   1                    461                  3                    1.229333             
2                    32                   1                    472                  0                    inf                  
2                    33                   1                    451                  0                    inf                  
2                    34                   1                    461                  0                    inf                  
2                    40                   1                    483                  3                    1.288000             
2                    41                   1                    508                  1                    4.064000             
2                    42                   1                    517                  1                    4.136000             
2                    43                   1                    482                  0                    inf                  
2                    44                   1                    477                  0                    inf                  
2                    45                   1                    463                  0                    inf                  
2                    46                   1                    502                  0                    inf                  
2                    52                   1                    489                  2                    1.956000             
2                    53                   1                    510                  0                    inf                  
2                    54                   1                    532                  0                    inf                  
2                    55                   1                    482                  0                    inf                  
2                    56                   1                    468                  3                    1.248000             
2                    57                   1                    465                  0                    inf                  
2                    58                   1                    470                  0                    inf                  
2                    64                   1                    524                  0                    inf                  
2                    65                   1                    546                  3                    1.456000             
2                    66                   1                    521                  0                    inf                  
2                    67                   1                    499                  0                    inf                  
2                    68                   1                    472                  0                    inf                  
2                    69                   1                    492                  4                    0.984000             
2                    70                   1                    483                  0                    inf                  
2                    76                   1                    631                  0                    inf                  
2                    77                   1                    535                  3                    1.426667             
2                    78                   1                    573                  0                    inf                  
2                    79                   1                    540                  0                    inf                  
2                    80                   1                    574                  0                    inf                  
2                    81                   1                    642                  4                    1.284000             
2                    82                   1                    617                  0                    inf                  
2                    88                   1                    560                  0                    inf                  
2                    89                   1                    553                  0                    inf                  
2                    90                   1                    507                  3                    1.352000             
2                    91                   1                    536                  0                    inf                  
2                    92                   1                    540                  0                    inf                  
2                    93                   1                    645                  4                    1.290000             
2                    94                   1                    666                  0                    inf                  
2                    100                  1                    562                  0                    inf                  
2                    101                  1                    640                  3                    1.706667             
2                    102                  1                    528                  0                    inf                  
2                    103                  1                    530                  0                    inf                  
2                    104                  1                    597                  0                    inf                  
2                    105                  1                    626                  2                    2.504000             
2                    106                  1                    657                  0                    inf                  
2                    112                  1                    558                  0                    inf                  
2                    113                  1                    560                  0                    inf                  
2                    114                  1                    599                  2                    2.396000             
2                    115                  1                    584                  0                    inf                  
2                    116                  1                    645                  0                    inf                  
2                    117                  1                    601                  2                    2.404000             
2                    118                  1                    682                  0                    inf                  
2                    4                    1                    473                  3                    1.261333             
2                    5                    1                    592                  0                    inf                  
2                    6                    1                    519                  2                    2.076000             
2                    7                    1                    463                  0                    inf                  
2                    8                    1                    464                  0                    inf                  
2                    9                    1                    497                  0                    inf                  
2                    10                   1                    507                  2                    2.028000             
2                    23                   1                    450                  1                    3.600000             
2                    35                   1                    518                  2                    2.072000             
2                    47                   1                    475                  0                    inf                  
2                    59                   1                    470                  0                    inf                  
2                    71                   1                    503                  0                    inf                  
2                    83                   1                    599                  0                    inf                  
2                    95                   1                    659                  2                    2.636000             
2                    107                  1                    638                  3                    1.701333             
2                    119                  1                    579                  1                    4.632000             
2                    124                  1                    572                  1                    4.576000             
2                    125                  1                    493                  0                    inf                  
2                    126                  1                    523                  0                    inf                  
2                    127                  1                    492                  0                    inf                  
2                    128                  1                    567                  2                    2.268000             
2                    129                  1                    664                  0                    inf                  
2                    130                  1                    595                  4                    1.190000             
2                    11                   1                    512                  0                    inf                  
2                    15                   1                    451                  0                    inf                  
2                    27                   1                    504                  0                    inf                  
2                    39                   1                    577                  3                    1.538667             
2                    51                   1                    505                  0                    inf                  
2                    63                   1                    507                  0                    inf                  
2                    75                   1                    614                  1                    4.912000             
2                    87                   1                    594                  2                    2.376000             
2                    99                   1                    596                  0                    inf                  
2                    111                  1                    546                  0                    inf                  
2                    3                    1                    482                  0                    inf                  
