chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    5                    1                    1048                 2                    4.192000             
1                    6                    1                    1053                 2                    4.212000             
1                    7                    1                    1046                 3                    2.789333             
1                    8                    1                    1026                 2                    4.104000             
1                    17                   1                    1350                 0                    inf                  
1                    18                   1                    1366                 2                    5.464000             
1                    19                   1                    1095                 1                    8.760000             
1                    20                   1                    1022                 2                    4.088000             
1                    29                   1                    1040                 0                    inf                  
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 2                    4.116000             
1                    32                   1                    1035                 0                    inf                  
1                    41                   1                    1079                 1                    8.632000             
1                    42                   1                    1069                 2                    4.276000             
1                    43                   1                    1059                 2                    4.236000             
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 2                    4.304000             
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    65                   1                    1109                 3                    2.957333             
1                    66                   1                    1096                 2                    4.384000             
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 2                    4.140000             
1                    77                   1                    1103                 3                    2.941333             
1                    78                   1                    1142                 4                    2.284000             
1                    79                   1                    1122                 0                    inf                  
1                    80                   1                    1143                 3                    3.048000             
1                    89                   1                    1116                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 0                    inf                  
1                    92                   1                    1103                 2                    4.412000             
1                    101                  1                    1185                 2                    4.740000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 2                    4.364000             
1                    104                  1                    1160                 3                    3.093333             
1                    113                  1                    1127                 3                    3.005333             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 3                    3.085333             
1                    116                  1                    1198                 2                    4.792000             
1                    9                    1                    1037                 0                    inf                  
1                    21                   1                    1015                 2                    4.060000             
1                    33                   1                    1017                 2                    4.068000             
1                    45                   1                    1025                 2                    4.100000             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 2                    4.224000             
1                    81                   1                    1186                 2                    4.744000             
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 0                    inf                  
1                    117                  1                    1156                 3                    3.082667             
1                    137                  1                    1044                 3                    2.784000             
1                    138                  1                    1119                 2                    4.476000             
1                    139                  1                    1166                 0                    inf                  
1                    140                  1                    1083                 2                    4.332000             
1                    4                    1                    1104                 3                    2.944000             
1                    16                   1                    1151                 2                    4.604000             
1                    28                   1                    1182                 0                    inf                  
1                    40                   1                    1038                 1                    8.304000             
1                    52                   1                    1056                 3                    2.816000             
1                    64                   1                    1090                 2                    4.360000             
1                    76                   1                    1210                 0                    inf                  
1                    88                   1                    1132                 2                    4.528000             
1                    100                  1                    1124                 2                    4.496000             
1                    112                  1                    1122                 3                    2.992000             
1                    141                  1                    1131                 0                    inf                  
1                    136                  1                    1127                 3                    3.005333             
1                    125                  1                    1055                 1                    8.440000             
1                    126                  1                    1084                 3                    2.890667             
1                    127                  1                    1058                 0                    inf                  
1                    128                  1                    1137                 3                    3.032000             
1                    129                  1                    1229                 3                    3.277333             
1                    124                  1                    1138                 2                    4.552000             
2                    16                   1                    580                  0                    inf                  
2                    17                   1                    756                  2                    3.024000             
2                    18                   1                    781                  0                    inf                  
2                    19                   1                    547                  4                    1.094000             
2                    20                   1                    458                  0                    inf                  
2                    21                   1                    450                  0                    inf                  
2                    22                   1                    452                  0                    inf                  
2                    28                   1                    660                  0                    inf                  
2                    29                   1                    481                  3                    1.282667             
2                    30                   1                    488                  0                    inf                  
2                    31                   1                    461                  2                    1.844000             
2                    32                   1                    472                  0                    inf                  
2                    33                   1                    451                  3                    1.202667             
2                    34                   1                    461                  0                    inf                  
2                    40                   1                    483                  0                    inf                  
2                    41                   1                    508                  0                    inf                  
2                    42                   1                    517                  3                    1.378667             
2                    43                   1                    482                  0                    inf                  
2                    44                   1                    477                  2                    1.908000             
2                    45                   1                    463                  0                    inf                  
2                    46                   1                    502                  0                    inf                  
2                    52                   1                    489                  0                    inf                  
2                    53                   1                    510                  0                    inf                  
2                    54                   1                    532                  2                    2.128000             
2                    55                   1                    482                  1                    3.856000             
2                    56                   1                    468                  2                    1.872000             
2                    57                   1                    465                  1                    3.720000             
2                    58                   1                    470                  2                    1.880000             
2                    64                   1                    524                  0                    inf                  
2                    65                   1                    546                  0                    inf                  
2                    66                   1                    521                  1                    4.168000             
2                    67                   1                    499                  2                    1.996000             
2                    68                   1                    472                  0                    inf                  
2                    69                   1                    492                  0                    inf                  
2                    70                   1                    483                  0                    inf                  
2                    76                   1                    631                  0                    inf                  
2                    77                   1                    535                  3                    1.426667             
2                    78                   1                    573                  0                    inf                  
2                    79                   1                    540                  2                    2.160000             
2                    80                   1                    574                  0                    inf                  
2                    81                   1                    642                  3                    1.712000             
2                    82                   1                    617                  0                    inf                  
2                    88                   1                    560                  3                    1.493333             
2                    89                   1                    553                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  2                    2.144000             
2                    92                   1                    540                  1                    4.320000             
2                    93                   1                    645                  0                    inf                  
2                    94                   1                    666                  1                    5.328000             
2                    100                  1                    562                  2                    2.248000             
2                    101                  1                    640                  0                    inf                  
2                    102                  1                    528                  2                    2.112000             
2                    103                  1                    530                  0                    inf                  
2                    104                  1                    597                  3                    1.592000             
2                    105                  1                    626                  0                    inf                  
2                    106                  1                    657                  4                    1.314000             
2                    112                  1                    558                  0                    inf                  
2                    113                  1                    560                  1                    4.480000             
2                    114                  1                    599                  0                    inf                  
2                    115                  1                    584                  0                    inf                  
2                    116                  1                    645                  0                    inf                  
2                    117                  1                    601                  0                    inf                  
2                    118                  1                    682                  2                    2.728000             
2                    4                    1                    473                  0                    inf                  
2                    5                    1                    592                  3                    1.578667             
2                    6                    1                    519                  0                    inf                  
2                    7                    1                    463                  0                    inf                  
2                    8                    1                    464                  0                    inf                  
2                    9                    1                    497                  0                    inf                  
2                    10                   1                    507                  2                    2.028000             
2                    23                   1                    450                  0                    inf                  
2                    35                   1                    518                  0                    inf                  
2                    47                   1                    475                  0                    inf                  
2                    59                   1                    470                  2                    1.880000             
2                    71                   1                    503                  0                    inf                  
2                    83                   1                    599                  0                    inf                  
2                    95                   1                    659                  2                    2.636000             
2                    107                  1                    638                  0                    inf                  
2                    119                  1                    579                  0                    inf                  
2                    124                  1                    572                  0                    inf                  
2                    125                  1                    493                  0                    inf                  
2                    126                  1                    523                  2                    2.092000             
2                    127                  1                    492                  0                    inf                  
2                    128                  1                    567                  3                    1.512000             
2                    129                  1                    664                  0                    inf                  
2                    130                  1                    595                  2                    2.380000             
2                    11                   1                    512                  0                    inf                  
2                    15                   1                    451                  0                    inf                  
2                    27                   1                    504                  2                    2.016000             
2                    39                   1                    577                  0                    inf                  
2                    51                   1                    505                  4                    1.010000             
2                    63                   1                    507                  0                    inf                  
2                    75                   1                    614                  0                    inf                  
2                    87                   1                    594                  0                    inf                  
2                    99                   1                    596                  3                    1.589333             
2                    111                  1                    546                  0                    inf                  
2                    3                    1                    482                  0                    inf                  
2                    131                  1                    730                  3                    1.946667             
2                    123                  1                    585                  2                    2.340000             
2                    53                   6                    13211                23                   4.595130             
2                    65                   6                    13645                20                   5.458000             
2                    20                   6                    11506                21                   4.383238             
2                    19                   6                    19418                30                   5.178133             
3                    3                    1                    456                  0                    inf                  
3                    4                    1                    469                  0                    inf                  
3                    5                    1                    626                  2                    2.504000             
2                    68                   6                    9563                 18                   4.250222             
2                    42                   6                    18392                29                   5.073655             
2                    80                   6                    16219                28                   4.634000             
3                    6                    1                    581                  0                    inf                  
3                    7                    1                    467                  0                    inf                  
3                    8                    1                    471                  2                    1.884000             
3                    9                    1                    474                  0                    inf                  
3                    15                   1                    456                  2                    1.824000             
3                    16                   1                    628                  0                    inf                  
3                    17                   1                    617                  0                    inf                  
3                    18                   1                    661                  0                    inf                  
3                    19                   1                    540                  2                    2.160000             
2                    55                   6                    9628                 16                   4.814000             
2                    56                   6                    9687                 16                   4.843500             
2                    89                   6                    29764                49                   4.859428             
3                    20                   1                    463                  0                    inf                  
3                    21                   1                    462                  0                    inf                  
3                    27                   1                    504                  7                    0.576000             
3                    28                   1                    583                  0                    inf                  
3                    29                   1                    475                  0                    inf                  
3                    30                   1                    482                  0                    inf                  
3                    31                   1                    463                  1                    3.704000             
3                    32                   1                    488                  0                    inf                  
3                    33                   1                    456                  0                    inf                  
2                    92                   6                    21337                35                   4.877028             
2                    78                   6                    14495                25                   4.638400             
2                    66                   6                    11563                18                   5.139111             
2                    67                   6                    12000                18                   5.333333             
3                    39                   1                    567                  0                    inf                  
2                    90                   6                    14418                26                   4.436308             
2                    54                   6                    18218                31                   4.701419             
2                    79                   6                    15729                25                   5.033280             
3                    40                   1                    480                  0                    inf                  
3                    41                   1                    511                  0                    inf                  
3                    42                   1                    508                  3                    1.354667             
3                    43                   1                    483                  0                    inf                  
3                    44                   1                    481                  3                    1.282667             
3                    45                   1                    464                  0                    inf                  
3                    51                   1                    502                  0                    inf                  
3                    52                   1                    489                  0                    inf                  
3                    53                   1                    507                  2                    2.028000             
2                    32                   6                    16766                28                   4.790286             
2                    91                   6                    19013                31                   4.906580             
3                    54                   1                    522                  0                    inf                  
2                    31                   6                    14522                26                   4.468307             
2                    17                   5                    9525                 15                   5.080000             
2                    45                   6                    10226                15                   5.453866             
2                    101                  4                    6799                 11                   4.944727             
2                    104                  4                    7829                 11                   5.693818             
2                    103                  4                    3645                 5                    5.832000             
2                    102                  4                    4183                 8                    4.183000             
2                    77                   4                    3040                 5                    4.864000             
2                    41                   4                    3396                 5                    5.433600             
2                    29                   4                    3914                 3                    10.437333            
3                    55                   1                    477                  0                    inf                  
3                    56                   1                    467                  0                    inf                  
3                    57                   1                    473                  3                    1.261333             
3                    63                   1                    511                  0                    inf                  
3                    64                   1                    522                  3                    1.392000             
3                    65                   1                    538                  0                    inf                  
3                    66                   1                    525                  0                    inf                  
3                    67                   1                    504                  0                    inf                  
3                    68                   1                    472                  3                    1.258667             
2                    18                   4                    4454                 7                    5.090286             
2                    43                   4                    3094                 5                    4.950400             
2                    44                   4                    3312                 2                    13.248000            
2                    30                   4                    4369                 8                    4.369000             
3                    69                   1                    496                  1                    3.968000             
3                    75                   1                    618                  0                    inf                  
2                    105                  6                    48130                83                   4.639036             
3                    76                   1                    624                  0                    inf                  
3                    77                   1                    537                  2                    2.148000             
3                    78                   1                    579                  0                    inf                  
3                    79                   1                    552                  2                    2.208000             
3                    80                   1                    575                  0                    inf                  
3                    81                   1                    638                  2                    2.552000             
3                    87                   1                    598                  0                    inf                  
3                    88                   1                    582                  0                    inf                  
3                    89                   1                    551                  0                    inf                  
3                    90                   1                    499                  2                    1.996000             
3                    91                   1                    531                  0                    inf                  
3                    92                   1                    530                  3                    1.413333             
3                    93                   1                    638                  1                    5.104000             
3                    99                   1                    584                  1                    4.672000             
3                    100                  1                    564                  2                    2.256000             
3                    101                  1                    609                  0                    inf                  
3                    102                  1                    532                  0                    inf                  
3                    103                  1                    522                  0                    inf                  
3                    104                  1                    597                  3                    1.592000             
3                    105                  1                    606                  1                    4.848000             
3                    135                  1                    600                  1                    4.800000             
3                    136                  1                    557                  1                    4.456000             
3                    137                  1                    476                  0                    inf                  
3                    138                  1                    537                  0                    inf                  
3                    139                  1                    617                  0                    inf                  
3                    140                  1                    517                  0                    inf                  
3                    141                  1                    566                  3                    1.509333             
3                    111                  1                    541                  0                    inf                  
3                    112                  1                    548                  0                    inf                  
3                    113                  1                    551                  0                    inf                  
3                    114                  1                    602                  1                    4.816000             
3                    115                  1                    590                  0                    inf                  
3                    116                  1                    624                  3                    1.664000             
3                    117                  1                    592                  0                    inf                  
3                    123                  1                    589                  0                    inf                  
3                    124                  1                    565                  0                    inf                  
3                    125                  1                    487                  0                    inf                  
3                    126                  1                    510                  2                    2.040000             
3                    127                  1                    493                  0                    inf                  
3                    128                  1                    589                  3                    1.570667             
3                    129                  1                    664                  0                    inf                  
3                    10                   1                    495                  3                    1.320000             
3                    22                   1                    463                  0                    inf                  
3                    34                   1                    472                  0                    inf                  
3                    46                   1                    514                  0                    inf                  
3                    58                   1                    471                  3                    1.256000             
3                    70                   1                    486                  0                    inf                  
3                    82                   1                    605                  1                    4.840000             
3                    94                   1                    663                  0                    inf                  
3                    106                  1                    650                  0                    inf                  
3                    142                  1                    618                  2                    2.472000             
3                    118                  1                    667                  0                    inf                  
3                    2                    1                    465                  0                    inf                  
3                    14                   1                    466                  0                    inf                  
3                    26                   1                    451                  1                    3.608000             
3                    38                   1                    516                  0                    inf                  
3                    50                   1                    490                  0                    inf                  
3                    62                   1                    493                  0                    inf                  
3                    74                   1                    605                  0                    inf                  
3                    86                   1                    656                  2                    2.624000             
3                    98                   1                    563                  3                    1.501333             
3                    134                  1                    666                  0                    inf                  
3                    110                  1                    557                  2                    2.228000             
3                    130                  1                    598                  1                    4.784000             
3                    122                  1                    594                  0                    inf                  
4                    3                    1                    474                  0                    inf                  
4                    4                    1                    488                  2                    1.952000             
4                    5                    1                    580                  0                    inf                  
3                    29                   6                    15536                26                   4.780308             
3                    53                   6                    13664                23                   4.752696             
3                    65                   6                    13867                20                   5.546800             
4                    6                    1                    571                  0                    inf                  
4                    7                    1                    578                  3                    1.541333             
4                    8                    1                    475                  0                    inf                  
4                    9                    1                    461                  0                    inf                  
4                    15                   1                    461                  2                    1.844000             
4                    16                   1                    682                  0                    inf                  
4                    17                   1                    595                  1                    4.760000             
4                    18                   1                    637                  2                    2.548000             
3                    77                   6                    14961                25                   4.787520             
2                    5                    4                    2444                 2                    9.776000             
3                    66                   6                    11751                20                   4.700400             
2                    7                    4                    1902                 3                    5.072000             
2                    8                    4                    2122                 2                    8.488000             
