chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    17                   1                    1350                 1                    10.800000            
1                    18                   1                    1366                 1                    10.928000            
1                    19                   1                    1095                 2                    4.380000             
1                    20                   1                    1022                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    30                   1                    1060                 2                    4.240000             
1                    31                   1                    1029                 1                    8.232000             
1                    32                   1                    1035                 1                    8.280000             
1                    41                   1                    1079                 1                    8.632000             
1                    42                   1                    1069                 0                    inf                  
1                    43                   1                    1059                 0                    inf                  
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 1                    8.608000             
1                    54                   1                    1098                 0                    inf                  
1                    55                   1                    1053                 1                    8.424000             
1                    56                   1                    1040                 2                    4.160000             
1                    65                   1                    1109                 1                    8.872000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 1                    8.280000             
1                    77                   1                    1103                 0                    inf                  
1                    78                   1                    1142                 1                    9.136000             
1                    79                   1                    1122                 2                    4.488000             
1                    80                   1                    1143                 1                    9.144000             
1                    89                   1                    1116                 0                    inf                  
1                    90                   1                    1068                 1                    8.544000             
1                    91                   1                    1084                 0                    inf                  
1                    92                   1                    1103                 0                    inf                  
1                    101                  1                    1185                 3                    3.160000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 2                    4.364000             
1                    104                  1                    1160                 0                    inf                  
1                    113                  1                    1127                 1                    9.016000             
1                    114                  1                    1180                 1                    9.440000             
1                    115                  1                    1157                 1                    9.256000             
1                    116                  1                    1198                 0                    inf                  
1                    125                  1                    1055                 2                    4.220000             
1                    126                  1                    1084                 0                    inf                  
1                    127                  1                    1058                 2                    4.232000             
1                    128                  1                    1137                 0                    inf                  
1                    21                   1                    1015                 1                    8.120000             
1                    33                   1                    1017                 2                    4.068000             
1                    45                   1                    1025                 0                    inf                  
1                    57                   1                    1031                 2                    4.124000             
1                    69                   1                    1056                 1                    8.448000             
1                    81                   1                    1186                 0                    inf                  
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 1                    9.536000             
1                    117                  1                    1156                 1                    9.248000             
1                    129                  1                    1229                 0                    inf                  
1                    16                   1                    1151                 1                    9.208000             
1                    28                   1                    1182                 2                    4.728000             
1                    40                   1                    1038                 0                    inf                  
