chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    2878                 4                    5.756000             
1                    43                   1                    2641                 5                    4.225600             
1                    54                   1                    3132                 5                    5.011200             
1                    55                   1                    2588                 1                    20.704000            
1                    66                   1                    3358                 2                    13.432000            
1                    67                   1                    2752                 4                    5.504000             
1                    78                   1                    4316                 4                    8.632000             
1                    79                   1                    3854                 3                    10.277333            
1                    90                   1                    2018                 2                    8.072000             
1                    91                   1                    2392                 2                    9.568000             
1                    30                   1                    2695                 2                    10.780000            
1                    31                   1                    2719                 4                    5.438000             
1                    102                  1                    2038                 3                    5.434667             
1                    103                  1                    2450                 2                    9.800000             
1                    41                   1                    2855                 5                    4.568000             
1                    53                   1                    3797                 5                    6.075200             
1                    65                   1                    3261                 3                    8.696000             
1                    77                   1                    4712                 4                    9.424000             
1                    89                   1                    4607                 6                    6.142667             
1                    44                   1                    2741                 2                    10.964000            
1                    56                   1                    2838                 4                    5.676000             
1                    68                   1                    3537                 4                    7.074000             
1                    80                   1                    4308                 3                    11.488000            
1                    92                   1                    5656                 9                    5.027555             
1                    29                   1                    3294                 4                    6.588000             
1                    32                   1                    4698                 4                    9.396000             
1                    101                  1                    2544                 3                    6.784000             
1                    104                  1                    3456                 4                    6.912000             
1                    17                   1                    3680                 4                    7.360000             
1                    18                   1                    1917                 3                    5.112000             
1                    19                   1                    1014                 0                    inf                  
1                    20                   1                    1974                 3                    5.264000             
1                    113                  1                    1809                 2                    7.236000             
1                    114                  1                    2299                 2                    9.196000             
1                    115                  1                    2331                 2                    9.324000             
1                    116                  1                    1520                 2                    6.080000             
1                    28                   1                    3875                 4                    7.750000             
1                    40                   1                    4424                 4                    8.848000             
1                    52                   1                    5351                 6                    7.134666             
1                    64                   1                    3484                 5                    5.574400             
1                    76                   1                    4257                 5                    6.811200             
2                    42                   1                    2042                 2                    8.168000             
2                    43                   1                    2112                 4                    4.224000             
2                    54                   1                    2348                 0                    inf                  
2                    55                   1                    2001                 3                    5.336000             
2                    66                   1                    2605                 4                    5.210000             
2                    67                   1                    1990                 2                    7.960000             
2                    78                   1                    3563                 4                    7.126000             
2                    79                   1                    3618                 5                    5.788800             
2                    90                   1                    1703                 2                    6.812000             
2                    91                   1                    3281                 4                    6.562000             
2                    30                   1                    1907                 2                    7.628000             
2                    31                   1                    1994                 3                    5.317333             
2                    102                  1                    1640                 1                    13.120000            
2                    103                  1                    2178                 2                    8.712000             
2                    41                   1                    2892                 4                    5.784000             
2                    53                   1                    3655                 5                    5.848000             
2                    65                   1                    2837                 3                    7.565333             
2                    77                   1                    4106                 4                    8.212000             
2                    89                   1                    4637                 7                    5.299428             
2                    29                   1                    2961                 2                    11.844000            
2                    44                   1                    2174                 1                    17.392000            
2                    56                   1                    1943                 2                    7.772000             
2                    68                   1                    3275                 5                    5.240000             
2                    80                   1                    4125                 5                    6.600000             
2                    92                   1                    5177                 5                    8.283200             
2                    32                   1                    4204                 4                    8.408000             
2                    101                  1                    1053                 0                    inf                  
2                    104                  1                    3196                 5                    5.113600             
1                    88                   1                    5036                 6                    6.714667             
1                    100                  1                    3545                 4                    7.090000             
1                    16                   1                    4251                 5                    6.801600             
1                    112                  1                    1355                 2                    5.420000             
2                    17                   1                    3208                 4                    6.416000             
2                    18                   1                    1233                 0                    inf                  
2                    19                   1                    457                  0                    inf                  
2                    20                   1                    1286                 3                    3.429333             
2                    113                  1                    1178                 0                    inf                  
2                    114                  1                    1569                 2                    6.276000             
2                    115                  1                    1604                 3                    4.277333             
2                    116                  1                    1270                 1                    10.160000            
2                    28                   1                    2149                 2                    8.596000             
2                    40                   1                    2288                 2                    9.152000             
2                    52                   1                    4026                 3                    10.736000            
2                    64                   1                    1207                 2                    4.828000             
2                    76                   1                    3613                 4                    7.226000             
2                    88                   1                    5111                 7                    5.841143             
2                    100                  1                    2633                 2                    10.532000            
2                    16                   1                    3314                 6                    4.418667             
2                    112                  6                    23439                32                   5.859750             
2                    33                   4                    32169                39                   6.598769             
2                    45                   4                    20026                23                   6.965565             
2                    57                   4                    20469                23                   7.119652             
2                    69                   4                    29626                36                   6.583556             
2                    81                   5                    80184                96                   6.682000             
3                    30                   3                    7354                 7                    8.404572             
3                    31                   3                    20789                25                   6.652480             
3                    42                   3                    11051                13                   6.800615             
3                    43                   3                    20760                23                   7.220870             
3                    54                   3                    17980                22                   6.538182             
3                    55                   3                    21272                24                   7.090667             
3                    66                   3                    17661                21                   6.728000             
3                    67                   3                    20082                23                   6.985044             
3                    78                   3                    31231                36                   6.940222             
3                    18                   1                    1153                 0                    inf                  
3                    19                   1                    850                  2                    3.400000             
3                    79                   1                    3883                 5                    6.212800             
3                    17                   1                    4131                 5                    6.609600             
3                    29                   1                    3746                 4                    7.492000             
3                    41                   1                    3356                 5                    5.369600             
3                    53                   1                    3953                 2                    15.812000            
3                    65                   1                    3476                 5                    5.561600             
3                    77                   1                    3806                 2                    15.224000            
3                    20                   1                    1400                 2                    5.600000             
3                    32                   1                    5001                 5                    8.001600             
3                    44                   1                    2675                 2                    10.700000            
3                    56                   1                    2287                 3                    6.098667             
3                    68                   1                    3356                 4                    6.712000             
3                    80                   1                    4206                 6                    5.608000             
3                    90                   1                    1159                 0                    inf                  
3                    91                   1                    2883                 2                    11.532000            
3                    6                    1                    448                  0                    inf                  
3                    7                    1                    448                  0                    inf                  
3                    5                    1                    1176                 1                    9.408000             
3                    8                    1                    448                  2                    1.792000             
3                    89                   1                    4981                 3                    13.282666            
3                    92                   1                    3798                 2                    15.192000            
2                    5                    1                    489                  2                    1.956000             
2                    6                    1                    449                  0                    inf                  
2                    7                    1                    449                  0                    inf                  
2                    8                    1                    449                  2                    1.796000             
2                    4                    1                    449                  1                    3.592000             
2                    137                  1                    954                  2                    3.816000             
2                    138                  1                    946                  1                    7.568000             
2                    139                  1                    764                  0                    inf                  
2                    140                  1                    779                  0                    inf                  
2                    136                  1                    485                  2                    1.940000             
3                    4                    1                    646                  0                    inf                  
3                    16                   1                    3637                 5                    5.819200             
3                    28                   1                    2565                 2                    10.260000            
3                    40                   1                    2150                 3                    5.733333             
3                    52                   1                    3761                 3                    10.029333            
3                    64                   1                    770                  0                    inf                  
3                    76                   1                    4563                 5                    7.300800             
3                    137                  1                    947                  0                    inf                  
3                    138                  1                    1091                 2                    4.364000             
3                    139                  1                    850                  1                    6.800000             
3                    88                   1                    6305                 7                    7.205714             
3                    140                  1                    1059                 0                    inf                  
3                    136                  1                    530                  2                    2.120000             
3                    125                  6                    10663                12                   7.108667             
3                    126                  6                    25751                30                   6.866933             
3                    127                  6                    22207                24                   7.402333             
3                    128                  6                    12616                14                   7.209143             
3                    124                  6                    14022                16                   7.011000             
3                    113                  6                    39550                49                   6.457143             
3                    114                  6                    55400                64                   6.925000             
3                    115                  6                    67572                78                   6.930461             
3                    116                  6                    39440                46                   6.859130             
