chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 3                    2.850667             
1                    43                   1                    1059                 2                    4.236000             
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 2                    4.212000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 3                    3.045333             
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 3                    2.890667             
1                    102                  1                    1098                 4                    2.196000             
1                    103                  1                    1091                 0                    inf                  
1                    41                   1                    1079                 3                    2.877333             
1                    53                   1                    1076                 2                    4.304000             
1                    65                   1                    1109                 3                    2.957333             
1                    77                   1                    1103                 0                    inf                  
1                    89                   1                    1116                 3                    2.976000             
1                    101                  1                    1185                 3                    3.160000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    68                   1                    1035                 3                    2.760000             
1                    80                   1                    1143                 3                    3.048000             
1                    92                   1                    1103                 0                    inf                  
1                    104                  1                    1160                 3                    3.093333             
1                    114                  1                    1180                 2                    4.720000             
1                    115                  1                    1157                 2                    4.628000             
1                    113                  1                    1127                 0                    inf                  
1                    116                  1                    1198                 3                    3.194667             
1                    30                   1                    1060                 0                    inf                  
1                    31                   1                    1029                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    32                   1                    1035                 3                    2.760000             
1                    125                  1                    1055                 3                    2.813333             
1                    126                  1                    1084                 4                    2.168000             
1                    127                  1                    1058                 0                    inf                  
1                    128                  1                    1137                 3                    3.032000             
1                    40                   1                    1038                 0                    inf                  
1                    52                   1                    1056                 0                    inf                  
1                    64                   1                    1090                 3                    2.906667             
1                    76                   1                    1210                 0                    inf                  
1                    88                   1                    1132                 2                    4.528000             
1                    100                  1                    1124                 0                    inf                  
1                    112                  1                    1122                 3                    2.992000             
1                    28                   1                    1182                 0                    inf                  
1                    124                  1                    1138                 3                    3.034667             
2                    42                   5                    9000                 18                   4.000000             
2                    43                   5                    7200                 11                   5.236363             
2                    54                   5                    8559                 14                   4.890857             
2                    55                   5                    5027                 8                    5.027000             
2                    66                   5                    5475                 9                    4.866667             
2                    67                   5                    5695                 9                    5.062222             
2                    78                   5                    6953                 11                   5.056727             
2                    79                   5                    7335                 11                   5.334546             
2                    90                   5                    6584                 8                    6.584000             
2                    91                   5                    8142                 14                   4.652571             
2                    102                  5                    10595                19                   4.461052             
2                    103                  5                    9548                 14                   5.456000             
2                    41                   5                    8000                 14                   4.571429             
2                    53                   5                    6618                 11                   4.813091             
2                    65                   5                    6325                 8                    6.325000             
2                    77                   5                    7314                 15                   3.900800             
2                    89                   5                    13318                23                   4.632348             
2                    101                  5                    16115                28                   4.604286             
2                    44                   5                    7373                 14                   4.213143             
2                    56                   5                    4995                 6                    6.660000             
2                    68                   5                    4517                 5                    7.227200             
2                    80                   5                    7589                 15                   4.047467             
2                    92                   5                    9280                 14                   5.302857             
2                    104                  5                    17979                34                   4.230353             
2                    114                  5                    13041                23                   4.536000             
2                    30                   5                    9397                 16                   4.698500             
2                    31                   5                    7803                 11                   5.674909             
2                    29                   5                    8815                 17                   4.148235             
2                    32                   5                    8745                 14                   4.997143             
2                    115                  5                    14752                25                   4.720640             
2                    116                  1                    645                  1                    5.160000             
2                    113                  1                    560                  2                    2.240000             
1                    33                   1                    1017                 0                    inf                  
1                    45                   1                    1025                 2                    4.100000             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 3                    2.816000             
1                    81                   1                    1186                 3                    3.162667             
1                    93                   1                    1201                 2                    4.804000             
1                    105                  1                    1192                 0                    inf                  
1                    117                  1                    1156                 3                    3.082667             
1                    18                   1                    1366                 3                    3.642667             
1                    19                   1                    1095                 3                    2.920000             
1                    20                   1                    1022                 0                    inf                  
1                    17                   1                    1350                 3                    3.600000             
1                    21                   1                    1015                 3                    2.706667             
2                    33                   1                    451                  3                    1.202667             
2                    45                   1                    463                  0                    inf                  
2                    57                   1                    465                  0                    inf                  
2                    69                   1                    492                  1                    3.936000             
2                    81                   1                    642                  0                    inf                  
2                    93                   1                    645                  3                    1.720000             
2                    105                  1                    626                  0                    inf                  
2                    117                  1                    601                  0                    inf                  
2                    18                   1                    781                  0                    inf                  
2                    19                   1                    547                  3                    1.458667             
2                    20                   1                    458                  0                    inf                  
2                    17                   1                    756                  3                    2.016000             
2                    21                   1                    450                  0                    inf                  
2                    34                   6                    11875                22                   4.318182             
2                    46                   6                    10992                20                   4.396800             
2                    58                   6                    7120                 12                   4.746666             
2                    70                   6                    9276                 15                   4.947200             
2                    82                   6                    27347                64                   3.418375             
1                    129                  1                    1229                 0                    inf                  
