chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 6                    1.425333             
1                    43                   1                    1059                 7                    1.210286             
1                    54                   1                    1098                 5                    1.756800             
1                    55                   1                    1053                 6                    1.404000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 6                    1.522667             
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 7                    1.238857             
1                    102                  1                    1098                 5                    1.756800             
1                    103                  1                    1091                 0                    inf                  
1                    44                   1                    1051                 6                    1.401333             
1                    56                   1                    1040                 6                    1.386667             
1                    68                   1                    1035                 0                    inf                  
1                    80                   1                    1143                 0                    inf                  
1                    92                   1                    1103                 7                    1.260571             
1                    104                  1                    1160                 5                    1.856000             
1                    41                   1                    1079                 0                    inf                  
1                    53                   1                    1076                 6                    1.434667             
1                    65                   1                    1109                 6                    1.478667             
1                    77                   1                    1103                 7                    1.260571             
1                    89                   1                    1116                 0                    inf                  
1                    101                  1                    1185                 6                    1.580000             
1                    114                  1                    1180                 7                    1.348571             
1                    115                  1                    1157                 0                    inf                  
1                    116                  1                    1198                 7                    1.369143             
1                    113                  1                    1127                 5                    1.803200             
1                    30                   1                    1060                 6                    1.413333             
1                    31                   1                    1029                 0                    inf                  
1                    32                   1                    1035                 6                    1.380000             
1                    29                   1                    1040                 7                    1.188571             
1                    126                  1                    1084                 0                    inf                  
1                    127                  1                    1058                 0                    inf                  
1                    128                  1                    1137                 6                    1.516000             
1                    125                  1                    1055                 6                    1.406667             
1                    45                   1                    1025                 6                    1.366667             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 6                    1.408000             
1                    81                   1                    1186                 0                    inf                  
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 6                    1.589333             
1                    117                  1                    1156                 6                    1.541333             
1                    33                   1                    1017                 6                    1.356000             
1                    129                  1                    1229                 0                    inf                  
2                    54                   1                    532                  5                    0.851200             
2                    55                   1                    482                  0                    inf                  
2                    66                   1                    521                  6                    0.694667             
2                    67                   1                    499                  0                    inf                  
2                    78                   1                    573                  6                    0.764000             
2                    79                   1                    540                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  0                    inf                  
2                    102                  1                    528                  0                    inf                  
2                    103                  1                    530                  0                    inf                  
2                    42                   1                    517                  6                    0.689333             
2                    43                   1                    482                  0                    inf                  
2                    114                  1                    599                  5                    0.958400             
2                    115                  1                    584                  0                    inf                  
2                    56                   1                    468                  0                    inf                  
2                    68                   1                    472                  0                    inf                  
2                    80                   1                    574                  6                    0.765333             
2                    92                   1                    540                  0                    inf                  
2                    104                  1                    597                  1                    4.776000             
2                    44                   1                    477                  0                    inf                  
2                    53                   1                    510                  5                    0.816000             
2                    65                   1                    546                  0                    inf                  
2                    77                   1                    535                  0                    inf                  
2                    89                   1                    553                  0                    inf                  
2                    101                  1                    640                  6                    0.853333             
2                    116                  1                    645                  1                    5.160000             
2                    41                   1                    508                  0                    inf                  
2                    113                  1                    560                  0                    inf                  
2                    30                   1                    488                  5                    0.780800             
2                    31                   1                    461                  0                    inf                  
2                    32                   1                    472                  6                    0.629333             
2                    29                   1                    481                  0                    inf                  
2                    126                  1                    523                  6                    0.697333             
2                    127                  1                    492                  0                    inf                  
2                    128                  1                    567                  0                    inf                  
2                    125                  1                    493                  0                    inf                  
2                    45                   1                    463                  6                    0.617333             
2                    57                   1                    465                  0                    inf                  
2                    69                   1                    492                  0                    inf                  
2                    81                   5                    10989                41                   2.144195             
2                    93                   5                    14834                55                   2.157673             
2                    105                  5                    23840                97                   1.966186             
2                    117                  5                    35952                145                  1.983559             
2                    33                   5                    6087                 19                   2.562947             
2                    129                  5                    13619                56                   1.945571             
1                    138                  1                    1119                 5                    1.790400             
1                    139                  1                    1166                 5                    1.865600             
1                    140                  1                    1083                 6                    1.444000             
1                    137                  1                    1044                 0                    inf                  
1                    141                  1                    1131                 0                    inf                  
2                    138                  1                    540                  4                    1.080000             
2                    139                  1                    608                  0                    inf                  
2                    140                  1                    519                  6                    0.692000             
2                    137                  1                    479                  0                    inf                  
2                    141                  1                    558                  5                    0.892800             
3                    55                   3                    1349                 6                    1.798667             
3                    56                   3                    1053                 5                    1.684800             
3                    67                   3                    1250                 6                    1.666667             
3                    68                   3                    1049                 0                    inf                  
3                    79                   3                    1406                 6                    1.874667             
3                    80                   3                    1423                 5                    2.276800             
3                    91                   3                    1710                 6                    2.280000             
3                    92                   3                    1814                 7                    2.073143             
3                    103                  3                    1757                 4                    3.514000             
3                    104                  3                    3365                 11                   2.447273             
3                    115                  3                    2736                 5                    4.377600             
3                    116                  3                    5656                 28                   1.616000             
3                    57                   3                    939                  0                    inf                  
3                    69                   3                    1153                 5                    1.844800             
3                    81                   4                    4515                 11                   3.283636             
3                    93                   4                    5857                 22                   2.129818             
3                    105                  4                    9628                 28                   2.750857             
3                    117                  4                    11708                44                   2.128727             
3                    127                  4                    3898                 11                   2.834909             
3                    128                  4                    5851                 22                   2.127636             
3                    129                  4                    5927                 17                   2.789176             
3                    66                   4                    2515                 6                    3.353333             
3                    78                   4                    2927                 11                   2.128727             
3                    90                   4                    2731                 4                    5.462000             
3                    102                  4                    4000                 11                   2.909091             
3                    114                  4                    5363                 16                   2.681500             
3                    126                  4                    3929                 11                   2.857455             
3                    54                   4                    3973                 11                   2.889455             
3                    139                  4                    4953                 17                   2.330823             
3                    140                  5                    9109                 28                   2.602571             
3                    141                  5                    10437                33                   2.530182             
3                    138                  5                    8882                 36                   1.973778             
2                    6                    1                    519                  0                    inf                  
2                    7                    1                    463                  0                    inf                  
2                    8                    1                    464                  4                    0.928000             
2                    9                    1                    497                  0                    inf                  
2                    5                    1                    592                  6                    0.789333             
3                    65                   1                    538                  0                    inf                  
3                    77                   1                    537                  0                    inf                  
3                    89                   1                    551                  0                    inf                  
3                    101                  1                    609                  6                    0.812000             
3                    113                  1                    551                  0                    inf                  
3                    125                  1                    487                  0                    inf                  
3                    137                  1                    476                  6                    0.634667             
3                    53                   1                    507                  0                    inf                  
3                    6                    1                    581                  5                    0.929600             
3                    7                    1                    467                  0                    inf                  
3                    8                    1                    471                  0                    inf                  
3                    9                    1                    474                  6                    0.632000             
3                    5                    1                    626                  0                    inf                  
3                    70                   1                    486                  5                    0.777600             
3                    82                   1                    605                  0                    inf                  
3                    94                   1                    663                  1                    5.304000             
3                    106                  1                    650                  1                    5.200000             
3                    118                  1                    667                  4                    1.334000             
3                    130                  1                    598                  0                    inf                  
3                    142                  1                    618                  0                    inf                  
3                    58                   5                    4732                 16                   2.366000             
3                    10                   5                    4104                 12                   2.736000             
4                    67                   4                    2323                 11                   1.689455             
4                    68                   4                    1881                 11                   1.368000             
4                    79                   4                    3021                 4                    6.042000             
4                    80                   4                    2759                 5                    4.414400             
4                    91                   4                    3115                 6                    4.153333             
4                    92                   4                    3559                 11                   2.588364             
4                    103                  4                    3506                 11                   2.549818             
4                    104                  4                    7317                 27                   2.168000             
4                    115                  4                    5318                 11                   3.867636             
4                    116                  4                    12990                44                   2.361818             
4                    127                  4                    3919                 11                   2.850182             
4                    128                  4                    5950                 22                   2.163636             
4                    66                   3                    1495                 5                    2.392000             
4                    78                   3                    1586                 6                    2.114667             
4                    90                   3                    1286                 5                    2.057600             
4                    102                  3                    1995                 6                    2.660000             
4                    114                  3                    2753                 6                    3.670667             
4                    126                  3                    2145                 6                    2.860000             
4                    54                   3                    2301                 11                   1.673455             
4                    55                   3                    1489                 5                    2.382400             
4                    56                   3                    910                  0                    inf                  
4                    138                  3                    2283                 5                    3.652800             
4                    139                  3                    2636                 5                    4.217600             
4                    140                  3                    2494                 12                   1.662667             
4                    65                   1                    541                  0                    inf                  
4                    77                   1                    536                  0                    inf                  
4                    89                   1                    553                  5                    0.884800             
4                    101                  1                    622                  0                    inf                  
4                    113                  1                    542                  0                    inf                  
4                    53                   1                    515                  0                    inf                  
4                    125                  1                    484                  5                    0.774400             
4                    69                   1                    492                  1                    3.936000             
4                    81                   1                    625                  0                    inf                  
4                    93                   1                    627                  4                    1.254000             
4                    105                  1                    620                  0                    inf                  
4                    117                  1                    578                  0                    inf                  
4                    57                   1                    467                  0                    inf                  
4                    129                  1                    665                  0                    inf                  
3                    42                   1                    508                  5                    0.812800             
3                    43                   1                    483                  0                    inf                  
3                    44                   1                    481                  6                    0.641333             
3                    41                   1                    511                  0                    inf                  
3                    45                   1                    464                  5                    0.742400             
4                    42                   1                    499                  0                    inf                  
4                    43                   1                    490                  0                    inf                  
4                    44                   1                    479                  0                    inf                  
4                    41                   1                    499                  5                    0.798400             
4                    137                  1                    482                  0                    inf                  
4                    45                   1                    452                  6                    0.602667             
4                    141                  1                    578                  0                    inf                  
4                    30                   6                    19040                70                   2.176000             
4                    31                   6                    15166                50                   2.426560             
3                    64                   1                    522                  0                    inf                  
3                    76                   1                    624                  5                    0.998400             
3                    88                   1                    582                  0                    inf                  
3                    100                  1                    564                  6                    0.752000             
3                    112                  1                    548                  0                    inf                  
3                    124                  1                    565                  0                    inf                  
3                    52                   1                    489                  5                    0.782400             
3                    136                  1                    557                  1                    4.456000             
3                    40                   1                    480                  6                    0.640000             
3                    30                   1                    482                  0                    inf                  
3                    31                   1                    463                  0                    inf                  
3                    32                   1                    488                  0                    inf                  
3                    29                   1                    475                  0                    inf                  
3                    33                   1                    456                  0                    inf                  
4                    32                   1                    478                  5                    0.764800             
4                    29                   1                    501                  0                    inf                  
4                    33                   1                    452                  7                    0.516571             
4                    18                   1                    637                  0                    inf                  
4                    19                   1                    546                  4                    1.092000             
4                    20                   1                    474                  0                    inf                  
4                    17                   1                    595                  0                    inf                  
4                    21                   1                    455                  7                    0.520000             
4                    6                    6                    14509                55                   2.110400             
4                    7                    6                    9210                 27                   2.728889             
4                    8                    6                    8189                 27                   2.426370             
