chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    28                   1                    1471                 6                    1.961333             
1                    29                   1                    1074                 0                    inf                  
1                    30                   1                    1103                 2                    4.412000             
1                    31                   1                    1127                 0                    inf                  
1                    40                   1                    1618                 2                    6.472000             
1                    41                   1                    1183                 0                    inf                  
1                    42                   1                    1111                 0                    inf                  
1                    43                   1                    1634                 6                    2.178667             
1                    52                   1                    1815                 2                    7.260000             
1                    53                   1                    1065                 0                    inf                  
1                    54                   1                    1190                 2                    4.760000             
1                    55                   1                    2997                 6                    3.996000             
1                    64                   1                    2700                 4                    5.400000             
1                    65                   1                    1379                 2                    5.516000             
1                    66                   1                    1284                 0                    inf                  
1                    67                   1                    2646                 6                    3.528000             
1                    76                   1                    3398                 6                    4.530667             
1                    77                   1                    1527                 2                    6.108000             
1                    78                   1                    1270                 0                    inf                  
1                    79                   1                    1353                 3                    3.608000             
1                    88                   1                    4353                 5                    6.964800             
1                    89                   1                    1516                 2                    6.064000             
1                    90                   1                    1108                 3                    2.954667             
1                    91                   1                    1666                 3                    4.442667             
1                    100                  1                    3772                 2                    15.088000            
1                    101                  1                    2351                 2                    9.404000             
1                    102                  1                    2493                 6                    3.324000             
1                    103                  1                    1706                 3                    4.549333             
1                    112                  1                    4043                 5                    6.468800             
1                    113                  1                    3678                 5                    5.884800             
1                    114                  1                    3741                 6                    4.988000             
1                    115                  1                    2952                 7                    3.373714             
1                    32                   1                    1857                 1                    14.856000            
1                    44                   1                    3423                 5                    5.476800             
1                    56                   1                    3495                 6                    4.660000             
1                    68                   1                    3047                 2                    12.188000            
1                    80                   1                    2040                 2                    8.160000             
1                    92                   1                    2852                 6                    3.802667             
1                    104                  1                    2677                 3                    7.138667             
1                    116                  1                    4382                 8                    4.382000             
1                    27                   1                    3210                 6                    4.280000             
1                    39                   1                    3794                 4                    7.588000             
1                    51                   1                    2565                 3                    6.840000             
1                    63                   1                    5039                 10                   4.031200             
1                    75                   1                    7948                 14                   4.541714             
1                    87                   1                    7142                 11                   5.194182             
1                    99                   1                    5935                 8                    5.935000             
1                    111                  1                    3487                 6                    4.649333             
1                    124                  1                    3478                 5                    5.564800             
1                    125                  1                    4021                 5                    6.433600             
1                    126                  1                    3859                 8                    3.859000             
1                    127                  1                    3647                 5                    5.835200             
1                    128                  1                    3544                 5                    5.670400             
1                    123                  1                    2698                 3                    7.194667             
1                    16                   1                    1470                 5                    2.352000             
1                    17                   1                    1138                 0                    inf                  
1                    18                   1                    1165                 0                    inf                  
1                    19                   1                    1079                 3                    2.877333             
1                    20                   1                    1119                 3                    2.984000             
1                    15                   1                    2761                 3                    7.362667             
2                    16                   1                    1355                 2                    5.420000             
2                    17                   1                    758                  0                    inf                  
2                    18                   1                    683                  3                    1.821333             
2                    19                   1                    715                  0                    inf                  
2                    20                   1                    682                  2                    2.728000             
2                    21                   1                    1440                 2                    5.760000             
2                    28                   1                    1365                 3                    3.640000             
2                    29                   1                    694                  0                    inf                  
2                    30                   1                    692                  0                    inf                  
2                    31                   1                    672                  1                    5.376000             
2                    32                   1                    1923                 4                    3.846000             
2                    33                   1                    1530                 3                    4.080000             
2                    40                   1                    1466                 2                    5.864000             
2                    41                   1                    807                  0                    inf                  
2                    42                   1                    737                  4                    1.474000             
2                    43                   1                    1336                 0                    inf                  
2                    44                   1                    2898                 6                    3.864000             
2                    45                   1                    1477                 0                    inf                  
2                    52                   1                    1638                 3                    4.368000             
2                    53                   1                    730                  0                    inf                  
2                    54                   1                    768                  3                    2.048000             
2                    55                   1                    3229                 4                    6.458000             
2                    56                   1                    3351                 5                    5.361600             
2                    57                   1                    4050                 4                    8.100000             
2                    64                   1                    4068                 8                    4.068000             
2                    65                   1                    2571                 2                    10.284000            
2                    66                   1                    1228                 4                    2.456000             
2                    67                   1                    2481                 1                    19.848000            
2                    68                   1                    2939                 3                    7.837333             
2                    69                   1                    4420                 8                    4.420000             
2                    76                   1                    4449                 8                    4.449000             
2                    77                   1                    6390                 8                    6.390000             
2                    78                   1                    3325                 5                    5.320000             
2                    79                   1                    1075                 3                    2.866667             
2                    80                   1                    1698                 1                    13.584000            
2                    81                   1                    2448                 6                    3.264000             
2                    88                   1                    7144                 10                   5.715200             
2                    89                   1                    10304                15                   5.495467             
2                    90                   1                    2826                 5                    4.521600             
2                    91                   1                    1423                 3                    3.794667             
2                    92                   1                    2565                 2                    10.260000            
2                    93                   1                    2314                 3                    6.170667             
2                    100                  1                    5142                 10                   4.113600             
2                    101                  1                    4328                 5                    6.924800             
2                    102                  1                    2345                 3                    6.253334             
2                    103                  1                    1131                 2                    4.524000             
2                    104                  1                    2433                 6                    3.244000             
2                    105                  1                    4047                 6                    5.396000             
2                    112                  1                    3731                 5                    5.969600             
2                    113                  1                    3149                 6                    4.198667             
2                    114                  1                    3318                 5                    5.308800             
2                    115                  1                    2784                 2                    11.136000            
2                    116                  1                    4370                 7                    4.994286             
2                    117                  1                    4087                 6                    5.449333             
2                    22                   1                    1834                 4                    3.668000             
2                    34                   1                    1769                 2                    7.076000             
2                    46                   1                    1932                 3                    5.152000             
2                    58                   1                    2558                 3                    6.821333             
2                    70                   1                    2629                 3                    7.010667             
2                    82                   1                    2212                 5                    3.539200             
2                    94                   1                    2313                 3                    6.168000             
2                    106                  1                    2181                 2                    8.724000             
2                    118                  1                    2798                 4                    5.596000             
2                    124                  1                    3064                 6                    4.085333             
2                    125                  1                    3836                 4                    7.672000             
2                    126                  1                    3697                 5                    5.915200             
2                    127                  1                    3349                 9                    2.976889             
2                    128                  1                    3346                 5                    5.353600             
2                    129                  1                    3601                 5                    5.761600             
2                    4                    1                    1511                 2                    6.044000             
2                    5                    1                    1561                 2                    6.244000             
2                    6                    1                    1241                 3                    3.309333             
2                    7                    1                    1105                 0                    inf                  
2                    8                    1                    1215                 0                    inf                  
2                    9                    1                    1630                 5                    2.608000             
2                    130                  1                    3392                 5                    5.427200             
2                    15                   1                    1572                 3                    4.192000             
2                    27                   1                    2327                 3                    6.205333             
2                    39                   1                    3311                 6                    4.414667             
2                    51                   1                    2983                 5                    4.772800             
2                    63                   1                    3430                 3                    9.146667             
2                    75                   1                    4380                 4                    8.760000             
2                    87                   1                    4058                 5                    6.492800             
2                    99                   1                    5779                 11                   4.202909             
2                    111                  1                    5420                 8                    5.420000             
