chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    30                   1                    1103                 0                    inf                  
1                    31                   1                    1127                 2                    4.508000             
1                    42                   1                    1111                 2                    4.444000             
1                    43                   1                    1634                 0                    inf                  
1                    54                   1                    1190                 0                    inf                  
1                    55                   1                    2997                 5                    4.795200             
1                    66                   1                    1284                 0                    inf                  
1                    67                   1                    2646                 2                    10.584000            
1                    78                   1                    1270                 2                    5.080000             
1                    79                   1                    1353                 1                    10.824000            
1                    32                   1                    1857                 2                    7.428000             
1                    44                   1                    3423                 2                    13.692000            
1                    56                   1                    3495                 3                    9.320000             
1                    68                   1                    3047                 4                    6.094000             
1                    80                   1                    2040                 1                    16.320000            
1                    90                   1                    1108                 0                    inf                  
1                    91                   1                    1666                 2                    6.664000             
1                    18                   1                    1165                 0                    inf                  
1                    19                   1                    1079                 1                    8.632000             
1                    92                   1                    2852                 3                    7.605333             
1                    20                   1                    1119                 0                    inf                  
1                    29                   1                    1074                 2                    4.296000             
1                    41                   1                    1183                 1                    9.464000             
1                    53                   1                    1065                 0                    inf                  
1                    65                   1                    1379                 2                    5.516000             
1                    77                   1                    1527                 1                    12.216000            
1                    89                   1                    1516                 2                    6.064000             
1                    17                   1                    1138                 1                    9.104000             
1                    102                  1                    2493                 2                    9.972000             
1                    103                  1                    1706                 1                    13.648000            
1                    104                  1                    2677                 2                    10.708000            
1                    6                    1                    1439                 2                    5.756000             
1                    7                    1                    1341                 1                    10.728000            
1                    8                    1                    1445                 0                    inf                  
1                    101                  1                    2351                 1                    18.808001            
1                    5                    1                    1489                 2                    5.956000             
1                    21                   1                    1693                 2                    6.772000             
1                    33                   1                    2116                 1                    16.927999            
1                    45                   1                    1472                 1                    11.776000            
1                    57                   1                    3951                 4                    7.902000             
1                    69                   1                    4860                 4                    9.720000             
1                    81                   1                    2702                 2                    10.808000            
1                    93                   1                    3476                 5                    5.561600             
1                    105                  1                    4565                 3                    12.173333            
1                    9                    1                    1495                 3                    3.986667             
2                    30                   5                    4912                 5                    7.859200             
2                    31                   5                    4888                 5                    7.820800             
2                    42                   5                    6342                 5                    10.147200            
2                    43                   5                    15156                17                   7.132236             
2                    54                   5                    7227                 6                    9.636000             
2                    55                   5                    76707                87                   7.053517             
2                    66                   4                    5631                 4                    11.262000            
2                    67                   4                    27611                30                   7.362933             
2                    78                   4                    28361                32                   7.090250             
2                    79                   3                    4556                 3                    12.149333            
2                    90                   3                    14601                15                   7.787200             
2                    91                   3                    6725                 7                    7.685714             
2                    32                   3                    7840                 9                    6.968889             
2                    44                   3                    17905                18                   7.957778             
2                    56                   3                    22164                25                   7.092480             
2                    68                   3                    12499                11                   9.090181             
2                    80                   4                    16597                18                   7.376444             
2                    92                   4                    28486                32                   7.121500             
2                    29                   4                    2505                 2                    10.020000            
2                    41                   4                    3863                 2                    15.452000            
2                    53                   4                    4686                 5                    7.497600             
2                    65                   4                    17268                17                   8.126118             
2                    77                   4                    58969                67                   7.041075             
2                    18                   5                    4747                 5                    7.595200             
2                    19                   5                    4588                 2                    18.351999            
2                    20                   5                    4389                 5                    7.022400             
2                    89                   5                    141373               162                  6.981383             
2                    17                   3                    1503                 1                    12.024000            
2                    102                  3                    14169                15                   7.556800             
2                    103                  3                    4643                 3                    12.381333            
2                    104                  3                    12006                13                   7.388308             
2                    101                  3                    30140                32                   7.535000             
2                    6                    1                    1241                 0                    inf                  
2                    7                    1                    1105                 1                    8.840000             
2                    8                    1                    1215                 2                    4.860000             
2                    5                    1                    1561                 1                    12.488000            
2                    21                   1                    1440                 2                    5.760000             
2                    33                   1                    1530                 1                    12.240000            
2                    45                   1                    1477                 2                    5.908000             
2                    57                   1                    4050                 4                    8.100000             
2                    69                   1                    4420                 5                    7.072000             
2                    81                   1                    2448                 2                    9.792000             
2                    93                   1                    2314                 2                    9.256000             
2                    105                  1                    4047                 3                    10.792000            
2                    9                    1                    1630                 4                    3.260000             
1                    114                  1                    3741                 6                    4.988000             
1                    115                  1                    2952                 2                    11.808000            
1                    116                  1                    4382                 5                    7.011200             
1                    113                  1                    3678                 2                    14.712000            
1                    117                  1                    4492                 5                    7.187200             
2                    114                  1                    3318                 2                    13.272000            
2                    115                  1                    2784                 1                    22.271999            
2                    116                  1                    4370                 6                    5.826667             
2                    113                  1                    3149                 3                    8.397333             
2                    117                  1                    4087                 4                    8.174000             
3                    30                   4                    2495                 4                    4.990000             
3                    31                   4                    2251                 2                    9.004000             
3                    42                   4                    3587                 3                    9.565333             
3                    43                   4                    5054                 5                    8.086400             
3                    54                   4                    4064                 4                    8.128000             
3                    55                   4                    15027                19                   6.327158             
3                    66                   4                    5127                 5                    8.203200             
3                    67                   4                    15288                16                   7.644000             
3                    78                   4                    4781                 7                    5.464000             
3                    79                   4                    5132                 5                    8.211200             
3                    90                   4                    4013                 2                    16.052000            
3                    91                   4                    12615                14                   7.208571             
3                    32                   4                    7386                 9                    6.565333             
3                    44                   4                    17295                20                   6.918000             
3                    56                   4                    39112                48                   6.518667             
3                    68                   4                    12771                16                   6.385500             
3                    80                   4                    15608                19                   6.571789             
3                    92                   5                    84523                104                  6.501769             
3                    18                   6                    4160                 5                    6.656000             
3                    19                   6                    3465                 2                    13.860000            
3                    29                   6                    5277                 6                    7.036000             
3                    41                   6                    8599                 10                   6.879200             
3                    53                   6                    10821                10                   8.656800             
3                    65                   6                    16065                20                   6.426000             
3                    77                   6                    28189                33                   6.833697             
3                    20                   6                    3734                 4                    7.468000             
3                    17                   6                    4625                 3                    12.333333            
3                    89                   6                    85340                107                  6.380561             
3                    6                    6                    6017                 7                    6.876572             
3                    7                    6                    6748                 5                    10.796800            
3                    8                    6                    6281                 8                    6.281000             
3                    5                    6                    6437                 7                    7.356571             
3                    138                  1                    7558                 6                    10.077333            
3                    139                  1                    7187                 8                    7.187000             
3                    137                  1                    7377                 8                    7.377000             
3                    140                  1                    6587                 8                    6.587000             
2                    137                  1                    4336                 3                    11.562667            
2                    138                  1                    4230                 5                    6.768000             
2                    139                  1                    3614                 3                    9.637333             
2                    140                  1                    3560                 4                    7.120000             
2                    4                    1                    1511                 0                    inf                  
2                    16                   1                    1355                 1                    10.840000            
2                    28                   1                    1365                 2                    5.460000             
2                    40                   1                    1466                 2                    5.864000             
2                    52                   1                    1638                 2                    6.552000             
2                    64                   1                    4068                 3                    10.848000            
2                    76                   1                    4449                 4                    8.898000             
2                    88                   1                    7144                 7                    8.164572             
2                    136                  1                    3922                 4                    7.844000             
3                    4                    1                    878                  0                    inf                  
3                    16                   1                    747                  1                    5.976000             
3                    28                   1                    695                  0                    inf                  
3                    40                   1                    751                  2                    3.004000             
3                    52                   1                    901                  2                    3.604000             
3                    64                   1                    2351                 1                    18.808001            
3                    76                   1                    1441                 2                    5.764000             
3                    136                  1                    6149                 7                    7.027429             
3                    88                   1                    2207                 3                    5.885334             
3                    125                  1                    6061                 6                    8.081333             
3                    126                  1                    5693                 6                    7.590667             
3                    127                  1                    5746                 6                    7.661334             
3                    128                  1                    5113                 7                    5.843429             
3                    124                  1                    5193                 4                    10.386000            
3                    113                  1                    4618                 7                    5.277714             
3                    114                  1                    3788                 4                    7.576000             
3                    115                  1                    2585                 2                    10.340000            
3                    116                  1                    4474                 7                    5.113143             
3                    112                  1                    4592                 5                    7.347200             
3                    101                  1                    2373                 2                    9.492000             
3                    102                  1                    2467                 5                    3.947200             
3                    103                  1                    1254                 0                    inf                  
3                    104                  1                    2842                 4                    5.684000             
3                    100                  1                    2545                 3                    6.786667             
4                    6                    3                    1444                 3                    3.850667             
4                    7                    3                    1322                 4                    2.644000             
4                    18                   3                    1201                 0                    inf                  
4                    19                   3                    974                  0                    inf                  
4                    30                   3                    1228                 0                    inf                  
4                    31                   3                    1070                 2                    4.280000             
4                    126                  3                    47377                74                   5.121838             
4                    127                  3                    35324                53                   5.331924             
4                    42                   3                    1327                 2                    5.308000             
4                    43                   3                    1104                 0                    inf                  
4                    138                  3                    55388                84                   5.275048             
4                    139                  3                    38002                54                   5.629926             
4                    54                   3                    2212                 3                    5.898667             
4                    55                   3                    2264                 2                    9.056000             
4                    5                    3                    1570                 2                    6.280000             
4                    17                   3                    1301                 2                    5.204000             
4                    29                   3                    1283                 1                    10.264000            
4                    41                   3                    1764                 1                    14.112000            
4                    53                   3                    2342                 5                    3.747200             
4                    137                  3                    51179                77                   5.317299             
4                    8                    3                    1317                 2                    5.268000             
4                    20                   3                    1188                 0                    inf                  
4                    32                   3                    1194                 2                    4.776000             
4                    44                   3                    1331                 2                    5.324000             
4                    66                   4                    4626                 5                    7.401600             
4                    67                   4                    4895                 7                    5.594285             
4                    65                   4                    4883                 5                    7.812800             
4                    56                   4                    3843                 4                    7.686000             
4                    68                   4                    4768                 6                    6.357333             
4                    140                  4                    63613                95                   5.356884             
4                    78                   5                    7467                 9                    6.637333             
4                    79                   5                    8993                 11                   6.540364             
4                    77                   5                    10852                15                   5.787734             
4                    80                   5                    18738                26                   5.765539             
4                    4                    2                    1003                 0                    inf                  
4                    16                   2                    960                  3                    2.560000             
4                    28                   2                    1047                 1                    8.376000             
4                    40                   2                    1226                 2                    4.904000             
4                    52                   2                    1211                 0                    inf                  
4                    64                   2                    2162                 3                    5.765333             
4                    76                   2                    4691                 7                    5.361143             
4                    136                  2                    18325                27                   5.429630             
4                    89                   2                    3442                 3                    9.178667             
4                    90                   2                    1030                 0                    inf                  
4                    91                   2                    4619                 5                    7.390400             
4                    92                   2                    9786                 13                   6.022154             
4                    88                   2                    12112                17                   5.699765             
4                    125                  3                    55897                150                  2.981173             
4                    128                  4                    51430                160                  2.571500             
4                    124                  4                    77220                242                  2.552727             
5                    6                    1                    661                  1                    5.288000             
5                    7                    1                    625                  5                    1.000000             
5                    18                   1                    602                  0                    inf                  
5                    19                   1                    606                  4                    1.212000             
5                    30                   1                    581                  0                    inf                  
5                    31                   1                    560                  0                    inf                  
5                    42                   1                    543                  0                    inf                  
5                    43                   1                    564                  0                    inf                  
5                    54                   1                    537                  5                    0.859200             
5                    55                   1                    604                  0                    inf                  
5                    66                   1                    626                  4                    1.252000             
5                    67                   1                    687                  5                    1.099200             
5                    8                    1                    745                  0                    inf                  
5                    20                   1                    580                  1                    4.640000             
5                    32                   1                    556                  0                    inf                  
5                    44                   1                    553                  4                    1.106000             
5                    56                   1                    573                  0                    inf                  
5                    68                   2                    1541                 4                    3.082000             
5                    5                    2                    805                  0                    inf                  
5                    17                   2                    868                  0                    inf                  
5                    29                   2                    787                  4                    1.574000             
5                    41                   2                    691                  0                    inf                  
5                    53                   2                    628                  0                    inf                  
5                    65                   2                    1178                 4                    2.356000             
5                    78                   2                    1683                 5                    2.692800             
5                    79                   2                    1717                 4                    3.434000             
5                    80                   2                    3177                 9                    2.824000             
5                    77                   2                    2355                 4                    4.710000             
5                    138                  2                    21671                69                   2.512580             
5                    139                  2                    16084                46                   2.797217             
5                    137                  2                    24965                73                   2.735890             
5                    140                  2                    15513                46                   2.697913             
4                    9                    1                    741                  0                    inf                  
4                    21                   1                    617                  4                    1.234000             
