chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    54                   1                    1035                 1                    8.280000             
1                    55                   1                    1022                 1                    8.176000             
1                    66                   1                    1810                 0                    inf                  
1                    67                   1                    1051                 0                    inf                  
1                    78                   1                    1423                 1                    11.384000            
1                    79                   1                    1821                 1                    14.568000            
1                    90                   1                    1303                 1                    10.424000            
1                    91                   1                    1456                 0                    inf                  
1                    102                  1                    3908                 2                    15.632000            
1                    103                  1                    2037                 1                    16.296000            
1                    42                   1                    1044                 1                    8.352000             
1                    43                   1                    1029                 0                    inf                  
1                    56                   1                    1028                 0                    inf                  
1                    68                   1                    1023                 0                    inf                  
1                    80                   1                    1060                 1                    8.480000             
1                    92                   1                    3313                 2                    13.252000            
1                    104                  1                    3324                 1                    26.591999            
1                    114                  1                    5668                 2                    22.672001            
1                    115                  1                    3433                 2                    13.732000            
1                    44                   1                    1021                 0                    inf                  
1                    116                  1                    1784                 2                    7.136000             
1                    53                   1                    1517                 0                    inf                  
1                    65                   1                    1258                 0                    inf                  
1                    77                   1                    1385                 3                    3.693333             
1                    89                   1                    1694                 0                    inf                  
1                    101                  1                    3229                 1                    25.832001            
1                    41                   1                    1031                 0                    inf                  
1                    113                  1                    3113                 2                    12.452000            
1                    30                   1                    1055                 0                    inf                  
1                    31                   1                    1049                 1                    8.392000             
1                    32                   1                    1043                 1                    8.344000             
1                    29                   1                    1036                 0                    inf                  
1                    126                  1                    3660                 2                    14.640000            
1                    127                  1                    3532                 1                    28.256001            
1                    128                  1                    1623                 1                    12.984000            
1                    125                  1                    2677                 1                    21.416000            
1                    45                   1                    1028                 0                    inf                  
1                    57                   1                    1027                 0                    inf                  
1                    69                   1                    1035                 1                    8.280000             
1                    81                   1                    1070                 0                    inf                  
1                    93                   1                    2186                 2                    8.744000             
1                    105                  1                    3079                 3                    8.210667             
1                    117                  1                    1903                 1                    15.224000            
1                    33                   1                    1021                 2                    4.084000             
1                    129                  1                    1398                 1                    11.184000            
2                    54                   6                    7526                 7                    8.601143             
2                    55                   6                    6380                 2                    25.520000            
2                    66                   6                    29723                25                   9.511360             
2                    67                   6                    8002                 6                    10.669333            
2                    78                   6                    61512                53                   9.284830             
2                    79                   6                    28558                24                   9.519333             
2                    42                   4                    2165                 1                    17.320000            
2                    43                   4                    1831                 1                    14.648000            
2                    90                   4                    41977                38                   8.837263             
2                    91                   4                    13161                11                   9.571636             
2                    102                  4                    50976                44                   9.268364             
2                    103                  4                    23449                19                   9.873263             
2                    44                   4                    1489                 2                    5.956000             
2                    56                   4                    1717                 1                    13.736000            
2                    68                   4                    2227                 1                    17.816000            
2                    80                   4                    3373                 4                    6.746000             
2                    92                   4                    17713                16                   8.856500             
2                    104                  4                    23599                23                   8.208348             
2                    114                  4                    40284                40                   8.056800             
2                    115                  4                    41569                41                   8.111025             
2                    53                   4                    7084                 5                    11.334400            
2                    65                   4                    23882                28                   6.823429             
2                    41                   4                    2043                 4                    4.086000             
2                    77                   4                    72797                90                   6.470844             
2                    89                   3                    58970                74                   6.375135             
2                    101                  3                    33244                40                   6.648800             
2                    30                   1                    505                  0                    inf                  
2                    31                   1                    480                  0                    inf                  
2                    32                   1                    495                  1                    3.960000             
2                    29                   1                    477                  0                    inf                  
2                    116                  1                    1294                 2                    5.176000             
2                    113                  1                    2094                 3                    5.584000             
1                    18                   1                    1057                 0                    inf                  
1                    19                   1                    1060                 1                    8.480000             
1                    20                   1                    1059                 0                    inf                  
1                    17                   1                    1078                 0                    inf                  
1                    21                   1                    1031                 1                    8.248000             
2                    18                   1                    498                  0                    inf                  
2                    19                   1                    513                  1                    4.104000             
2                    20                   1                    493                  1                    3.944000             
2                    17                   1                    518                  0                    inf                  
2                    33                   1                    473                  0                    inf                  
2                    45                   1                    464                  0                    inf                  
2                    57                   1                    461                  2                    1.844000             
2                    69                   1                    485                  0                    inf                  
2                    81                   1                    516                  0                    inf                  
2                    93                   1                    1916                 3                    5.109334             
2                    105                  1                    2383                 2                    9.532000             
2                    117                  1                    1408                 2                    5.632000             
2                    21                   1                    483                  0                    inf                  
2                    6                    6                    6517                 8                    6.517000             
2                    7                    6                    6329                 8                    6.329000             
2                    8                    6                    6488                 7                    7.414857             
2                    5                    6                    5325                 3                    14.200000            
2                    9                    6                    6285                 8                    6.285000             
3                    30                   1                    488                  12                   0.325333             
3                    31                   1                    474                  0                    inf                  
3                    42                   1                    474                  13                   0.291692             
3                    43                   1                    461                  0                    inf                  
3                    54                   1                    506                  12                   0.337333             
3                    55                   1                    484                  0                    inf                  
3                    66                   1                    1455                 0                    inf                  
3                    67                   1                    536                  0                    inf                  
3                    78                   1                    916                  13                   0.563692             
3                    79                   1                    1465                 12                   0.976667             
3                    90                   1                    619                  0                    inf                  
3                    91                   1                    796                  0                    inf                  
3                    29                   1                    466                  0                    inf                  
3                    41                   1                    480                  0                    inf                  
3                    53                   1                    1127                 12                   0.751333             
3                    65                   1                    917                  12                   0.611333             
3                    77                   1                    806                  0                    inf                  
3                    89                   1                    1569                 2                    6.276000             
3                    32                   1                    456                  1                    3.648000             
3                    44                   1                    459                  0                    inf                  
3                    56                   1                    477                  0                    inf                  
3                    68                   1                    490                  0                    inf                  
3                    80                   1                    570                  0                    inf                  
3                    92                   1                    2763                 3                    7.368000             
3                    18                   1                    478                  1                    3.824000             
3                    19                   1                    486                  0                    inf                  
3                    17                   1                    492                  0                    inf                  
3                    20                   1                    474                  0                    inf                  
3                    102                  1                    3931                 4                    7.862000             
3                    103                  1                    1519                 2                    6.076000             
3                    101                  1                    3024                 1                    24.191999            
3                    104                  1                    2718                 1                    21.743999            
2                    28                   1                    497                  2                    1.988000             
2                    40                   1                    484                  0                    inf                  
2                    52                   1                    1798                 2                    7.192000             
2                    64                   1                    999                  3                    2.664000             
2                    76                   1                    1012                 0                    inf                  
2                    88                   1                    783                  0                    inf                  
2                    100                  1                    551                  2                    2.204000             
2                    112                  1                    758                  0                    inf                  
2                    16                   1                    548                  0                    inf                  
2                    4                    1                    540                  1                    4.320000             
3                    5                    1                    484                  1                    3.872000             
3                    6                    1                    467                  0                    inf                  
3                    7                    1                    480                  0                    inf                  
3                    8                    1                    494                  0                    inf                  
3                    16                   1                    524                  0                    inf                  
3                    28                   1                    490                  0                    inf                  
3                    40                   1                    477                  2                    1.908000             
3                    52                   1                    1700                 2                    6.800000             
3                    64                   1                    1090                 1                    8.720000             
3                    76                   1                    1242                 0                    inf                  
3                    88                   1                    856                  1                    6.848000             
3                    100                  1                    569                  2                    2.276000             
3                    4                    1                    495                  0                    inf                  
3                    113                  1                    2490                 4                    4.980000             
3                    114                  1                    5666                 6                    7.554667             
3                    115                  1                    3378                 4                    6.756000             
3                    116                  1                    828                  0                    inf                  
3                    112                  1                    703                  4                    1.406000             
4                    42                   1                    465                  2                    1.860000             
4                    43                   1                    467                  0                    inf                  
4                    54                   1                    468                  2                    1.872000             
4                    55                   1                    463                  0                    inf                  
4                    66                   1                    1133                 2                    4.532000             
4                    67                   1                    510                  0                    inf                  
4                    78                   1                    819                  0                    inf                  
4                    79                   1                    1286                 0                    inf                  
4                    90                   1                    624                  2                    2.496000             
4                    91                   1                    1008                 2                    4.032000             
4                    102                  1                    4218                 6                    5.624000             
4                    103                  1                    1669                 0                    inf                  
4                    41                   1                    483                  0                    inf                  
4                    53                   1                    871                  3                    2.322667             
4                    65                   1                    1405                 0                    inf                  
4                    77                   1                    851                  0                    inf                  
4                    89                   1                    2146                 5                    3.433600             
4                    101                  1                    3024                 3                    8.064000             
4                    30                   1                    491                  0                    inf                  
4                    31                   1                    483                  1                    3.864000             
4                    29                   1                    492                  0                    inf                  
4                    44                   1                    462                  0                    inf                  
4                    56                   1                    458                  0                    inf                  
4                    68                   1                    467                  1                    3.736000             
4                    80                   1                    634                  0                    inf                  
4                    92                   1                    2686                 3                    7.162667             
4                    104                  1                    3188                 4                    6.376000             
4                    32                   1                    483                  0                    inf                  
4                    113                  1                    2381                 3                    6.349333             
4                    114                  1                    5428                 4                    10.856000            
4                    115                  1                    3130                 3                    8.346666             
4                    116                  1                    1400                 0                    inf                  
4                    17                   1                    530                  0                    inf                  
4                    18                   1                    510                  0                    inf                  
4                    19                   1                    489                  1                    3.912000             
4                    20                   1                    472                  0                    inf                  
4                    28                   1                    486                  2                    1.944000             
4                    40                   1                    498                  0                    inf                  
4                    52                   1                    1396                 1                    11.168000            
4                    64                   1                    1514                 1                    12.112000            
4                    76                   1                    1208                 0                    inf                  
4                    88                   1                    734                  0                    inf                  
4                    100                  1                    562                  1                    4.496000             
4                    112                  1                    777                  0                    inf                  
4                    16                   1                    528                  2                    2.112000             
5                    41                   3                    1039                 2                    4.156000             
5                    42                   3                    966                  3                    2.576000             
5                    43                   3                    602                  3                    1.605333             
5                    53                   3                    3053                 2                    12.212000            
5                    54                   3                    1146                 0                    inf                  
5                    55                   3                    982                  3                    2.618667             
5                    65                   3                    17832                35                   4.075886             
5                    66                   3                    5242                 5                    8.387200             
5                    67                   3                    1699                 3                    4.530667             
5                    77                   3                    45683                43                   8.499163             
5                    78                   3                    14832                13                   9.127384             
5                    89                   3                    30925                27                   9.162963             
5                    90                   3                    37851                35                   8.651657             
5                    101                  3                    6109                 4                    12.218000            
5                    102                  3                    26240                22                   9.541819             
5                    79                   3                    3837                 2                    15.348000            
5                    91                   3                    8110                 6                    10.813334            
5                    103                  3                    22373                15                   11.932266            
5                    29                   3                    1250                 0                    inf                  
5                    30                   3                    1039                 0                    inf                  
5                    40                   3                    1395                 1                    11.160000            
5                    52                   3                    5512                 5                    8.819200             
5                    64                   3                    18152                15                   9.681067             
5                    76                   3                    8714                 6                    11.618667            
5                    88                   3                    4130                 3                    11.013333            
5                    100                  3                    7559                 6                    10.078667            
5                    31                   3                    686                  0                    inf                  
5                    28                   3                    935                  1                    7.480000             
5                    113                  3                    7617                 6                    10.156000            
5                    114                  6                    78278                64                   9.784750             
5                    115                  6                    20996                22                   7.634909             
5                    112                  6                    56451                58                   7.786345             
5                    32                   5                    3479                 3                    9.277333             
5                    44                   5                    3130                 4                    6.260000             
5                    56                   5                    3556                 2                    14.224000            
5                    68                   5                    3645                 1                    29.160000            
5                    80                   5                    7042                 6                    9.389334             
5                    92                   5                    26102                27                   7.733926             
5                    104                  5                    45905                38                   9.664210             
5                    116                  6                    10415                8                    10.415000            
5                    17                   4                    2126                 1                    17.007999            
5                    18                   4                    1864                 1                    14.912000            
5                    19                   4                    1943                 1                    15.544000            
5                    20                   4                    2110                 2                    8.440000             
5                    16                   4                    2277                 2                    9.108000             
5                    33                   6                    5330                 3                    14.213333            
5                    45                   6                    4686                 2                    18.743999            
5                    57                   6                    5058                 2                    20.232000            
5                    69                   6                    5548                 3                    14.794666            
5                    81                   6                    6520                 4                    13.040000            
5                    93                   6                    32595                25                   10.430400            
5                    105                  6                    51114                40                   10.222800            
5                    117                  6                    41894                34                   9.857411             
4                    33                   3                    566                  0                    inf                  
4                    45                   3                    637                  1                    5.096000             
4                    57                   3                    610                  0                    inf                  
4                    69                   3                    1075                 0                    inf                  
4                    81                   3                    1536                 1                    12.288000            
4                    93                   3                    6312                 5                    10.099200            
4                    105                  3                    10849                7                    12.398857            
4                    117                  3                    6389                 5                    10.222400            
4                    21                   3                    777                  0                    inf                  
5                    21                   3                    1031                 1                    8.248000             
5                    34                   3                    776                  2                    3.104000             
5                    46                   3                    660                  0                    inf                  
5                    58                   3                    794                  1                    6.352000             
5                    70                   3                    977                  0                    inf                  
5                    82                   3                    1678                 3                    4.474667             
5                    94                   3                    7866                 4                    15.732000            
5                    106                  3                    16436                13                   10.114462            
5                    118                  3                    20519                18                   9.119555             
5                    22                   3                    1275                 0                    inf                  
5                    126                  1                    3067                 5                    4.907200             
5                    127                  1                    1723                 0                    inf                  
5                    128                  1                    1186                 0                    inf                  
5                    125                  1                    1643                 2                    6.572000             
5                    129                  1                    870                  0                    inf                  
5                    130                  1                    1982                 3                    5.285333             
5                    47                   1                    469                  0                    inf                  
5                    59                   1                    484                  0                    inf                  
5                    71                   1                    492                  2                    1.968000             
5                    83                   1                    885                  1                    7.080000             
5                    95                   1                    3200                 2                    12.800000            
5                    107                  1                    3550                 4                    7.100000             
5                    119                  1                    1937                 2                    7.748000             
5                    35                   1                    484                  0                    inf                  
5                    131                  1                    2668                 3                    7.114666             
6                    45                   1                    460                  2                    1.840000             
6                    46                   1                    478                  0                    inf                  
6                    47                   1                    479                  1                    3.832000             
6                    57                   1                    468                  0                    inf                  
6                    58                   1                    467                  2                    1.868000             
6                    59                   1                    481                  0                    inf                  
6                    69                   1                    496                  0                    inf                  
6                    70                   1                    482                  2                    1.928000             
6                    71                   1                    495                  0                    inf                  
6                    81                   1                    561                  0                    inf                  
6                    82                   1                    582                  1                    4.656000             
6                    83                   1                    891                  0                    inf                  
6                    93                   1                    1826                 1                    14.608000            
6                    94                   1                    1962                 1                    15.696000            
6                    95                   1                    2993                 3                    7.981333             
6                    105                  1                    2109                 2                    8.436000             
6                    106                  1                    2731                 2                    10.924000            
6                    107                  1                    2704                 2                    10.816000            
6                    117                  1                    1206                 0                    inf                  
6                    118                  1                    1467                 2                    5.868000             
6                    119                  1                    1500                 1                    12.000000            
