chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1084                 6                    1.445333             
1                    43                   1                    1142                 6                    1.522667             
1                    54                   1                    1157                 7                    1.322286             
1                    55                   1                    1221                 0                    inf                  
1                    66                   1                    1118                 0                    inf                  
1                    67                   1                    1120                 6                    1.493333             
1                    78                   1                    1181                 6                    1.574667             
1                    79                   1                    1210                 0                    inf                  
1                    90                   1                    1165                 6                    1.553333             
1                    91                   1                    1069                 7                    1.221714             
1                    102                  1                    1266                 7                    1.446857             
1                    103                  1                    1243                 0                    inf                  
1                    41                   1                    1161                 6                    1.548000             
1                    53                   1                    1104                 6                    1.472000             
1                    65                   1                    1159                 0                    inf                  
1                    77                   1                    1188                 0                    inf                  
1                    89                   1                    1163                 6                    1.550667             
1                    101                  1                    1193                 0                    inf                  
1                    44                   1                    1206                 6                    1.608000             
1                    56                   1                    1184                 6                    1.578667             
1                    68                   1                    1192                 0                    inf                  
1                    80                   1                    1206                 6                    1.608000             
1                    92                   1                    1119                 0                    inf                  
1                    104                  1                    1114                 7                    1.273143             
1                    30                   1                    1137                 0                    inf                  
1                    31                   1                    1128                 6                    1.504000             
1                    29                   1                    1120                 0                    inf                  
1                    32                   1                    1215                 7                    1.388571             
1                    114                  1                    1298                 6                    1.730667             
1                    115                  1                    1354                 0                    inf                  
1                    113                  1                    1157                 0                    inf                  
1                    116                  1                    1263                 6                    1.684000             
1                    17                   1                    1147                 6                    1.529333             
1                    18                   1                    1262                 6                    1.682667             
1                    19                   1                    1157                 1                    9.256000             
1                    20                   1                    1134                 5                    1.814400             
1                    28                   1                    1037                 0                    inf                  
1                    40                   1                    1080                 6                    1.440000             
1                    52                   1                    1160                 1                    9.280000             
1                    64                   1                    1169                 5                    1.870400             
1                    76                   1                    1172                 0                    inf                  
1                    88                   1                    1170                 6                    1.560000             
1                    100                  1                    1110                 1                    8.880000             
1                    112                  1                    1141                 6                    1.521333             
1                    16                   1                    1209                 0                    inf                  
2                    42                   4                    2068                 12                   1.378667             
2                    43                   4                    2498                 12                   1.665333             
2                    54                   4                    2456                 6                    3.274667             
2                    55                   4                    2865                 13                   1.763077             
2                    66                   4                    2043                 0                    inf                  
2                    67                   4                    2340                 6                    3.120000             
2                    78                   4                    7273                 30                   1.939467             
2                    79                   4                    5502                 18                   2.445333             
2                    90                   4                    9291                 36                   2.064667             
2                    91                   4                    6889                 24                   2.296333             
2                    102                  4                    10700                36                   2.377778             
2                    103                  4                    10798                43                   2.008930             
2                    41                   4                    2606                 7                    2.978286             
2                    53                   4                    1799                 6                    2.398667             
2                    65                   4                    2413                 13                   1.484923             
2                    77                   4                    5458                 12                   3.638667             
2                    89                   4                    9460                 36                   2.102222             
2                    101                  4                    9086                 37                   1.964540             
2                    44                   4                    3256                 12                   2.170667             
2                    56                   4                    2638                 6                    3.517333             
2                    68                   4                    3480                 6                    4.640000             
2                    80                   4                    5007                 18                   2.225333             
2                    92                   4                    4940                 18                   2.195555             
2                    104                  4                    7711                 24                   2.570333             
2                    30                   4                    2811                 12                   1.874000             
2                    31                   4                    2674                 7                    3.056000             
2                    29                   4                    2243                 7                    2.563429             
2                    32                   4                    3277                 11                   2.383273             
2                    114                  4                    10123                38                   2.131158             
2                    115                  4                    10837                39                   2.222974             
2                    113                  4                    7748                 22                   2.817455             
2                    116                  4                    8847                 27                   2.621333             
2                    17                   1                    566                  0                    inf                  
2                    18                   1                    702                  5                    1.123200             
2                    19                   1                    596                  0                    inf                  
2                    20                   1                    592                  6                    0.789333             
2                    28                   1                    469                  0                    inf                  
2                    40                   1                    519                  0                    inf                  
2                    52                   1                    595                  0                    inf                  
2                    64                   1                    608                  6                    0.810667             
2                    76                   1                    599                  5                    0.958400             
2                    88                   1                    592                  0                    inf                  
2                    100                  1                    553                  6                    0.737333             
2                    112                  1                    569                  0                    inf                  
2                    16                   1                    624                  11                   0.453818             
3                    42                   4                    1998                 11                   1.453091             
3                    43                   4                    2586                 11                   1.880727             
3                    54                   4                    2486                 7                    2.841143             
3                    55                   4                    2837                 11                   2.063273             
3                    66                   4                    2034                 0                    inf                  
3                    67                   4                    2348                 5                    3.756800             
3                    78                   4                    7313                 28                   2.089429             
3                    79                   4                    5606                 17                   2.638118             
3                    90                   4                    9367                 33                   2.270788             
3                    91                   4                    7061                 22                   2.567636             
3                    102                  4                    10693                35                   2.444114             
3                    103                  4                    10903                40                   2.180600             
3                    41                   4                    2614                 6                    3.485333             
3                    53                   4                    1782                 5                    2.851200             
3                    65                   4                    2472                 5                    3.955200             
3                    77                   4                    5480                 22                   1.992727             
3                    89                   4                    9581                 33                   2.322667             
3                    101                  4                    9184                 28                   2.624000             
3                    44                   4                    3206                 12                   2.137333             
3                    56                   4                    2638                 10                   2.110400             
3                    68                   4                    3478                 11                   2.529454             
3                    80                   1                    642                  0                    inf                  
3                    92                   1                    551                  0                    inf                  
3                    104                  1                    568                  0                    inf                  
3                    114                  1                    752                  5                    1.203200             
3                    115                  1                    777                  0                    inf                  
3                    30                   1                    579                  5                    0.926400             
3                    31                   1                    559                  0                    inf                  
3                    113                  1                    599                  6                    0.798667             
3                    29                   1                    560                  0                    inf                  
3                    116                  1                    687                  6                    0.916000             
