chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1131                 4                    2.262000             
1                    43                   1                    1147                 5                    1.835200             
1                    54                   1                    1354                 4                    2.708000             
1                    55                   1                    1285                 0                    inf                  
1                    66                   1                    2142                 4                    4.284000             
1                    67                   1                    2583                 9                    2.296000             
1                    78                   1                    3970                 9                    3.528889             
1                    79                   1                    3352                 8                    3.352000             
1                    90                   1                    2292                 4                    4.584000             
1                    91                   1                    2573                 9                    2.287111             
1                    102                  1                    1475                 4                    2.950000             
1                    103                  1                    1510                 4                    3.020000             
1                    41                   1                    1181                 0                    inf                  
1                    53                   1                    1162                 0                    inf                  
1                    65                   1                    1150                 4                    2.300000             
1                    77                   1                    1302                 4                    2.604000             
1                    89                   1                    1155                 0                    inf                  
1                    101                  1                    1129                 4                    2.258000             
1                    44                   1                    1165                 4                    2.330000             
1                    56                   1                    1143                 0                    inf                  
1                    68                   1                    1100                 5                    1.760000             
1                    80                   1                    1297                 5                    2.075200             
1                    92                   1                    1300                 0                    inf                  
1                    104                  1                    1206                 0                    inf                  
1                    30                   1                    1147                 4                    2.294000             
1                    31                   1                    1120                 4                    2.240000             
1                    29                   1                    1198                 4                    2.396000             
1                    32                   1                    1177                 0                    inf                  
1                    114                  1                    1044                 5                    1.670400             
1                    115                  1                    1135                 3                    3.026667             
1                    113                  1                    1049                 5                    1.678400             
1                    116                  1                    1506                 4                    3.012000             
1                    17                   1                    1103                 5                    1.764800             
1                    18                   1                    1093                 0                    inf                  
1                    19                   1                    1049                 4                    2.098000             
1                    20                   1                    1024                 0                    inf                  
1                    28                   1                    1248                 4                    2.496000             
1                    40                   1                    1273                 5                    2.036800             
1                    52                   1                    1161                 0                    inf                  
1                    64                   1                    1283                 4                    2.566000             
1                    76                   1                    1420                 5                    2.272000             
1                    88                   1                    1252                 0                    inf                  
1                    100                  1                    1183                 0                    inf                  
1                    112                  1                    1063                 4                    2.126000             
1                    16                   1                    1165                 5                    1.864000             
2                    42                   4                    3654                 13                   2.248616             
2                    43                   4                    4505                 8                    4.505000             
2                    54                   4                    4594                 12                   3.062667             
2                    55                   4                    5307                 9                    4.717333             
2                    66                   4                    9947                 24                   3.315667             
2                    67                   4                    8859                 25                   2.834880             
2                    78                   4                    16781                44                   3.051091             
2                    79                   4                    13655                39                   2.801026             
2                    90                   4                    9393                 26                   2.890154             
2                    91                   4                    9201                 22                   3.345818             
2                    102                  4                    5970                 17                   2.809412             
2                    103                  4                    5848                 13                   3.598769             
2                    41                   4                    4531                 9                    4.027555             
2                    53                   4                    4300                 9                    3.822222             
2                    65                   4                    5792                 13                   3.564308             
2                    77                   4                    6080                 16                   3.040000             
2                    89                   4                    4748                 10                   3.798400             
2                    101                  4                    3505                 9                    3.115556             
2                    44                   4                    4257                 9                    3.784000             
2                    56                   4                    4101                 9                    3.645333             
2                    30                   5                    8011                 21                   3.051810             
2                    31                   5                    7517                 22                   2.733454             
2                    68                   5                    12059                30                   3.215733             
2                    80                   5                    14133                39                   2.899077             
2                    92                   5                    11721                30                   3.125600             
2                    104                  5                    12236                35                   2.796800             
2                    29                   6                    16382                50                   2.621120             
2                    32                   6                    16766                53                   2.530717             
2                    113                  2                    724                  0                    inf                  
2                    114                  2                    733                  4                    1.466000             
2                    115                  2                    894                  0                    inf                  
2                    116                  2                    2183                 5                    3.492800             
2                    17                   2                    961                  0                    inf                  
2                    18                   2                    1093                 5                    1.748800             
2                    19                   2                    640                  0                    inf                  
2                    20                   2                    551                  0                    inf                  
2                    28                   2                    1633                 5                    2.612800             
2                    40                   2                    1755                 10                   1.404000             
2                    52                   2                    1330                 5                    2.128000             
2                    64                   2                    1868                 5                    2.988800             
2                    76                   2                    2092                 5                    3.347200             
2                    88                   2                    1733                 3                    4.621333             
2                    100                  2                    1215                 5                    1.944000             
2                    112                  2                    956                  0                    inf                  
2                    16                   2                    1284                 0                    inf                  
3                    30                   4                    2989                 14                   1.708000             
3                    31                   4                    3047                 6                    4.062667             
3                    42                   4                    3752                 10                   3.001600             
3                    43                   4                    4288                 11                   3.118546             
3                    54                   4                    6689                 19                   2.816421             
3                    55                   4                    7325                 19                   3.084211             
3                    66                   4                    17222                52                   2.649539             
3                    67                   4                    16855                59                   2.285424             
3                    78                   4                    31489                96                   2.624083             
3                    79                   3                    16273                52                   2.503538             
3                    90                   3                    9258                 24                   3.086000             
3                    91                   3                    9172                 29                   2.530207             
3                    29                   4                    3745                 10                   2.996000             
3                    41                   4                    4175                 9                    3.711111             
3                    53                   4                    3884                 10                   3.107200             
3                    65                   4                    5226                 15                   2.787200             
3                    77                   4                    5164                 15                   2.754133             
3                    89                   4                    5523                 14                   3.156000             
3                    102                  4                    5906                 14                   3.374857             
3                    103                  4                    5094                 9                    4.528000             
3                    44                   4                    3991                 10                   3.192800             
3                    56                   4                    3686                 9                    3.276444             
3                    68                   4                    5191                 14                   2.966286             
3                    80                   4                    5497                 13                   3.382769             
3                    92                   4                    5385                 11                   3.916364             
3                    32                   4                    3420                 7                    3.908571             
3                    101                  4                    3981                 8                    3.981000             
3                    104                  4                    6989                 15                   3.727467             
3                    17                   3                    1802                 4                    3.604000             
3                    18                   3                    1999                 4                    3.998000             
3                    19                   3                    998                  0                    inf                  
3                    20                   3                    864                  3                    2.304000             
3                    113                  3                    1640                 4                    3.280000             
3                    114                  3                    1370                 3                    3.653333             
3                    115                  3                    2066                 3                    5.509333             
3                    116                  3                    5027                 8                    5.027000             
3                    28                   3                    2663                 5                    4.260800             
3                    40                   3                    2543                 7                    2.906286             
3                    52                   3                    2145                 4                    4.290000             
3                    64                   3                    2783                 8                    2.783000             
3                    76                   3                    3188                 8                    3.188000             
3                    88                   3                    2842                 4                    5.684000             
3                    100                  3                    1872                 3                    4.992000             
3                    16                   3                    1947                 4                    3.894000             
3                    112                  3                    1688                 7                    1.929143             
4                    30                   4                    2801                 8                    2.801000             
4                    31                   4                    2657                 8                    2.657000             
