chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 2                    4.212000             
1                    66                   1                    1096                 3                    2.922667             
1                    67                   1                    1080                 2                    4.320000             
1                    78                   1                    1142                 0                    inf                  
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 3                    2.848000             
1                    91                   1                    1084                 0                    inf                  
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 3                    2.909333             
1                    114                  1                    1180                 2                    4.720000             
1                    115                  1                    1157                 0                    inf                  
1                    42                   1                    1069                 1                    8.552000             
1                    43                   1                    1059                 3                    2.824000             
1                    56                   1                    1040                 2                    4.160000             
1                    68                   1                    1035                 0                    inf                  
1                    80                   1                    1143                 3                    3.048000             
1                    92                   1                    1103                 2                    4.412000             
1                    104                  1                    1160                 0                    inf                  
1                    116                  1                    1198                 0                    inf                  
1                    44                   1                    1051                 2                    4.204000             
1                    53                   1                    1076                 2                    4.304000             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 3                    2.941333             
1                    89                   1                    1116                 2                    4.464000             
1                    101                  1                    1185                 3                    3.160000             
1                    113                  1                    1127                 1                    9.016000             
1                    41                   1                    1079                 2                    4.316000             
1                    126                  1                    1084                 2                    4.336000             
1                    127                  1                    1058                 0                    inf                  
1                    128                  1                    1137                 2                    4.548000             
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 0                    inf                  
1                    32                   1                    1035                 0                    inf                  
1                    125                  1                    1055                 2                    4.220000             
1                    29                   1                    1040                 3                    2.773333             
1                    45                   1                    1025                 0                    inf                  
1                    57                   1                    1031                 3                    2.749333             
1                    69                   1                    1056                 3                    2.816000             
1                    81                   1                    1186                 0                    inf                  
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 2                    4.768000             
1                    117                  1                    1156                 3                    3.082667             
1                    129                  1                    1229                 0                    inf                  
1                    33                   1                    1017                 6                    1.356000             
2                    54                   6                    18218                30                   4.858133             
2                    55                   6                    9628                 15                   5.134933             
2                    66                   6                    11563                17                   5.441412             
2                    67                   6                    12000                20                   4.800000             
2                    78                   6                    14495                23                   5.041739             
2                    79                   5                    7335                 11                   5.334546             
2                    90                   5                    6584                 10                   5.267200             
2                    91                   5                    8142                 9                    7.237333             
2                    102                  5                    10595                19                   4.461052             
2                    103                  5                    9548                 11                   6.944000             
2                    114                  5                    13041                22                   4.742182             
2                    115                  5                    14752                23                   5.131130             
2                    56                   5                    4995                 8                    4.995000             
2                    68                   5                    4517                 5                    7.227200             
2                    80                   5                    7589                 10                   6.071200             
2                    92                   5                    9280                 16                   4.640000             
2                    104                  5                    17979                28                   5.136857             
2                    116                  5                    33912                57                   4.759579             
2                    53                   5                    6618                 10                   5.294400             
2                    65                   5                    6325                 8                    6.325000             
2                    42                   6                    18392                30                   4.904533             
2                    43                   6                    14157                23                   4.924174             
2                    77                   6                    15391                26                   4.735693             
2                    89                   6                    29764                47                   5.066213             
2                    101                  5                    16115                28                   4.604286             
2                    113                  5                    9743                 16                   4.871500             
2                    44                   5                    7373                 10                   5.898400             
2                    41                   5                    8000                 13                   4.923077             
2                    126                  5                    8877                 13                   5.462769             
2                    127                  5                    8868                 12                   5.912000             
2                    128                  5                    14618                23                   5.084522             
2                    125                  5                    7187                 10                   5.749600             
2                    45                   3                    985                  1                    7.880000             
2                    57                   3                    912                  3                    2.432000             
2                    69                   3                    1120                 2                    4.480000             
2                    81                   3                    2488                 2                    9.952000             
2                    93                   3                    3028                 5                    4.844800             
2                    105                  4                    11043                18                   4.908000             
2                    117                  4                    15798                25                   5.055360             
2                    129                  4                    6032                 8                    6.032000             
2                    30                   4                    4369                 7                    4.993143             
2                    31                   4                    3386                 5                    5.417600             
2                    32                   4                    3912                 5                    6.259200             
2                    29                   4                    3914                 5                    6.262400             
2                    33                   4                    2140                 2                    8.560000             
3                    55                   1                    477                  3                    1.272000             
3                    56                   1                    467                  0                    inf                  
3                    67                   1                    504                  2                    2.016000             
3                    68                   1                    472                  0                    inf                  
3                    79                   1                    552                  3                    1.472000             
3                    80                   1                    575                  0                    inf                  
3                    91                   1                    531                  0                    inf                  
3                    92                   1                    530                  0                    inf                  
3                    103                  1                    522                  0                    inf                  
3                    104                  1                    597                  0                    inf                  
3                    115                  1                    590                  2                    2.360000             
3                    116                  1                    624                  3                    1.664000             
3                    54                   1                    522                  0                    inf                  
3                    66                   1                    525                  0                    inf                  
3                    78                   1                    579                  0                    inf                  
3                    90                   1                    499                  0                    inf                  
3                    102                  1                    532                  2                    2.128000             
3                    114                  1                    602                  0                    inf                  
3                    57                   1                    473                  0                    inf                  
3                    69                   1                    496                  1                    3.968000             
3                    81                   1                    638                  1                    5.104000             
3                    93                   1                    638                  0                    inf                  
3                    105                  1                    606                  0                    inf                  
3                    117                  1                    592                  2                    2.368000             
3                    127                  1                    493                  0                    inf                  
3                    128                  1                    589                  1                    4.712000             
3                    126                  1                    510                  0                    inf                  
3                    43                   1                    483                  1                    3.864000             
3                    44                   1                    481                  0                    inf                  
3                    129                  1                    664                  0                    inf                  
3                    42                   1                    508                  0                    inf                  
3                    45                   1                    464                  0                    inf                  
2                    138                  1                    540                  2                    2.160000             
2                    139                  1                    608                  0                    inf                  
2                    140                  1                    519                  4                    1.038000             
2                    137                  1                    479                  0                    inf                  
2                    141                  1                    558                  2                    2.232000             
3                    53                   1                    507                  0                    inf                  
