chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    54                   1                    1098                 1                    8.784000             
1                    55                   1                    1053                 3                    2.808000             
1                    66                   1                    1096                 2                    4.384000             
1                    67                   1                    1080                 3                    2.880000             
1                    78                   1                    1142                 0                    inf                  
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 3                    2.848000             
1                    91                   1                    1084                 0                    inf                  
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 2                    4.364000             
1                    114                  1                    1180                 3                    3.146667             
1                    115                  1                    1157                 0                    inf                  
1                    42                   1                    1069                 4                    2.138000             
1                    43                   1                    1059                 1                    8.472000             
1                    56                   1                    1040                 3                    2.773333             
1                    68                   1                    1035                 0                    inf                  
1                    80                   1                    1143                 3                    3.048000             
1                    92                   1                    1103                 3                    2.941333             
1                    104                  1                    1160                 0                    inf                  
1                    116                  1                    1198                 0                    inf                  
1                    44                   1                    1051                 3                    2.802667             
1                    53                   1                    1076                 2                    4.304000             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 2                    4.412000             
1                    89                   1                    1116                 3                    2.976000             
1                    101                  1                    1185                 2                    4.740000             
1                    113                  1                    1127                 0                    inf                  
1                    41                   1                    1079                 2                    4.316000             
1                    126                  1                    1084                 3                    2.890667             
1                    127                  1                    1058                 0                    inf                  
1                    128                  1                    1137                 3                    3.032000             
1                    30                   1                    1060                 2                    4.240000             
1                    31                   1                    1029                 0                    inf                  
1                    32                   1                    1035                 0                    inf                  
1                    125                  1                    1055                 3                    2.813333             
1                    29                   1                    1040                 2                    4.160000             
1                    45                   1                    1025                 0                    inf                  
1                    57                   1                    1031                 2                    4.124000             
1                    69                   1                    1056                 3                    2.816000             
1                    81                   1                    1186                 0                    inf                  
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 3                    3.178667             
1                    117                  1                    1156                 2                    4.624000             
1                    129                  1                    1229                 0                    inf                  
1                    33                   1                    1017                 5                    1.627200             
2                    54                   5                    8559                 15                   4.564800             
2                    55                   5                    5027                 5                    8.043200             
2                    66                   5                    5475                 7                    6.257143             
2                    67                   5                    5695                 7                    6.508572             
2                    78                   5                    6953                 10                   5.562400             
2                    79                   5                    7335                 13                   4.513846             
2                    90                   5                    6584                 8                    6.584000             
2                    91                   5                    8142                 13                   5.010461             
2                    102                  5                    10595                16                   5.297500             
2                    103                  6                    21676                38                   4.563368             
2                    114                  6                    28758                47                   4.894979             
2                    115                  5                    14752                23                   5.131130             
2                    56                   5                    4995                 5                    7.992000             
2                    68                   5                    4517                 7                    5.162286             
2                    80                   5                    7589                 10                   6.071200             
2                    92                   5                    9280                 15                   4.949333             
2                    104                  5                    17979                28                   5.136857             
2                    116                  5                    33912                58                   4.677517             
2                    53                   5                    6618                 11                   4.813091             
2                    65                   5                    6325                 6                    8.433333             
2                    77                   5                    7314                 13                   4.500923             
2                    42                   6                    18392                32                   4.598000             
2                    43                   6                    14157                21                   5.393143             
2                    89                   6                    29764                51                   4.668863             
2                    101                  5                    16115                26                   4.958462             
2                    113                  5                    9743                 16                   4.871500             
2                    44                   5                    7373                 10                   5.898400             
2                    41                   5                    8000                 13                   4.923077             
2                    126                  5                    8877                 13                   5.462769             
2                    127                  6                    20084                33                   4.868848             
2                    128                  6                    32019                57                   4.493895             
2                    125                  6                    15960                27                   4.728889             
2                    45                   2                    582                  0                    inf                  
2                    57                   2                    578                  3                    1.541333             
2                    69                   2                    713                  0                    inf                  
2                    81                   2                    1413                 2                    5.652000             
2                    93                   2                    1667                 2                    6.668000             
2                    105                  2                    2489                 3                    6.637333             
2                    117                  2                    3096                 5                    4.953600             
2                    129                  2                    1889                 2                    7.556000             
2                    30                   2                    1402                 2                    5.608000             
2                    31                   2                    721                  0                    inf                  
2                    32                   2                    1438                 3                    3.834667             
2                    29                   2                    1290                 2                    5.160000             
2                    33                   2                    529                  0                    inf                  
3                    55                   1                    477                  3                    1.272000             
3                    56                   1                    467                  0                    inf                  
3                    67                   1                    504                  3                    1.344000             
3                    68                   1                    472                  0                    inf                  
3                    79                   1                    552                  2                    2.208000             
3                    80                   1                    575                  0                    inf                  
3                    91                   1                    531                  0                    inf                  
3                    92                   1                    530                  0                    inf                  
3                    103                  1                    522                  0                    inf                  
3                    104                  1                    597                  0                    inf                  
3                    115                  1                    590                  4                    1.180000             
3                    116                  1                    624                  1                    4.992000             
3                    54                   1                    522                  0                    inf                  
3                    66                   1                    525                  0                    inf                  
3                    78                   1                    579                  2                    2.316000             
3                    90                   1                    499                  0                    inf                  
3                    102                  1                    532                  2                    2.128000             
3                    114                  1                    602                  1                    4.816000             
3                    57                   1                    473                  0                    inf                  
3                    69                   1                    496                  0                    inf                  
3                    81                   1                    638                  0                    inf                  
3                    93                   1                    638                  2                    2.552000             
3                    105                  1                    606                  0                    inf                  
3                    117                  1                    592                  3                    1.578667             
3                    127                  1                    493                  0                    inf                  
3                    128                  1                    589                  0                    inf                  
3                    126                  1                    510                  3                    1.360000             
3                    43                   1                    483                  0                    inf                  
3                    44                   1                    481                  1                    3.848000             
3                    129                  1                    664                  0                    inf                  
3                    42                   1                    508                  0                    inf                  
3                    45                   1                    464                  0                    inf                  
2                    138                  1                    540                  0                    inf                  
2                    139                  1                    608                  2                    2.432000             
2                    140                  1                    519                  0                    inf                  
2                    137                  1                    479                  0                    inf                  
2                    141                  1                    558                  0                    inf                  
3                    53                   1                    507                  0                    inf                  
3                    65                   1                    538                  1                    4.304000             
3                    77                   1                    537                  0                    inf                  
3                    89                   1                    551                  0                    inf                  
3                    101                  1                    609                  3                    1.624000             
3                    113                  1                    551                  1                    4.408000             
3                    125                  1                    487                  0                    inf                  
3                    41                   1                    511                  1                    4.088000             
3                    138                  1                    537                  0                    inf                  
3                    139                  1                    617                  2                    2.468000             
3                    140                  1                    517                  0                    inf                  
3                    141                  1                    566                  0                    inf                  
3                    137                  1                    476                  0                    inf                  
2                    58                   5                    4090                 9                    3.635556             
2                    70                   5                    4759                 7                    5.438857             
2                    82                   5                    12451                21                   4.743238             
2                    94                   5                    25128                41                   4.903024             
2                    106                  5                    17169                27                   5.087111             
3                    58                   6                    8414                 13                   5.177846             
3                    70                   6                    10712                15                   5.713067             
3                    82                   6                    26149                46                   4.547652             
3                    94                   6                    42188                71                   4.753577             
3                    106                  6                    33412                56                   4.773143             
3                    46                   1                    514                  0                    inf                  
3                    118                  1                    667                  3                    1.778667             
3                    32                   1                    488                  0                    inf                  
3                    33                   1                    456                  0                    inf                  
3                    31                   1                    463                  3                    1.234667             
3                    34                   1                    472                  1                    3.776000             
2                    46                   1                    502                  0                    inf                  
