chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    29                   1                    1040                 3                    2.773333             
1                    30                   1                    1060                 2                    4.240000             
1                    31                   1                    1029                 3                    2.744000             
1                    32                   1                    1035                 2                    4.140000             
1                    41                   1                    1079                 0                    inf                  
1                    42                   1                    1069                 0                    inf                  
1                    43                   1                    1059                 1                    8.472000             
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 0                    inf                  
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 3                    2.808000             
1                    56                   1                    1040                 0                    inf                  
1                    65                   1                    1109                 2                    4.436000             
1                    66                   1                    1096                 3                    2.922667             
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 0                    inf                  
1                    77                   1                    1103                 4                    2.206000             
1                    78                   1                    1142                 1                    9.136000             
1                    79                   1                    1122                 0                    inf                  
1                    80                   1                    1143                 2                    4.572000             
1                    89                   1                    1116                 3                    2.976000             
1                    90                   1                    1068                 3                    2.848000             
1                    91                   1                    1084                 0                    inf                  
1                    92                   1                    1103                 3                    2.941333             
1                    101                  1                    1185                 2                    4.740000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 2                    4.364000             
1                    104                  1                    1160                 3                    3.093333             
1                    113                  1                    1127                 2                    4.508000             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 3                    3.085333             
1                    116                  1                    1198                 2                    4.792000             
1                    125                  1                    1055                 0                    inf                  
1                    126                  1                    1084                 3                    2.890667             
1                    127                  1                    1058                 3                    2.821333             
1                    128                  1                    1137                 2                    4.548000             
1                    137                  1                    1044                 0                    inf                  
1                    138                  1                    1119                 2                    4.476000             
1                    139                  1                    1166                 3                    3.109333             
1                    140                  1                    1083                 0                    inf                  
1                    33                   1                    1017                 2                    4.068000             
1                    45                   1                    1025                 2                    4.100000             
1                    57                   1                    1031                 3                    2.749333             
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 3                    3.162667             
1                    93                   1                    1201                 3                    3.202667             
1                    105                  1                    1192                 0                    inf                  
1                    117                  1                    1156                 0                    inf                  
1                    129                  1                    1229                 1                    9.832000             
1                    141                  1                    1131                 3                    3.016000             
1                    17                   1                    1350                 2                    5.400000             
1                    18                   1                    1366                 1                    10.928000            
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 3                    2.725333             
1                    21                   1                    1015                 0                    inf                  
1                    28                   1                    1182                 3                    3.152000             
1                    40                   1                    1038                 3                    2.768000             
1                    52                   1                    1056                 0                    inf                  
1                    64                   1                    1090                 3                    2.906667             
1                    76                   1                    1210                 2                    4.840000             
1                    88                   1                    1132                 0                    inf                  
1                    100                  1                    1124                 0                    inf                  
1                    112                  1                    1122                 2                    4.488000             
1                    124                  1                    1138                 3                    3.034667             
1                    136                  1                    1127                 2                    4.508000             
1                    16                   1                    1151                 0                    inf                  
1                    5                    1                    1048                 2                    4.192000             
1                    6                    1                    1053                 3                    2.808000             
1                    7                    1                    1046                 0                    inf                  
1                    8                    1                    1026                 1                    8.208000             
1                    9                    1                    1037                 1                    8.296000             
1                    4                    1                    1104                 3                    2.944000             
2                    40                   1                    483                  0                    inf                  
2                    41                   1                    508                  2                    2.032000             
2                    42                   1                    517                  1                    4.136000             
2                    43                   1                    482                  0                    inf                  
2                    44                   1                    477                  2                    1.908000             
2                    45                   1                    463                  0                    inf                  
2                    46                   1                    502                  2                    2.008000             
2                    52                   1                    489                  0                    inf                  
2                    53                   1                    510                  0                    inf                  
2                    54                   1                    532                  0                    inf                  
2                    55                   1                    482                  0                    inf                  
2                    56                   1                    468                  3                    1.248000             
2                    57                   1                    465                  0                    inf                  
2                    58                   1                    470                  2                    1.880000             
2                    64                   1                    524                  1                    4.192000             
2                    65                   1                    546                  2                    2.184000             
2                    66                   1                    521                  1                    4.168000             
2                    67                   1                    499                  0                    inf                  
2                    68                   1                    472                  0                    inf                  
2                    69                   1                    492                  3                    1.312000             
2                    70                   1                    483                  0                    inf                  
2                    76                   1                    631                  4                    1.262000             
2                    77                   1                    535                  0                    inf                  
2                    78                   1                    573                  1                    4.584000             
2                    79                   1                    540                  0                    inf                  
2                    80                   1                    574                  0                    inf                  
2                    81                   1                    642                  2                    2.568000             
2                    82                   1                    617                  3                    1.645333             
2                    88                   1                    560                  0                    inf                  
2                    89                   1                    553                  1                    4.424000             
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  0                    inf                  
2                    92                   1                    540                  0                    inf                  
2                    93                   1                    645                  3                    1.720000             
2                    94                   1                    666                  2                    2.664000             
2                    100                  1                    562                  0                    inf                  
2                    101                  1                    640                  1                    5.120000             
2                    102                  1                    528                  0                    inf                  
2                    103                  1                    530                  0                    inf                  
2                    104                  1                    597                  3                    1.592000             
2                    105                  1                    626                  0                    inf                  
2                    106                  1                    657                  0                    inf                  
2                    112                  1                    558                  0                    inf                  
2                    113                  1                    560                  0                    inf                  
2                    114                  1                    599                  2                    2.396000             
2                    115                  1                    584                  2                    2.336000             
2                    116                  1                    645                  0                    inf                  
2                    117                  1                    601                  3                    1.602667             
2                    118                  1                    682                  0                    inf                  
2                    124                  1                    572                  3                    1.525333             
2                    125                  1                    493                  0                    inf                  
2                    126                  1                    523                  0                    inf                  
2                    127                  1                    492                  2                    1.968000             
2                    128                  1                    567                  0                    inf                  
2                    129                  1                    664                  0                    inf                  
2                    130                  1                    595                  0                    inf                  
2                    136                  1                    571                  2                    2.284000             
2                    137                  1                    479                  0                    inf                  
2                    138                  1                    540                  0                    inf                  
2                    139                  1                    608                  3                    1.621333             
2                    140                  1                    519                  0                    inf                  
2                    141                  1                    558                  3                    1.488000             
2                    142                  1                    607                  0                    inf                  
2                    28                   1                    660                  2                    2.640000             
2                    29                   1                    481                  0                    inf                  
2                    30                   1                    488                  0                    inf                  
2                    31                   1                    461                  1                    3.688000             
2                    32                   1                    472                  0                    inf                  
2                    33                   1                    451                  0                    inf                  
2                    34                   1                    461                  0                    inf                  
2                    47                   1                    475                  0                    inf                  
2                    59                   1                    470                  2                    1.880000             
2                    71                   1                    503                  0                    inf                  
2                    83                   1                    599                  4                    1.198000             
2                    95                   1                    659                  0                    inf                  
2                    107                  1                    638                  1                    5.104000             
2                    119                  1                    579                  0                    inf                  
2                    131                  1                    730                  2                    2.920000             
2                    143                  1                    705                  0                    inf                  
2                    4                    1                    473                  3                    1.261333             
2                    5                    1                    592                  0                    inf                  
2                    6                    1                    519                  0                    inf                  
2                    7                    1                    463                  0                    inf                  
2                    8                    1                    464                  0                    inf                  
2                    9                    1                    497                  3                    1.325333             
2                    10                   1                    507                  0                    inf                  
2                    35                   1                    518                  3                    1.381333             
