chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 2                    4.212000             
1                    66                   1                    1096                 3                    2.922667             
1                    67                   1                    1080                 2                    4.320000             
1                    78                   1                    1142                 0                    inf                  
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 2                    4.272000             
1                    91                   1                    1084                 0                    inf                  
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 3                    2.909333             
1                    114                  1                    1180                 2                    4.720000             
1                    115                  1                    1157                 1                    9.256000             
1                    42                   1                    1069                 1                    8.552000             
1                    43                   1                    1059                 3                    2.824000             
1                    56                   1                    1040                 2                    4.160000             
1                    68                   1                    1035                 0                    inf                  
1                    80                   1                    1143                 2                    4.572000             
1                    92                   1                    1103                 4                    2.206000             
1                    104                  1                    1160                 0                    inf                  
1                    116                  1                    1198                 0                    inf                  
1                    44                   1                    1051                 2                    4.204000             
1                    53                   1                    1076                 3                    2.869333             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 3                    2.941333             
1                    89                   1                    1116                 2                    4.464000             
1                    101                  1                    1185                 3                    3.160000             
1                    113                  1                    1127                 0                    inf                  
1                    41                   1                    1079                 3                    2.877333             
1                    126                  1                    1084                 1                    8.672000             
1                    127                  1                    1058                 0                    inf                  
1                    128                  1                    1137                 2                    4.548000             
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 0                    inf                  
1                    32                   1                    1035                 0                    inf                  
1                    125                  1                    1055                 2                    4.220000             
1                    29                   1                    1040                 3                    2.773333             
1                    45                   1                    1025                 0                    inf                  
1                    57                   1                    1031                 3                    2.749333             
1                    69                   1                    1056                 2                    4.224000             
1                    81                   1                    1186                 0                    inf                  
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 2                    4.768000             
1                    117                  1                    1156                 3                    3.082667             
1                    129                  1                    1229                 0                    inf                  
1                    33                   1                    1017                 7                    1.162286             
2                    54                   6                    18218                30                   4.858133             
2                    55                   6                    9628                 16                   4.814000             
2                    66                   6                    11563                19                   4.868631             
2                    67                   6                    12000                21                   4.571429             
2                    78                   6                    14495                23                   5.041739             
2                    79                   5                    7335                 10                   5.868000             
2                    90                   5                    6584                 11                   4.788363             
2                    91                   5                    8142                 11                   5.921454             
2                    102                  5                    10595                18                   4.708889             
2                    103                  5                    9548                 13                   5.875692             
2                    114                  5                    13041                23                   4.536000             
2                    115                  5                    14752                24                   4.917333             
2                    56                   5                    4995                 7                    5.708571             
2                    68                   5                    4517                 6                    6.022666             
2                    80                   5                    7589                 10                   6.071200             
2                    92                   5                    9280                 15                   4.949333             
2                    104                  5                    17979                27                   5.327111             
2                    116                  5                    33912                60                   4.521600             
2                    53                   5                    6618                 8                    6.618000             
2                    65                   5                    6325                 11                   4.600000             
2                    42                   6                    18392                31                   4.746323             
2                    43                   6                    14157                22                   5.148000             
2                    77                   6                    15391                22                   5.596727             
2                    89                   6                    29764                51                   4.668863             
2                    101                  5                    16115                26                   4.958462             
2                    113                  5                    9743                 16                   4.871500             
2                    44                   5                    7373                 13                   4.537231             
2                    41                   5                    8000                 11                   5.818182             
2                    126                  1                    523                  0                    inf                  
2                    127                  1                    492                  0                    inf                  
2                    128                  1                    567                  3                    1.512000             
2                    125                  1                    493                  0                    inf                  
1                    138                  1                    1119                 0                    inf                  
1                    139                  1                    1166                 3                    3.109333             
1                    140                  1                    1083                 0                    inf                  
1                    137                  1                    1044                 4                    2.088000             
1                    141                  1                    1131                 0                    inf                  
2                    45                   1                    463                  3                    1.234667             
2                    57                   1                    465                  0                    inf                  
2                    69                   1                    492                  0                    inf                  
2                    81                   1                    642                  0                    inf                  
2                    93                   1                    645                  2                    2.580000             
2                    105                  1                    626                  0                    inf                  
2                    117                  1                    601                  4                    1.202000             
2                    30                   1                    488                  0                    inf                  
2                    31                   1                    461                  2                    1.844000             
2                    32                   1                    472                  0                    inf                  
2                    129                  1                    664                  0                    inf                  
2                    29                   1                    481                  5                    0.769600             
2                    33                   1                    451                  0                    inf                  
3                    55                   1                    477                  2                    1.908000             
3                    56                   1                    467                  0                    inf                  
3                    67                   1                    504                  3                    1.344000             
3                    68                   1                    472                  0                    inf                  
3                    79                   1                    552                  1                    4.416000             
3                    80                   1                    575                  0                    inf                  
3                    91                   1                    531                  0                    inf                  
3                    92                   1                    530                  0                    inf                  
3                    103                  1                    522                  0                    inf                  
3                    104                  1                    597                  0                    inf                  
3                    115                  1                    590                  2                    2.360000             
3                    116                  1                    624                  3                    1.664000             
3                    54                   1                    522                  1                    4.176000             
3                    66                   1                    525                  0                    inf                  
3                    78                   1                    579                  2                    2.316000             
3                    90                   1                    499                  0                    inf                  
3                    102                  1                    532                  3                    1.418667             
3                    114                  1                    602                  0                    inf                  
3                    57                   1                    473                  0                    inf                  
3                    69                   1                    496                  0                    inf                  
3                    81                   1                    638                  0                    inf                  
3                    93                   1                    638                  3                    1.701333             
3                    105                  1                    606                  0                    inf                  
3                    117                  1                    592                  1                    4.736000             
3                    127                  1                    493                  0                    inf                  
3                    128                  1                    589                  0                    inf                  
3                    126                  1                    510                  2                    2.040000             
3                    43                   1                    483                  0                    inf                  
3                    44                   1                    481                  3                    1.282667             
3                    129                  1                    664                  0                    inf                  
3                    42                   1                    508                  0                    inf                  
3                    45                   1                    464                  0                    inf                  
2                    138                  1                    540                  0                    inf                  
2                    139                  1                    608                  3                    1.621333             
2                    140                  1                    519                  0                    inf                  
2                    137                  1                    479                  1                    3.832000             
2                    141                  1                    558                  2                    2.232000             
3                    53                   1                    507                  0                    inf                  
3                    65                   1                    538                  0                    inf                  
3                    77                   1                    537                  0                    inf                  
3                    89                   1                    551                  0                    inf                  
