chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 2                    4.276000             
1                    43                   1                    1059                 3                    2.824000             
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 3                    2.808000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 1                    8.640000             
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 1                    8.544000             
1                    91                   1                    1084                 1                    8.672000             
1                    102                  1                    1098                 3                    2.928000             
1                    103                  1                    1091                 0                    inf                  
1                    41                   1                    1079                 3                    2.877333             
1                    53                   1                    1076                 1                    8.608000             
1                    65                   1                    1109                 0                    inf                  
1                    77                   1                    1103                 0                    inf                  
1                    89                   1                    1116                 2                    4.464000             
1                    101                  1                    1185                 0                    inf                  
1                    30                   1                    1060                 1                    8.480000             
1                    31                   1                    1029                 0                    inf                  
1                    29                   1                    1040                 3                    2.773333             
1                    44                   1                    1051                 1                    8.408000             
1                    56                   1                    1040                 0                    inf                  
1                    68                   1                    1035                 0                    inf                  
1                    80                   1                    1143                 0                    inf                  
1                    92                   1                    1103                 2                    4.412000             
1                    104                  1                    1160                 2                    4.640000             
1                    32                   1                    1035                 0                    inf                  
1                    113                  1                    1127                 1                    9.016000             
1                    114                  1                    1180                 3                    3.146667             
1                    115                  1                    1157                 2                    4.628000             
1                    116                  1                    1198                 0                    inf                  
1                    17                   1                    1350                 2                    5.400000             
1                    18                   1                    1366                 3                    3.642667             
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 0                    inf                  
1                    28                   1                    1182                 2                    4.728000             
1                    40                   1                    1038                 0                    inf                  
1                    52                   1                    1056                 3                    2.816000             
1                    64                   1                    1090                 2                    4.360000             
1                    76                   1                    1210                 0                    inf                  
1                    88                   1                    1132                 2                    4.528000             
1                    100                  1                    1124                 3                    2.997333             
1                    112                  1                    1122                 2                    4.488000             
1                    16                   1                    1151                 0                    inf                  
2                    42                   6                    18392                31                   4.746323             
2                    43                   6                    14157                23                   4.924174             
2                    54                   6                    18218                30                   4.858133             
2                    55                   6                    9628                 15                   5.134933             
2                    66                   5                    5475                 8                    5.475000             
2                    67                   5                    5695                 7                    6.508572             
2                    78                   5                    6953                 10                   5.562400             
2                    79                   5                    7335                 10                   5.868000             
2                    90                   5                    6584                 8                    6.584000             
2                    91                   5                    8142                 13                   5.010461             
2                    102                  5                    10595                17                   4.985882             
2                    103                  5                    9548                 13                   5.875692             
