chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 30                   2.216267             
1                    54                   1                    7786                 17                   3.664000             
1                    55                   1                    6802                 19                   2.864000             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 17                   3.021647             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 20                   2.808800             
1                    90                   1                    8056                 21                   3.068952             
1                    91                   1                    8824                 18                   3.921778             
1                    102                  1                    9523                 21                   3.627810             
1                    103                  1                    9260                 26                   2.849231             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 21                   3.325333             
1                    65                   1                    7901                 18                   3.511556             
1                    77                   1                    7161                 19                   3.015158             
1                    89                   1                    10031                26                   3.086462             
1                    101                  1                    11179                26                   3.439692             
1                    44                   1                    9193                 27                   2.723852             
1                    56                   1                    8446                 17                   3.974588             
1                    68                   1                    6692                 13                   4.118154             
1                    80                   1                    7734                 22                   2.812364             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                30                   3.113600             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                25                   3.319360             
1                    31                   1                    10459                27                   3.098963             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 23                   3.410783             
1                    32                   1                    9779                 25                   3.129280             
1                    40                   1                    8078                 20                   3.231200             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 18                   3.708889             
1                    76                   1                    10159                31                   2.621677             
1                    88                   1                    10293                25                   3.293760             
1                    100                  1                    10778                26                   3.316308             
1                    112                  1                    10192                25                   3.261440             
1                    126                  1                    8487                 19                   3.573474             
1                    127                  1                    8599                 23                   2.990957             
1                    128                  1                    11287                25                   3.611840             
1                    125                  1                    7621                 22                   2.771273             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 19                   3.042947             
1                    69                   1                    7469                 18                   3.319556             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                27                   3.252741             
1                    105                  1                    14274                36                   3.172000             
1                    117                  1                    16627                40                   3.325400             
1                    33                   1                    9877                 22                   3.591636             
1                    129                  1                    10865                31                   2.803871             
2                    42                   1                    8862                 23                   3.082435             
2                    43                   1                    7918                 18                   3.519111             
2                    54                   1                    7607                 19                   3.202947             
1                    18                   1                    9508                 25                   3.042560             
1                    19                   1                    10043                22                   3.652000             
1                    20                   1                    9541                 22                   3.469455             
1                    17                   1                    9794                 26                   3.013538             
1                    21                   1                    8659                 22                   3.148727             
2                    44                   1                    9069                 22                   3.297818             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 23                   2.850783             
2                    67                   1                    5940                 14                   3.394286             
2                    68                   1                    6444                 16                   3.222000             
2                    79                   1                    6744                 19                   2.839579             
2                    80                   1                    7856                 17                   3.696941             
2                    91                   1                    8596                 22                   3.125818             
2                    92                   1                    9504                 22                   3.456000             
2                    66                   1                    6358                 20                   2.543200             
2                    78                   1                    6307                 13                   3.881231             
2                    90                   1                    7843                 19                   3.302316             
2                    102                  1                    9522                 23                   3.312000             
2                    103                  1                    9236                 27                   2.736593             
2                    104                  1                    11780                25                   3.769600             
2                    30                   1                    10147                24                   3.382333             
2                    31                   1                    9999                 26                   3.076615             
2                    32                   1                    9461                 22                   3.440364             
2                    41                   1                    9350                 23                   3.252174             
2                    53                   1                    8484                 21                   3.232000             
2                    65                   1                    7543                 19                   3.176000             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                29                   3.199724             
2                    114                  1                    11027                25                   3.528640             
2                    115                  1                    10923                27                   3.236444             
2                    116                  1                    17572                43                   3.269209             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 26                   2.794769             
2                    33                   1                    9501                 22                   3.454909             
2                    45                   1                    8640                 23                   3.005217             
2                    57                   1                    7141                 17                   3.360471             
2                    69                   1                    7452                 19                   3.137684             
2                    81                   1                    9611                 22                   3.494909             
2                    93                   1                    11795                30                   3.145333             
2                    105                  1                    14908                37                   3.223351             
2                    117                  1                    18144                48                   3.024000             
2                    18                   1                    9079                 22                   3.301455             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 22                   3.535636             
2                    21                   1                    7679                 17                   3.613647             
3                    42                   1                    8771                 22                   3.189455             
3                    43                   1                    7925                 22                   2.881818             
3                    54                   1                    7812                 19                   3.289263             
3                    55                   1                    6525                 14                   3.728571             
3                    66                   1                    6763                 19                   2.847579             
3                    67                   1                    6128                 14                   3.501714             
3                    78                   1                    6077                 19                   2.558737             
3                    79                   1                    6585                 11                   4.789091             
3                    90                   1                    8194                 17                   3.856000             
3                    91                   1                    8808                 23                   3.063652             
3                    102                  1                    9450                 25                   3.024000             
3                    103                  1                    9218                 27                   2.731259             
3                    44                   1                    9295                 22                   3.380000             
3                    56                   1                    8308                 23                   2.889739             
3                    68                   1                    6727                 18                   2.989778             
3                    80                   1                    7890                 15                   4.208000             
3                    92                   1                    9459                 24                   3.153000             
3                    104                  1                    11117                28                   3.176286             
3                    41                   1                    9365                 22                   3.405455             
3                    53                   1                    8757                 22                   3.184364             
3                    65                   1                    7769                 20                   3.107600             
3                    77                   1                    7320                 17                   3.444706             
3                    89                   1                    10639                31                   2.745548             
3                    101                  1                    11311                26                   3.480308             
3                    30                   1                    9973                 26                   3.068615             
3                    31                   1                    9806                 22                   3.565818             
3                    114                  1                    10810                27                   3.202963             
3                    115                  1                    10291                25                   3.293120             
3                    32                   1                    10252                24                   3.417333             
3                    29                   1                    9510                 23                   3.307826             
3                    116                  1                    14884                42                   2.835048             
3                    113                  1                    9056                 20                   3.622400             
3                    18                   1                    9023                 21                   3.437333             
3                    40                   1                    7771                 18                   3.453778             
3                    52                   1                    8007                 22                   2.911636             
3                    64                   1                    8720                 19                   3.671579             
3                    76                   1                    10998                25                   3.519360             
3                    88                   1                    11465                30                   3.057333             
3                    100                  1                    11409                29                   3.147310             
3                    112                  1                    10561                26                   3.249538             
3                    28                   1                    8315                 22                   3.023636             
3                    17                   1                    9542                 23                   3.318957             
3                    19                   1                    10330                25                   3.305600             
3                    20                   1                    9210                 22                   3.349091             
3                    16                   1                    9390                 26                   2.889231             
4                    42                   1                    8797                 22                   3.198909             
4                    43                   1                    7845                 18                   3.486667             
4                    54                   1                    7762                 19                   3.268210             
4                    55                   1                    6580                 20                   2.632000             
4                    41                   1                    9468                 20                   3.787200             
4                    53                   1                    8644                 22                   3.143273             
4                    65                   1                    7721                 17                   3.633412             
4                    66                   1                    6356                 19                   2.676211             
4                    67                   1                    5901                 15                   3.147200             
4                    77                   1                    7365                 15                   3.928000             
4                    78                   1                    6125                 14                   3.500000             
4                    79                   1                    6756                 19                   2.844632             
4                    89                   1                    10953                26                   3.370154             
4                    90                   1                    8044                 22                   2.925091             
4                    91                   1                    8661                 23                   3.012522             
