chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    5                    1                    1048                 4                    2.096000             
1                    6                    1                    1053                 4                    2.106000             
1                    7                    1                    1046                 3                    2.789333             
1                    8                    1                    1026                 4                    2.052000             
1                    17                   1                    1350                 0                    inf                  
1                    18                   1                    1366                 3                    3.642667             
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 4                    2.044000             
1                    29                   1                    1040                 0                    inf                  
1                    30                   1                    1060                 4                    2.120000             
1                    31                   1                    1029                 3                    2.744000             
1                    32                   1                    1035                 0                    inf                  
1                    41                   1                    1079                 0                    inf                  
1                    42                   1                    1069                 3                    2.850667             
1                    43                   1                    1059                 4                    2.118000             
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 4                    2.152000             
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    65                   1                    1109                 4                    2.218000             
1                    66                   1                    1096                 3                    2.922667             
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 5                    1.656000             
1                    77                   1                    1103                 2                    4.412000             
1                    78                   1                    1142                 4                    2.284000             
1                    79                   1                    1122                 0                    inf                  
1                    80                   1                    1143                 3                    3.048000             
1                    89                   1                    1116                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 4                    2.168000             
1                    92                   1                    1103                 4                    2.206000             
1                    101                  1                    1185                 0                    inf                  
1                    102                  1                    1098                 4                    2.196000             
1                    103                  1                    1091                 3                    2.909333             
1                    104                  1                    1160                 3                    3.093333             
1                    113                  1                    1127                 0                    inf                  
1                    114                  1                    1180                 4                    2.360000             
1                    115                  1                    1157                 4                    2.314000             
1                    116                  1                    1198                 4                    2.396000             
1                    9                    1                    1037                 0                    inf                  
1                    21                   1                    1015                 3                    2.706667             
1                    33                   1                    1017                 5                    1.627200             
1                    45                   1                    1025                 3                    2.733333             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 3                    2.816000             
1                    81                   1                    1186                 4                    2.372000             
1                    93                   1                    1201                 1                    9.608000             
1                    105                  1                    1192                 1                    9.536000             
1                    117                  1                    1156                 2                    4.624000             
1                    137                  1                    1044                 4                    2.088000             
1                    138                  1                    1119                 4                    2.238000             
1                    139                  1                    1166                 0                    inf                  
1                    140                  1                    1083                 5                    1.732800             
1                    4                    1                    1104                 3                    2.944000             
1                    16                   1                    1151                 3                    3.069333             
1                    28                   1                    1182                 0                    inf                  
1                    40                   1                    1038                 4                    2.076000             
1                    52                   1                    1056                 4                    2.112000             
1                    64                   1                    1090                 3                    2.906667             
1                    76                   1                    1210                 1                    9.680000             
1                    88                   1                    1132                 3                    3.018667             
1                    100                  1                    1124                 3                    2.997333             
1                    112                  1                    1122                 0                    inf                  
1                    141                  1                    1131                 4                    2.262000             
1                    136                  1                    1127                 3                    3.005333             
1                    125                  1                    1055                 4                    2.110000             
1                    126                  1                    1084                 0                    inf                  
1                    127                  1                    1058                 3                    2.821333             
1                    128                  1                    1137                 4                    2.274000             
1                    129                  1                    1229                 4                    2.458000             
1                    124                  1                    1138                 0                    inf                  
2                    16                   1                    580                  3                    1.546667             
2                    17                   1                    756                  4                    1.512000             
2                    18                   1                    781                  0                    inf                  
2                    19                   1                    547                  0                    inf                  
2                    20                   1                    458                  0                    inf                  
2                    21                   1                    450                  0                    inf                  
2                    22                   1                    452                  3                    1.205333             
2                    28                   1                    660                  0                    inf                  
2                    29                   1                    481                  4                    0.962000             
2                    30                   1                    488                  0                    inf                  
2                    31                   1                    461                  4                    0.922000             
2                    32                   1                    472                  0                    inf                  
2                    33                   1                    451                  0                    inf                  
2                    34                   1                    461                  0                    inf                  
2                    40                   1                    483                  4                    0.966000             
2                    41                   1                    508                  0                    inf                  
2                    42                   1                    517                  3                    1.378667             
2                    43                   1                    482                  0                    inf                  
2                    44                   1                    477                  0                    inf                  
2                    45                   1                    463                  0                    inf                  
2                    46                   1                    502                  0                    inf                  
2                    52                   1                    489                  4                    0.978000             
2                    53                   1                    510                  0                    inf                  
2                    54                   1                    532                  4                    1.064000             
2                    55                   1                    482                  0                    inf                  
2                    56                   1                    468                  4                    0.936000             
2                    57                   1                    465                  0                    inf                  
2                    58                   1                    470                  0                    inf                  
2                    64                   1                    524                  0                    inf                  
2                    65                   1                    546                  4                    1.092000             
2                    66                   1                    521                  0                    inf                  
2                    67                   1                    499                  0                    inf                  
2                    68                   1                    472                  0                    inf                  
2                    69                   1                    492                  0                    inf                  
2                    70                   1                    483                  3                    1.288000             
2                    76                   1                    631                  0                    inf                  
2                    77                   1                    535                  4                    1.070000             
2                    78                   1                    573                  0                    inf                  
2                    79                   1                    540                  4                    1.080000             
2                    80                   1                    574                  0                    inf                  
2                    81                   1                    642                  4                    1.284000             
2                    82                   1                    617                  0                    inf                  
2                    88                   1                    560                  5                    0.896000             
2                    89                   1                    553                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  0                    inf                  
