chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 13                   5.668308             
1                    43                   1                    8311                 11                   6.044363             
1                    54                   1                    7786                 10                   6.228800             
1                    55                   1                    6802                 10                   5.441600             
1                    66                   1                    7065                 8                    7.065000             
1                    67                   1                    6421                 9                    5.707556             
1                    78                   1                    6685                 8                    6.685000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 10                   7.059200             
1                    102                  1                    9523                 14                   5.441714             
1                    103                  1                    9260                 11                   6.734545             
1                    41                   1                    9589                 12                   6.392667             
1                    53                   1                    8729                 11                   6.348363             
1                    65                   1                    7901                 11                   5.746182             
1                    77                   1                    7161                 10                   5.728800             
1                    89                   1                    10031                12                   6.687333             
1                    101                  1                    11179                15                   5.962133             
1                    44                   1                    9193                 11                   6.685818             
1                    56                   1                    8446                 11                   6.142545             
1                    68                   1                    6692                 10                   5.353600             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 13                   5.640615             
1                    104                  1                    11676                14                   6.672000             
1                    30                   1                    10373                12                   6.915333             
1                    31                   1                    10459                13                   6.436308             
1                    29                   1                    9806                 13                   6.034461             
1                    32                   1                    9779                 13                   6.017846             
1                    114                  1                    10575                15                   5.640000             
1                    115                  1                    10595                13                   6.520000             
1                    113                  1                    8527                 11                   6.201455             
1                    116                  1                    16716                22                   6.078546             
1                    17                   1                    9794                 11                   7.122909             
1                    18                   1                    9508                 13                   5.851077             
1                    19                   1                    10043                13                   6.180308             
1                    20                   1                    9541                 13                   5.871385             
1                    28                   1                    9247                 11                   6.725091             
1                    40                   1                    8078                 11                   5.874909             
1                    52                   1                    8579                 11                   6.239273             
1                    64                   1                    8345                 12                   5.563334             
1                    76                   1                    10159                12                   6.772666             
1                    88                   1                    10293                13                   6.334154             
1                    100                  1                    10778                15                   5.748267             
1                    112                  1                    10192                14                   5.824000             
1                    16                   1                    8787                 8                    8.787000             
2                    42                   1                    8862                 11                   6.445091             
2                    43                   1                    7918                 9                    7.038222             
2                    54                   1                    7607                 11                   5.532363             
2                    55                   1                    6282                 7                    7.179429             
2                    66                   1                    6358                 10                   5.086400             
2                    67                   1                    5940                 7                    6.788571             
2                    78                   1                    6307                 8                    6.307000             
2                    79                   1                    6744                 9                    5.994667             
2                    90                   1                    7843                 11                   5.704000             
2                    91                   1                    8596                 11                   6.251637             
2                    102                  1                    9522                 11                   6.925091             
2                    103                  1                    9236                 13                   5.683692             
2                    41                   1                    9350                 11                   6.800000             
2                    53                   1                    8484                 11                   6.170182             
2                    65                   1                    7543                 11                   5.485818             
2                    77                   1                    7220                 9                    6.417778             
2                    89                   1                    10619                13                   6.534769             
2                    101                  1                    11599                15                   6.186133             
2                    44                   1                    9069                 13                   5.580923             
2                    56                   1                    8196                 9                    7.285333             
2                    68                   1                    6444                 9                    5.728000             
2                    80                   1                    7856                 9                    6.983111             
2                    92                   1                    9504                 12                   6.336000             
2                    104                  1                    11780                15                   6.282667             
2                    30                   1                    10147                16                   5.073500             
2                    31                   1                    9999                 12                   6.666000             
2                    29                   1                    9803                 11                   7.129455             
2                    32                   1                    9461                 13                   5.822154             
2                    114                  1                    11027                15                   5.881067             
2                    115                  1                    10923                13                   6.721846             
2                    113                  1                    9083                 13                   5.589539             
2                    116                  1                    17572                22                   6.389818             
2                    17                   1                    9723                 13                   5.983385             
2                    18                   1                    9079                 11                   6.602909             
2                    19                   1                    10070                13                   6.196923             
2                    20                   1                    8660                 11                   6.298182             
2                    28                   1                    8787                 13                   5.407384             
2                    40                   1                    8164                 8                    8.164000             
2                    52                   1                    8119                 10                   6.495200             
2                    64                   1                    8303                 11                   6.038546             
2                    76                   1                    10965                15                   5.848000             
2                    88                   1                    12072                14                   6.898286             
2                    100                  1                    11317                15                   6.035733             
2                    112                  1                    10677                13                   6.570462             
2                    16                   1                    9250                 14                   5.285714             
