chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 3                    22.162666            
1                    54                   1                    7786                 3                    20.762667            
1                    55                   1                    6802                 3                    18.138666            
1                    66                   1                    7065                 3                    18.840000            
1                    67                   1                    6421                 2                    25.684000            
1                    78                   1                    6685                 3                    17.826666            
1                    79                   1                    7022                 2                    28.087999            
1                    90                   1                    8056                 4                    16.112000            
1                    91                   1                    8824                 4                    17.648001            
1                    102                  1                    9523                 3                    25.394667            
1                    103                  1                    9260                 4                    18.520000            
1                    41                   1                    9589                 3                    25.570667            
1                    53                   1                    8729                 4                    17.458000            
1                    65                   1                    7901                 3                    21.069334            
1                    77                   1                    7161                 3                    19.096001            
1                    89                   1                    10031                5                    16.049601            
1                    101                  1                    11179                3                    29.810667            
1                    44                   1                    9193                 4                    18.386000            
1                    56                   1                    8446                 3                    22.522667            
1                    68                   1                    6692                 3                    17.845333            
1                    80                   1                    7734                 3                    20.624001            
1                    92                   1                    9166                 4                    18.332001            
1                    104                  1                    11676                5                    18.681601            
1                    30                   1                    10373                3                    27.661333            
1                    31                   1                    10459                4                    20.917999            
1                    29                   1                    9806                 4                    19.612000            
1                    32                   1                    9779                 4                    19.558001            
1                    114                  1                    10575                5                    16.920000            
1                    115                  1                    10595                3                    28.253334            
1                    113                  1                    8527                 4                    17.054001            
1                    116                  1                    16716                7                    19.104000            
1                    17                   1                    9794                 3                    26.117332            
1                    18                   1                    9508                 4                    19.016001            
1                    19                   1                    10043                4                    20.086000            
1                    20                   1                    9541                 4                    19.082001            
1                    28                   1                    9247                 3                    24.658667            
1                    40                   1                    8078                 4                    16.156000            
1                    52                   1                    8579                 3                    22.877333            
1                    64                   1                    8345                 3                    22.253334            
1                    76                   1                    10159                4                    20.318001            
1                    88                   1                    10293                4                    20.586000            
1                    100                  1                    10778                5                    17.244801            
1                    112                  1                    10192                4                    20.384001            
1                    16                   1                    8787                 2                    35.147999            
2                    41                   2                    18985                7                    21.697144            
2                    42                   2                    18388                7                    21.014856            
2                    43                   2                    16142                6                    21.522667            
2                    53                   2                    16749                7                    19.141714            
2                    54                   2                    16348                6                    21.797333            
2                    55                   2                    12252                5                    19.603201            
2                    65                   2                    16432                7                    18.779428            
2                    66                   2                    13136                5                    21.017599            
2                    67                   2                    12282                5                    19.651199            
2                    77                   2                    14863                5                    23.780800            
2                    78                   2                    13066                6                    17.421333            
2                    79                   2                    13819                6                    18.425333            
