chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 22                   3.208727             
1                    90                   1                    8056                 15                   4.296533             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 13                   4.113846             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 14                   4.037143             
1                    55                   1                    6802                 12                   4.534667             
1                    54                   1                    7786                 18                   3.460444             
1                    43                   1                    8311                 17                   3.911059             
1                    42                   1                    9211                 18                   4.093778             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 22                   3.486909             
1                    102                  1                    9523                 21                   3.627810             
1                    89                   1                    10031                25                   3.209920             
1                    77                   1                    7161                 14                   4.092000             
1                    65                   1                    7901                 15                   4.213867             
1                    53                   1                    8729                 18                   3.879555             
1                    104                  1                    11676                29                   3.220966             
1                    68                   1                    6692                 11                   4.866909             
1                    101                  1                    11179                25                   3.577280             
1                    92                   1                    9166                 22                   3.333091             
1                    80                   1                    7734                 15                   4.124800             
1                    56                   1                    8446                 18                   3.753778             
1                    114                  1                    10575                22                   3.845454             
1                    44                   1                    9193                 22                   3.342909             
1                    113                  1                    8527                 18                   3.789778             
1                    115                  1                    10595                22                   3.852727             
1                    30                   1                    10373                26                   3.191692             
1                    29                   1                    9806                 22                   3.565818             
1                    31                   1                    10459                22                   3.803273             
1                    125                  1                    7621                 14                   4.354857             
1                    32                   1                    9779                 22                   3.556000             
1                    116                  1                    16716                40                   3.343200             
1                    76                   1                    10159                30                   2.709067             
1                    64                   1                    8345                 14                   4.768571             
1                    88                   1                    10293                21                   3.921143             
1                    52                   1                    8579                 18                   3.812889             
1                    40                   1                    8078                 19                   3.401263             
1                    127                  1                    8599                 17                   4.046588             
1                    128                  1                    11287                26                   3.472923             
1                    126                  1                    8487                 18                   3.772000             
1                    81                   1                    9442                 18                   4.196445             
1                    69                   1                    7469                 18                   3.319556             
1                    57                   1                    7227                 16                   3.613500             
1                    45                   1                    8606                 19                   3.623579             
2                    57                   1                    7141                 19                   3.006737             
1                    117                  1                    16627                37                   3.595027             
1                    93                   1                    10978                30                   2.927467             
1                    105                  1                    14274                30                   3.806400             
2                    77                   1                    7220                 18                   3.208889             
2                    65                   1                    7543                 7                    8.620571             
2                    53                   1                    8484                 18                   3.770667             
2                    41                   1                    9350                 18                   4.155556             
2                    101                  1                    11599                29                   3.199724             
1                    33                   1                    9877                 22                   3.591636             
2                    102                  1                    9522                 18                   4.232000             
2                    90                   1                    7843                 19                   3.302316             
2                    78                   1                    6307                 11                   4.586909             
2                    32                   1                    9461                 22                   3.440364             
2                    31                   1                    9999                 22                   3.636000             
2                    105                  1                    14908                33                   3.614061             
2                    93                   1                    11795                29                   3.253793             
2                    66                   1                    6358                 11                   4.624000             
2                    69                   1                    7452                 14                   4.258286             
2                    45                   1                    8640                 22                   3.141818             
2                    104                  1                    11780                25                   3.769600             
2                    103                  1                    9236                 19                   3.888842             
2                    92                   1                    9504                 22                   3.456000             
2                    91                   1                    8596                 19                   3.619368             
2                    80                   1                    7856                 18                   3.491555             
2                    79                   1                    6744                 11                   4.904727             
2                    68                   1                    6444                 15                   3.436800             
2                    67                   1                    5940                 11                   4.320000             
2                    54                   1                    7607                 18                   3.380889             
2                    42                   1                    8862                 18                   3.938667             
2                    56                   1                    8196                 18                   3.642667             
2                    55                   1                    6282                 10                   5.025600             
2                    44                   1                    9069                 22                   3.297818             
2                    30                   1                    10147                22                   3.689818             
2                    43                   1                    7918                 16                   3.959000             
2                    33                   1                    9501                 22                   3.454909             
2                    29                   1                    9803                 23                   3.409739             
2                    116                  1                    17572                41                   3.428683             
2                    113                  1                    9083                 22                   3.302909             
2                    115                  1                    10923                23                   3.799304             
3                    43                   1                    7925                 19                   3.336842             
2                    89                   1                    10619                22                   3.861454             
3                    55                   1                    6525                 15                   3.480000             
2                    114                  1                    11027                26                   3.392923             
3                    102                  1                    9450                 19                   3.978947             
3                    30                   1                    9973                 22                   3.626545             
2                    81                   1                    9611                 21                   3.661333             
3                    113                  1                    9056                 19                   3.813053             
2                    117                  1                    18144                45                   3.225600             
2                    19                   1                    10070                22                   3.661818             
3                    29                   1                    9510                 22                   3.458182             
3                    116                  1                    14884                33                   3.608243             
3                    115                  1                    10291                22                   3.742182             
3                    77                   1                    7320                 18                   3.253333             
3                    65                   1                    7769                 15                   4.143466             
3                    53                   1                    8757                 19                   3.687158             
3                    41                   1                    9365                 26                   2.881538             
3                    114                  1                    10810                26                   3.326154             
3                    32                   1                    10252                22                   3.728000             
