chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 38                   1.749684             
1                    54                   1                    7786                 3                    20.762667            
1                    55                   1                    6802                 5                    10.883200            
1                    66                   1                    7065                 1                    56.520000            
1                    67                   1                    6421                 36                   1.426889             
1                    78                   1                    6685                 1                    53.480000            
1                    79                   1                    7022                 3                    18.725334            
1                    90                   1                    8056                 3                    21.482666            
1                    91                   1                    8824                 3                    23.530666            
1                    102                  1                    9523                 3                    25.394667            
1                    103                  1                    9260                 4                    18.520000            
1                    41                   1                    9589                 25                   3.068480             
1                    53                   1                    8729                 3                    23.277334            
1                    65                   1                    7901                 3                    21.069334            
1                    77                   1                    7161                 4                    14.322000            
1                    89                   1                    10031                2                    40.124001            
1                    101                  1                    11179                5                    17.886400            
1                    44                   1                    9193                 3                    24.514668            
1                    56                   1                    8446                 4                    16.892000            
1                    68                   1                    6692                 3                    17.845333            
1                    80                   1                    7734                 3                    20.624001            
1                    92                   1                    9166                 3                    24.442667            
1                    104                  1                    11676                6                    15.568000            
1                    30                   1                    10373                3                    27.661333            
1                    31                   1                    10459                4                    20.917999            
1                    29                   1                    9806                 4                    19.612000            
1                    32                   1                    9779                 4                    19.558001            
1                    114                  1                    10575                4                    21.150000            
1                    115                  1                    10595                4                    21.190001            
1                    113                  1                    8527                 3                    22.738667            
1                    116                  1                    16716                7                    19.104000            
1                    17                   1                    9794                 4                    19.587999            
1                    18                   1                    9508                 5                    15.212800            
1                    19                   1                    10043                3                    26.781334            
1                    20                   1                    9541                 3                    25.442667            
1                    28                   1                    9247                 5                    14.795200            
1                    40                   1                    8078                 2                    32.312000            
1                    52                   1                    8579                 3                    22.877333            
1                    64                   1                    8345                 5                    13.352000            
1                    76                   1                    10159                3                    27.090666            
1                    88                   1                    10293                4                    20.586000            
1                    100                  1                    10778                4                    21.556000            
1                    112                  1                    10192                4                    20.384001            
1                    16                   1                    8787                 5                    14.059200            
2                    42                   2                    18388                7                    21.014856            
2                    43                   2                    16142                5                    25.827200            
2                    54                   2                    16348                8                    16.348000            
2                    55                   2                    12252                4                    24.504000            
2                    66                   2                    13136                5                    21.017599            
2                    67                   2                    12282                5                    19.651199            
2                    78                   2                    13066                5                    20.905600            
2                    79                   2                    13819                6                    18.425333            
