chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 22                   3.022182             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 18                   3.023111             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 18                   3.120889             
1                    90                   1                    8056                 23                   2.802087             
1                    91                   1                    8824                 18                   3.921778             
1                    102                  1                    9523                 22                   3.462909             
1                    103                  1                    9260                 26                   2.849231             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 25                   2.793280             
1                    65                   1                    7901                 19                   3.326737             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                25                   3.209920             
1                    101                  1                    11179                29                   3.083862             
1                    44                   1                    9193                 23                   3.197565             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 18                   2.974222             
1                    80                   1                    7734                 22                   2.812364             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                30                   3.113600             
1                    114                  1                    10575                29                   2.917241             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                26                   3.191692             
1                    31                   1                    10459                29                   2.885241             
1                    116                  1                    16716                42                   3.184000             
1                    29                   1                    9806                 25                   3.137920             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 22                   2.937454             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 23                   2.902609             
1                    76                   1                    10159                25                   3.250880             
1                    88                   1                    10293                26                   3.167077             
1                    100                  1                    10778                26                   3.316308             
1                    112                  1                    10192                30                   2.717867             
1                    28                   1                    9247                 23                   3.216348             
1                    125                  1                    7621                 17                   3.586353             
1                    126                  1                    8487                 24                   2.829000             
1                    127                  1                    8599                 24                   2.866333             
1                    128                  1                    11287                26                   3.472923             
1                    124                  1                    10998                30                   2.932800             
1                    45                   1                    8606                 23                   2.993391             
1                    57                   1                    7227                 18                   3.212000             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 25                   3.021440             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                44                   3.023091             
1                    33                   1                    9877                 26                   3.039077             
1                    129                  1                    10865                25                   3.476800             
2                    42                   1                    8862                 26                   2.726769             
2                    43                   1                    7918                 19                   3.333895             
2                    54                   1                    7607                 18                   3.380889             
2                    55                   1                    6282                 18                   2.792000             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 19                   2.501053             
2                    78                   1                    6307                 14                   3.604000             
2                    79                   1                    6744                 19                   2.839579             
2                    90                   1                    7843                 18                   3.485778             
2                    91                   1                    8596                 22                   3.125818             
2                    102                  1                    9522                 26                   2.929846             
2                    103                  1                    9236                 26                   2.841846             
2                    44                   1                    9069                 22                   3.297818             
2                    56                   1                    8196                 22                   2.980364             
2                    68                   1                    6444                 15                   3.436800             
2                    80                   1                    7856                 22                   2.856727             
2                    92                   1                    9504                 22                   3.456000             
2                    104                  1                    11780                34                   2.771765             
2                    41                   1                    9350                 21                   3.561905             
2                    53                   1                    8484                 22                   3.085091             
2                    65                   1                    7543                 22                   2.742909             
2                    77                   1                    7220                 19                   3.040000             
2                    89                   1                    10619                25                   3.398080             
2                    101                  1                    11599                31                   2.993290             
2                    114                  1                    11027                28                   3.150571             
2                    115                  1                    10923                31                   2.818839             
2                    116                  1                    17572                44                   3.194909             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 26                   3.076615             
2                    113                  1                    9083                 22                   3.302909             
2                    32                   1                    9461                 26                   2.911077             
1                    18                   1                    9508                 25                   3.042560             
1                    19                   1                    10043                26                   3.090154             
1                    20                   1                    9541                 22                   3.469455             
1                    17                   1                    9794                 26                   3.013538             
1                    21                   1                    8659                 22                   3.148727             
2                    29                   1                    9803                 26                   3.016308             
2                    33                   1                    9501                 26                   2.923385             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 19                   3.006737             
2                    69                   1                    7452                 18                   3.312000             
2                    81                   1                    9611                 26                   2.957231             
2                    93                   1                    11795                29                   3.253793             
2                    105                  1                    14908                41                   2.908878             
2                    117                  1                    18144                44                   3.298909             
2                    18                   1                    9079                 26                   2.793539             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 22                   3.149091             
2                    17                   1                    9723                 26                   2.991692             
2                    21                   1                    7679                 19                   3.233263             
2                    34                   1                    9627                 25                   3.080640             
2                    46                   1                    7022                 19                   2.956632             
2                    58                   1                    6963                 19                   2.931789             
2                    70                   1                    8417                 21                   3.206476             
2                    82                   1                    10686                26                   3.288000             
2                    94                   1                    15129                40                   3.025800             
2                    106                  1                    14775                37                   3.194595             
2                    118                  1                    15211                40                   3.042200             
2                    22                   1                    9729                 23                   3.384000             
3                    43                   1                    7925                 22                   2.881818             
3                    42                   1                    8771                 22                   3.189455             
3                    44                   1                    9295                 26                   2.860000             
3                    54                   1                    7812                 18                   3.472000             
3                    55                   1                    6525                 19                   2.747368             
3                    56                   1                    8308                 22                   3.021091             
3                    66                   1                    6763                 15                   3.606933             
3                    67                   1                    6128                 19                   2.580210             
3                    68                   1                    6727                 14                   3.844000             
3                    78                   1                    6077                 19                   2.558737             
3                    79                   1                    6585                 15                   3.512000             
3                    80                   1                    7890                 22                   2.869091             
3                    90                   1                    8194                 22                   2.979636             
3                    91                   1                    8808                 22                   3.202909             
3                    92                   1                    9459                 26                   2.910461             
3                    102                  1                    9450                 24                   3.150000             
3                    103                  1                    9218                 24                   3.072667             
3                    104                  1                    11117                26                   3.420615             
3                    30                   1                    9973                 26                   3.068615             
3                    31                   1                    9806                 25                   3.137920             
3                    32                   1                    10252                26                   3.154462             
3                    45                   1                    8606                 26                   2.648000             
3                    57                   1                    7630                 19                   3.212631             
3                    69                   1                    8038                 22                   2.922909             
3                    81                   1                    9771                 22                   3.553091             
3                    41                   1                    9365                 26                   2.881538             
3                    53                   1                    8757                 22                   3.184364             
3                    65                   1                    7769                 22                   2.825091             
3                    77                   1                    7320                 18                   3.253333             
3                    89                   1                    10639                26                   3.273538             
3                    101                  1                    11311                30                   3.016267             
3                    29                   1                    9510                 27                   2.817778             
3                    114                  1                    10810                24                   3.603333             
3                    115                  1                    10291                30                   2.744267             
3                    116                  1                    14884                37                   3.218162             
3                    113                  1                    9056                 22                   3.293091             
3                    33                   1                    9286                 26                   2.857231             
3                    93                   1                    11393                29                   3.142897             
3                    105                  1                    13795                34                   3.245882             
3                    117                  1                    15312                39                   3.140923             
3                    18                   1                    9023                 27                   2.673481             
3                    19                   1                    10330                25                   3.305600             
3                    20                   1                    9210                 22                   3.349091             
3                    17                   1                    9542                 26                   2.936000             
3                    21                   1                    8400                 22                   3.054545             
