chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 25                   2.947520             
1                    43                   1                    8311                 34                   1.955529             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 19                   2.864000             
1                    66                   1                    7065                 18                   3.140000             
1                    67                   1                    6421                 19                   2.703579             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 18                   3.120889             
1                    90                   1                    8056                 23                   2.802087             
1                    91                   1                    8824                 21                   3.361524             
1                    102                  1                    9523                 25                   3.047360             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 26                   2.950462             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 18                   3.511556             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                25                   3.209920             
1                    101                  1                    11179                30                   2.981067             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 19                   2.817684             
1                    80                   1                    7734                 22                   2.812364             
1                    92                   1                    9166                 23                   3.188174             
1                    104                  1                    11676                30                   3.113600             
1                    114                  1                    10575                28                   3.021429             
1                    115                  1                    10595                27                   3.139259             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                25                   3.319360             
1                    31                   1                    10459                30                   2.789067             
1                    116                  1                    16716                39                   3.428923             
1                    29                   1                    9806                 26                   3.017231             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 22                   2.937454             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 22                   3.034545             
1                    76                   1                    10159                27                   3.010074             
1                    88                   1                    10293                26                   3.167077             
1                    100                  1                    10778                25                   3.448960             
1                    112                  1                    10192                30                   2.717867             
1                    28                   1                    9247                 21                   3.522667             
1                    125                  1                    7621                 18                   3.387111             
1                    126                  1                    8487                 23                   2.952000             
1                    127                  1                    8599                 23                   2.990957             
1                    128                  1                    11287                28                   3.224857             
1                    124                  1                    10998                30                   2.932800             
1                    45                   1                    8606                 23                   2.993391             
1                    57                   1                    7227                 17                   3.400941             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 26                   2.905231             
1                    93                   1                    10978                29                   3.028414             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                41                   3.244293             
