chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 192                  0.346292             
1                    54                   1                    7786                 17                   3.664000             
1                    55                   1                    6802                 19                   2.864000             
1                    66                   1                    7065                 18                   3.140000             
1                    67                   1                    6421                 151                  0.340185             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 19                   2.956632             
1                    90                   1                    8056                 22                   2.929455             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 26                   2.930154             
1                    103                  1                    9260                 23                   3.220870             
1                    41                   1                    9589                 85                   0.902494             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 22                   2.873091             
1                    77                   1                    7161                 19                   3.015158             
1                    89                   1                    10031                25                   3.209920             
1                    101                  1                    11179                30                   2.981067             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 17                   3.149176             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 26                   2.820308             
1                    104                  1                    11676                29                   3.220966             
1                    114                  1                    10575                30                   2.820000             
1                    115                  1                    10595                29                   2.922759             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                26                   3.191692             
1                    31                   1                    10459                26                   3.218154             
1                    116                  1                    16716                44                   3.039273             
1                    29                   1                    9806                 25                   3.137920             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 20                   3.231200             
1                    52                   1                    8579                 21                   3.268190             
1                    64                   1                    8345                 23                   2.902609             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                25                   3.293760             
1                    100                  1                    10778                29                   2.973241             
1                    112                  1                    10192                26                   3.136000             
1                    28                   1                    9247                 26                   2.845231             
1                    125                  1                    7621                 18                   3.387111             
1                    126                  1                    8487                 22                   3.086182             
1                    127                  1                    8599                 23                   2.990957             
1                    128                  1                    11287                29                   3.113655             
1                    124                  1                    10998                27                   3.258667             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 18                   3.519111             
2                    54                   1                    7607                 23                   2.645913             
2                    55                   1                    6282                 14                   3.589714             
2                    66                   1                    6358                 20                   2.543200             
2                    67                   1                    5940                 14                   3.394286             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 18                   2.997333             
2                    90                   1                    7843                 22                   2.852000             
2                    91                   1                    8596                 22                   3.125818             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 26                   2.841846             
2                    41                   1                    9350                 22                   3.400000             
2                    53                   1                    8484                 22                   3.085091             
2                    65                   1                    7543                 23                   2.623652             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                29                   3.199724             
2                    44                   1                    9069                 26                   2.790462             
2                    56                   1                    8196                 20                   3.278400             
2                    68                   1                    6444                 18                   2.864000             
2                    80                   1                    7856                 18                   3.491555             
2                    92                   1                    9504                 25                   3.041280             
2                    104                  1                    11780                32                   2.945000             
2                    114                  1                    11027                27                   3.267259             
2                    115                  1                    10923                30                   2.912800             
2                    113                  1                    9083                 22                   3.302909             
2                    116                  1                    17572                45                   3.123911             
2                    30                   1                    10147                25                   3.247040             
2                    31                   1                    9999                 30                   2.666400             
2                    29                   1                    9803                 22                   3.564727             
2                    32                   1                    9461                 26                   2.911077             
2                    125                  1                    8000                 24                   2.666667             
2                    126                  1                    9115                 20                   3.646000             
2                    127                  1                    9246                 26                   2.844923             
2                    128                  1                    11665                29                   3.217931             
2                    40                   1                    8164                 18                   3.628444             
2                    52                   1                    8119                 22                   2.952364             
2                    64                   1                    8303                 22                   3.019273             
2                    76                   1                    10965                31                   2.829677             
2                    88                   1                    12072                29                   3.330207             
