frame,value
0,0.996388
1,0.995971
2,0.995948
3,0.995892
4,0.996015
5,0.995846
6,0.995832
7,0.995779
8,0.995791
9,0.995691
10,0.995636
11,0.995542
12,0.995596
13,0.995473
14,0.995239
15,0.995280
16,0.995265
17,0.995283
18,0.995131
19,0.995070
20,0.995026
21,0.995069
22,0.995025
23,0.994914
24,0.994727
25,0.995975
26,0.995403
27,0.994821
28,0.994439
29,0.994839
30,0.994718
31,0.994723
32,0.994197
33,0.994662
34,0.994414
35,0.994527
36,0.994166
37,0.994528
38,0.994104
39,0.994456
40,0.994233
41,0.994416
42,0.993858
43,0.994319
44,0.994169
45,0.994291
46,0.993820
47,0.994204
48,0.994073
49,0.994242
50,0.995763
51,0.995578
52,0.995258
53,0.995211
54,0.995132
55,0.995136
56,0.994999
57,0.994942
58,0.994627
59,0.994823
60,0.994797
61,0.994823
62,0.994644
63,0.994800
64,0.994701
65,0.994845
66,0.994723
67,0.994803
68,0.994699
69,0.994766
70,0.994641
71,0.994722
72,0.994514
73,0.994468
74,0.994226
75,0.995694
76,0.995358
77,0.995304
78,0.994913
79,0.995084
80,0.994930
81,0.994952
82,0.994609
83,0.994894
84,0.994807
85,0.994858
86,0.994455
87,0.994730
88,0.994569
89,0.994586
90,0.994284
91,0.994613
92,0.994469
93,0.994529
94,0.994168
95,0.994543
96,0.994420
97,0.994518
98,0.994134
99,0.994461
100,0.995580
101,0.995252
102,0.994867
103,0.995083
104,0.994919
105,0.994991
106,0.994741
107,0.994895
108,0.994849
109,0.994888
110,0.994624
111,0.994811
112,0.994742
113,0.994757
114,0.994517
115,0.994712
116,0.994599
117,0.994245
118,0.994081
119,0.994286
120,0.994270
121,0.994432
122,0.994268
123,0.994396
124,0.994293
125,0.995616
126,0.994984
127,0.995102
128,0.994913
129,0.994935
130,0.994656
131,0.994892
132,0.994790
133,0.994863
134,0.994503
135,0.994779
136,0.994660
137,0.994736
138,0.994442
139,0.994717
140,0.994541
141,0.994619
142,0.994108
143,0.994439
144,0.994358
145,0.994499
146,0.994143
147,0.994445
148,0.994320
149,0.994443
150,0.995376
151,0.995247
152,0.994791
153,0.994872
154,0.994613
155,0.994748
156,0.994669
157,0.994725
158,0.994472
159,0.994592
160,0.994493
161,0.994658
162,0.994393
163,0.994486
164,0.994434
165,0.994424
166,0.994309
167,0.994426
168,0.994304
169,0.994319
170,0.993948
171,0.994212
172,0.994127
173,0.994054
174,0.993632
175,0.995533
176,0.995055
177,0.995123
178,0.994744
179,0.994933
180,0.994805
181,0.994802
182,0.994485
183,0.994676
184,0.994358
185,0.994427
186,0.994156
187,0.994448
188,0.994343
189,0.994406
190,0.994091
191,0.994426
192,0.994254
193,0.994323
194,0.993956
195,0.994347
196,0.994144
197,0.994231
198,0.993886
199,0.994255
