frame,value
0,49.882626
1,49.327381
2,49.323380
3,49.280640
4,49.391224
5,49.179371
6,49.160294
7,49.107979
8,49.034161
9,48.976105
10,48.902336
11,48.738148
12,48.571781
13,48.619156
14,48.486706
15,48.523415
16,48.345638
17,48.470863
18,48.349846
19,48.185959
20,48.007580
21,48.198284
22,48.213600
23,48.093472
24,47.679619
25,49.729630
26,49.037594
27,48.493744
28,48.085876
29,48.535103
30,48.371876
31,48.384174
32,47.968010
33,48.361221
34,48.126911
35,48.215366
36,47.974621
37,48.294476
38,47.961960
39,48.172478
40,47.984600
41,48.192314
42,47.760586
43,48.071140
44,47.968376
45,48.067009
46,47.744160
47,48.013447
48,47.935158
49,47.904465
50,49.537689
51,49.275532
52,48.965565
53,48.918701
54,48.851540
55,48.837013
56,48.713711
57,48.639465
58,48.480625
59,48.608570
60,48.589275
61,48.606232
62,48.488373
63,48.602413
64,48.515163
65,48.552780
66,48.408360
67,48.510273
68,48.442432
69,48.481586
70,48.354172
71,48.440414
72,48.302948
73,48.266247
74,48.070011
75,49.490540
76,49.082527
77,49.053787
78,48.677341
79,48.846134
80,48.618031
81,48.671539
82,48.358154
83,48.670517
84,48.503345
85,48.569508
86,48.265686
87,48.532570
88,48.338280
89,48.388115
90,48.145943
91,48.433506
92,48.276405
93,48.336498
94,48.059971
95,48.367409
96,48.218872
97,48.318161
98,48.019501
99,48.168217
100,49.388859
101,49.017662
102,48.694855
103,48.849606
104,48.700268
105,48.735874
106,48.519600
107,48.648727
108,48.622429
109,48.666195
110,48.464905
111,48.597672
112,48.535385
113,48.514778
114,48.376106
115,48.503639
116,48.424709
117,48.151764
118,48.075871
119,48.220963
120,48.199284
121,48.273247
122,48.115078
123,48.215492
124,48.152687
125,49.449650
126,48.756042
127,48.885105
128,48.644920
129,48.731152
130,48.426651
131,48.660206
132,48.570831
133,48.677776
134,48.316231
135,48.526600
136,48.448620
137,48.555237
138,48.292477
139,48.507088
140,48.385777
141,48.473965
142,48.040447
143,48.292038
144,48.240540
145,48.353508
146,48.070877
147,48.260036
148,48.159641
149,48.157173
150,49.166431
151,48.989952
152,48.532074
153,48.605911
154,48.445629
155,48.516987
156,48.461868
157,48.499100
158,48.370953
159,48.379242
160,48.322731
161,48.397919
162,48.169662
163,48.241142
164,48.203014
165,48.224682
166,48.134808
167,48.224350
168,48.113651
169,48.163136
170,48.017418
171,48.160564
172,48.060108
173,47.983265
174,47.673428
175,49.348763
176,48.789524
177,48.874008
178,48.557915
179,48.756630
180,48.562218
181,48.578514
182,48.314510
183,48.510719
184,48.217728
185,48.295540
186,48.110756
187,48.328159
188,48.222164
189,48.289455
190,48.055141
191,48.291431
192,48.128468
193,48.204250
194,47.938984
195,48.208317
196,48.025024
197,48.119873
198,47.901424
199,48.046780
200,49.239658
201,49.055195
202,48.634048
203,48.794418
204,48.712429
205,48.719448
206,48.492485
207,48.339733
208,48.298141
209,48.340961
210,48.190228
211,48.297894
212,48.252357
213,48.298946
214,48.122646
215,48.279766
216,48.165565
217,48.224167
218,48.050816
219,48.185028
220,48.113220
221,48.004150
222,47.879078
223,48.004112
224,47.951138
225,49.276424
226,48.708855
227,48.795605
228,48.634445
229,48.710438
230,48.435986
231,48.618759
232,48.492107
233,48.474579
234,48.236294
235,48.403587
236,48.300903
237,48.396133
238,48.136326
239,48.305294
240,48.207630
241,48.299561
242,48.057266
243,48.274780
244,48.157028
245,48.128574
246,47.984741
247,48.081200
248,48.078861
249,48.046982
250,51.222099
251,50.535286
252,50.397640
253,50.245419
254,50.388897
255,50.036606
256,50.044853
257,49.505997
258,49.489113
259,49.450668
260,49.459126
261,49.366352
262,49.249977
263,49.236481
264,49.196686
265,49.172073
266,49.074768
267,49.124371
268,49.028946
269,49.035789
270,48.837593
271,48.878166
272,48.836178
273,48.746811
274,48.791630
