frame,value
0,0.996133
1,0.995621
2,0.995624
3,0.995604
4,0.995678
5,0.995479
6,0.995471
7,0.995435
8,0.995405
9,0.995304
10,0.995242
11,0.995168
12,0.995010
13,0.994996
14,0.994838
15,0.994899
16,0.994790
17,0.994856
18,0.994692
19,0.994598
20,0.994441
21,0.994579
22,0.994563
23,0.994425
24,0.994078
25,0.995970
26,0.995418
27,0.994882
28,0.994540
29,0.994865
30,0.994727
31,0.994726
32,0.994343
33,0.994658
34,0.994456
35,0.994549
36,0.994336
37,0.994574
38,0.994281
39,0.994461
40,0.994299
41,0.994463
42,0.994048
43,0.994362
44,0.994250
45,0.994291
46,0.993968
47,0.994225
48,0.994156
49,0.994096
50,0.995766
51,0.995523
52,0.995284
53,0.995219
54,0.995146
55,0.995124
56,0.995003
57,0.994929
58,0.994790
59,0.994873
60,0.994854
61,0.994865
62,0.994780
63,0.994857
64,0.994764
65,0.994802
66,0.994694
67,0.994781
68,0.994706
69,0.994681
70,0.994583
71,0.994637
72,0.994479
73,0.994469
74,0.994321
75,0.995667
76,0.995359
77,0.995284
78,0.995008
79,0.995107
80,0.994918
81,0.994949
82,0.994675
83,0.994912
84,0.994816
85,0.994833
86,0.994546
87,0.994756
88,0.994584
89,0.994616
90,0.994394
91,0.994633
92,0.994528
93,0.994562
94,0.994321
95,0.994564
96,0.994466
97,0.994529
98,0.994279
99,0.994264
100,0.995582
101,0.995292
102,0.995025
103,0.995129
104,0.994958
105,0.994994
106,0.994825
107,0.994922
108,0.994880
109,0.994935
110,0.994766
111,0.994855
112,0.994778
113,0.994785
114,0.994647
115,0.994746
116,0.994667
117,0.994320
118,0.994240
119,0.994365
120,0.994359
121,0.994416
122,0.994265
123,0.994328
124,0.994231
125,0.995574
126,0.995031
127,0.995106
128,0.994906
129,0.994952
130,0.994701
131,0.994872
132,0.994801
133,0.994866
134,0.994542
135,0.994738
136,0.994671
137,0.994738
138,0.994522
139,0.994697
140,0.994595
141,0.994673
142,0.994264
143,0.994502
144,0.994457
145,0.994553
146,0.994284
147,0.994396
148,0.994308
149,0.994275
150,0.995311
151,0.995158
152,0.994719
153,0.994807
154,0.994657
155,0.994703
156,0.994635
157,0.994660
158,0.994554
159,0.994544
160,0.994477
161,0.994536
162,0.994263
163,0.994341
164,0.994313
165,0.994300
166,0.994222
167,0.994333
168,0.994221
169,0.994242
170,0.994085
171,0.994253
172,0.994123
173,0.994076
174,0.993793
175,0.995485
176,0.995054
177,0.995089
178,0.994818
179,0.994972
180,0.994838
181,0.994820
182,0.994610
183,0.994747
184,0.994459
185,0.994505
186,0.994338
187,0.994510
188,0.994449
189,0.994490
190,0.994284
191,0.994491
192,0.994363
193,0.994404
194,0.994170
195,0.994386
196,0.994242
197,0.994281
198,0.994091
199,0.994136
200,0.995337
201,0.995210
202,0.994862
203,0.994989
204,0.994908
205,0.994899
206,0.994689
207,0.994427
208,0.994391
209,0.994433
210,0.994261
211,0.994385
212,0.994347
213,0.994375
214,0.994184
215,0.994353
216,0.994251
217,0.994294
218,0.994083
219,0.994240
220,0.994171
221,0.994034
222,0.993838
223,0.994004
224,0.993958
225,0.995389
226,0.994941
227,0.994992
228,0.994842
229,0.994904
230,0.994670
231,0.994805
232,0.994685
233,0.994641
234,0.994404
235,0.994539
236,0.994463
237,0.994552
238,0.994314
239,0.994475
240,0.994400
241,0.994463
242,0.994232
243,0.994429
244,0.994330
245,0.994235
246,0.994108
247,0.994192
248,0.994194
249,0.994147
250,0.996983
251,0.996487
252,0.996427
253,0.996316
254,0.996452
255,0.996156
256,0.996173
257,0.995678
258,0.995700
259,0.995651
260,0.995652
261,0.995555
262,0.995458
263,0.995437
264,0.995392
265,0.995345
266,0.995272
267,0.995319
268,0.995240
269,0.995221
270,0.995015
271,0.995036
272,0.995016
273,0.994937
274,0.994917
275,0.995489
276,0.994844
277,0.994865
278,0.994713
279,0.994783
280,0.994268
281,0.994560
282,0.994384
283,0.994459
284,0.994190
285,0.994372
286,0.994259
287,0.994264
288,0.994022
289,0.994205
290,0.994075
291,0.994120
292,0.993954
293,0.994113
294,0.994001
295,0.994045
296,0.993857
297,0.993547
298,0.993413
299,0.993398
300,0.995164
301,0.995017
302,0.994890
303,0.994839
304,0.994841
305,0.994904
306,0.994760
307,0.994774
308,0.994645
309,0.994640
310,0.994581
311,0.994619
312,0.994479
313,0.994559
314,0.994477
315,0.994518
316,0.994440
317,0.994505
318,0.994367
319,0.994413
320,0.994159
321,0.994284
322,0.994287
323,0.994241
324,0.994101
325,0.995283
326,0.994869
327,0.994876
328,0.994606
329,0.994784
330,0.994627
