1_1:1539,848,1042,996,851,786,735,692,881,898,957,786,1035,1189,1259,1206,917,1085,903,1002,1072,959,747,794,746,799,772,730,862,738,749,671,904,551,556,724,719,747,802,724,679,678,802,733,816,999,1088,700,776,625,799,923,902,816,929,810,641,1041,923
1_2:1334,883,944,758,699,633,666,792,893,712,886,972,924,1259,1314,1067,1122,971,804,948,1068,679,836,721,840,708,708,765,658,607,707,635,662,740,858,751,1007,1034,779,691,798,630,625,724,886,968,758,769,714,713,963,1113,789,741,904,816,795,809,960
1_3:1400,685,799,724,866,764,735,836,879,1265,1333,1183,1363,1300,996,871,1130,822,772,1033,787,765,883,833,776,754,735,797,634,641,719,948,635,852,740,824,929,862,821,893,684,684,757,698,983,866,671,629,613,731,765,786,610,732,999,869,792,1132,968
1_4:1281,694,668,932,860,1068,1284,1369,1596,1531,1364,1406,1391,890,956,1025,991,945,910,980,738,838,798,788,834,726,678,644,894,778,891,617,827,779,847,877,816,856,840,707,709,840,926,974,800,720,736,631,769,574,775,764,672,740,1062,624,685,878,740
1_5:1447,714,1077,1261,1319,1540,1483,1452,1440,1138,1253,1093,1178,932,1046,1106,958,933,1046,886,741,699,1002,1035,1011,1000,1034,891,989,906,789,954,1032,736,664,608,547,711,784,629,600,636,596,672,681,664,682,568,625,641,751,838,751,1108,909,732,607,850,960
1_6:1471,732,1135,1271,1510,1479,1509,1585,1421,1209,1051,1170,1176,901,771,870,852,848,963,674,840,719,840,1057,1074,1246,1178,1163,1244,927,1082,824,1030,1049,946,745,806,569,878,647,619,668,627,796,802,734,805,623,899,928,1021,905,707,954,1033,902,1045,830,1051
1_7:1255,769,938,838,1036,1212,1532,1677,1572,1499,1200,1277,1061,1029,960,1003,879,864,904,748,835,975,994,861,777,1035,1295,1156,973,969,998,923,646,865,734,1137,796,711,782,703,776,689,706,658,659,679,813,646,655,649,978,952,689,813,665,659,640,686,708
1_8:1464,767,800,888,822,713,848,1191,1182,1499,1243,1265,1311,1270,821,950,1116,1032,970,905,678,714,763,946,977,852,743,1036,1258,947,856,1081,835,830,865,750,726,786,791,830,760,650,730,748,674,967,708,854,642,668,700,723,822,752,787,750,716,790,923
1_9:1542,748,828,820,809,731,878,751,805,923,1099,949,888,1213,1424,1182,798,772,803,995,741,744,793,756,689,773,823,838,766,934,931,837,742,826,733,726,638,730,850,784,828,749,658,647,675,695,750,683,755,702,758,781,708,757,739,903,818,835,832
1_10:1316,731,794,981,1010,651,924,897,807,873,785,1050,1075,1051,1402,1425,1416,1349,1169,977,924,787,914,752,818,774,565,642,688,880,864,841,908,857,862,779,616,582,649,766,864,839,765,672,705,737,586,658,653,684,666,740,641,709,714,789,684,834,872
1_11:1657,708,734,868,1069,921,821,857,717,923,904,966,856,949,1145,1203,1263,1217,1223,1080,1011,941,888,637,864,698,726,761,766,744,735,709,725,619,737,695,704,609,674,590,654,556,579,540,627,592,643,598,651,745,650,756,705,580,650,757,607,693,842
1_12:1636,744,1075,701,855,865,628,778,798,864,903,796,837,891,1116,1009,1069,1019,884,788,740,913,989,772,769,842,727,775,661,684,662,618,644,605,657,576,590,702,749,613,644,642,601,631,663,660,710,924,792,728,690,816,653,666,974,793,806,704,786
1_13:1231,691,801,765,703,630,772,695,678,714,762,693,754,885,652,599,647,732,995,850,807,950,930,975,930,949,936,927,1031,879,787,790,885,810,824,869,876,783,914,803,881,730,677,944,667,693,661,562,651,627,686,846,696,615,848,681,628,912,864
